Name,Label
ඒ.එච්.එම්.එච්. අබයරත්න,POLN
ඒ.එම්.එම්.එම්. රත්වත්තේ,POLN
අබූබුකර් ආතම්බාව,POLN
අජන්තා ගම්මැද්දගේ,POLN
අජිත් අගලකඩ,POLN
අජිත් ගිහාන්,POLN
අජිත් පී. පෙරේරා,POLN
අම්බිකා සාමිවෙල්,POLN
අමිල ප්‍රසාද්,POLN
අමිර්තනාදන් අඩෛක්කලනාදන්,POLN
ආනන්ද වී.එම්.ජේපාල,POLN
අනිල් ජයන්ත,POLN
ඇන්ටන් ජයකොඩි,POLN
අනුර කරුණාතිලක,POLN
අනුරාධ ජයරත්න,POLN
අනුෂ්කා තිලකරත්න,POLN
අරවින්ද සෙනරත්,POLN
අර්ජුන සුජීව සේනසිංහ,POLN
අක්කම් ඉල්‍යාස්,POLN
අරුන් හේමචන්ද්‍ර,POLN
අරුණ පනාගොඩ,POLN
අශෝක ගුණසේන,POLN
අසිත නිරෝෂණ එගොඩ විතාන,POLN
අශෝක සපුමල් රන්වල,POLN
අතුල වෙළන්දගොඩ,POLN
බී ආරියවංශ,POLN
භාග්‍ය ​​ශ්‍රී හේරත්,POLN
බිමල් රත්නායක,POLN
සී.එච්.කේ. ගලප්පත්ති,POLN
චාමර සම්පත් දසනායක,POLN
චමින්ද ලලිත් කුමාර,POLN
චමින්ද ඊම්ජෙසිරි,POLN
චමින්ද්‍රනී කිරිඇල්ල,POLN
චම්පික හෙට්ටිආරච්චි,POLN
චානක මාදුගොඩ,POLN
චන්දන සූරියආරච්චි,POLN
චන්දන තෙන්නකෝන්,POLN
චන්දිම හෙට්ටිආරච්චි,POLN
චතුරංග අබේසිංහ,POLN
චිත්‍රාල් ප්‍රනාන්දු,POLN
ක්‍රිෂාන්ත අබේසේන,POLN
ඩී වී චානක,POLN
දම්මික පටබැඳි,POLN
ධනුෂ්ක රංගනාත්,POLN
ධර්මප්‍රිය විජේසිංහ,POLN
දයාසිරි ජයසේකර,POLN
දීප්ති වාසලගේ,POLN
දේවානන්ද සුරවීර,POLN
ධර්මප්‍රිය දිසානායක,POLN
දිලිප් වෙදආරච්චි,POLN
දිලිත් ජයවීර,POLN
දිනේෂ් හේමන්ත,POLN
දිනිඳු සමන් හෙන්නායක,POLN
ඊ.ශ්‍රීනාත්,POLN
ඊ.එම් බස්නායක,POLN
එරංග ගුණසේකර,POLN
එරංග වීරරත්න,POLN
ෆයිසර් මුස්තාපා,POLN
ෆස්මින් ෂරීෆ්,POLN
ජී.ජී. පොන්නම්බලම්,POLN
ගමගෙදර දිසානායක,POLN
ගයාන් ජානක,POLN
ගයන්ත කරුණාතිලක,POLN
ගීතා හේරත්,POLN
ඥානමුත්තු ශ්‍රීනේෂන්,POLN
හංසක විජේමුණි,POLN
හරිනි අමරසූරිය,POLN
හර්ෂ ද සිල්වා,POLN
හර්ෂණ නානායක්කාර,POLN
හර්ෂණ රාජකරුණා,POLN
හර්ෂණ සූරියප්පෙරුම,POLN
හසර ලියනගේ,POLN
හෙක්ටර් අප්පුහාමි,POLN
හේමාලි වීරසේකර,POLN
හේෂා විතානගේ අංකුඹුර ආරච්චි,POLN
හිනිදුම සුනිල් සෙනෙවි,POLN
හිරුණි විජේසිංහ,POLN
අයි.ඩබ්ලිව්.එම්.ජේ. වික්‍රමරත්න,POLN
ඉම්රාන් මහරුෆ්,POLN
ඉස්මයිල් මුත්තු මොහොමඩ්,POLN
අලවතුවල ජේ.සී,POLN
ජගත් ගුණවර්ධන,POLN
ජගත් මනුවර්ණ,POLN
ජගත් විතාන,POLN
ජානක සේනාරත්න,POLN
ජනිත රුවන් කොඩිතුවක්කු,POLN
ජීවන් තොණ්ඩමන්,POLN
කේ ඉලංකුමාරන්,POLN
කේ කාදර් මස්තාන්,POLN
කේ.ඩී. ලාල් කාන්ත,POLN
කේ.වී. සමන්ත විද්‍යාරත්න,POLN
කබීර් හෂීම්,POLN
කාංචනා වැලිපිටිය,POLN
කාන්තසාමි ප්‍රබු,POLN
කතිරවේලු ෂන්මුගම් කුගතාසන්,POLN
කෞෂල්‍යා ආරියරත්න,POLN
කවීන්තිරන් කෝඩීස්වරන්,POLN
කාවින්ද හේෂාන් ජයවර්ධන,POLN
කින්ස් නෙල්සන්,POLN
කිට්නන් සෙල්වරාජ්,POLN
ක්‍රිෂ්ණන් කලෙයිචෙල්වි,POLN
කුමාර ජයකොඩි,POLN
එල්.එම්. අබේවික්‍රම,POLN
ලක්මාලි හේමචන්ද්‍ර,POLN
ලක්ෂ්මන් නිපුන ආරච්චි,POLN
ලාල් ප්‍රේමනාත්,POLN
ලසිත් භාෂණ ගමගේ,POLN
ප්‍රගීත් මධුරංග,POLN
එම් නිසාම් කාරියප්පර්,POLN
එම්.ඒ.සී.එස්. චතුරි ගංගානි,POLN
එම්.ඒ.එම්. තාහීර්,POLN
එම්.කේ.එම්. අස්ලාම්,POLN
එම්.එල්.ඒ.එම්. හිස්බුල්ලා,POLN
මෙනෙවිය. උතුමාලෙබ්බේ,POLN
මධුර සෙනෙවිරත්න,POLN
අරුණ ජයසේකර,POLN
ජී.ඩී.සූරියබණ්ඩාර,POLN
මංජුල සුගත් රත්නායක,POLN
මංජුල සුරවීර ආරච්චි,POLN
මනෝ ගනේෂන්,POLN
මනෝජ් රාජපක්ෂ,POLN
මයිල්වාගනම් ජෙගතීස්වරන්,POLN
මුහම්මද් ෆයිසාල්,POLN
මුජිබර් රහ්මාන්,POLN
මුනීර් මුලෆර්,POLN
නජිත් ඉන්දික,POLN
නලින් බණ්ඩාර ජයමහ,POLN
නලින් හේවගේ,POLN
නලින්ද ජයතිස්ස,POLN
නාමල් කරුණාරත්න,POLN
නාමල් රාජපක්ෂ,POLN
නාමල් සුදර්ශන,POLN
නන්ද බණ්ඩාර,POLN
නන්දන මිල්ලගල,POLN
නන්දන පත්මකුමාර,POLN
නයනා වාසලතිලක,POLN
නිහාල් අබේසිංහ,POLN
නිහාල් ගලප්පත්ති,POLN
නිලන්ති කොට්ටහච්චි,POLN
නිලූෂා ලක්මාලි ගමගේ,POLN
නිමල් පලිහේන,POLN
නිශාන්ත පෙරේරා,POLN
නිශාන්ත සමරවීර,POLN
ඔෂානි උමංගා,POLN
පී රුවන් සෙනරත්,POLN
පද්මසිරි බණ්ඩාර,POLN
පලනි තිගාම්බරම්,POLN
පද්මනාදන් සත්‍යලිංගම්,POLN
ප්‍රසන්න ගුණසේන,POLN
ප්‍රියන්ත විජේරත්න,POLN
ආර්.එම්. රංජිත් මද්දුම බණ්ඩාර,POLN
ආර්.ජී. විජේරත්න,POLN
ආර්.එම්. ගාමිණී රත්නායක,POLN
ආර්.එම්. ජයවර්ධන,POLN
ආර්.එම්. සමන්ත රණසිංහ,POLN
රජීවන් ජෙයචන්ද්‍රමූර්ති,POLN
රාමලිංගම් චන්ද්‍රසේකර්,POLN
රාමනාදන් අර්චූන,POLN
රත්න ගමගේ,POLN
රවුෆ් හකීම්,POLN
රවී කරුණානායක,POLN
රවීන්ද්‍ර බණ්ඩාර,POLN
රිෂාඩ් බදියුදීන්,POLN
රියාස් ෆාරුක්,POLN
රිස්වි සාලිහ්,POLN
රෝහණ බණ්ඩාර,POLN
රෝහිණී කුමාරි විජේරත්න,POLN
රෝහිත අබේගුණවර්ධන,POLN
රොෂාන් අක්මීමන,POLN
රුවන් මාපලගම,POLN
රුවන් රණසිංහ,POLN
රුවන් විජේවීර,POLN
රුවන්තිලක ජයකොඩි,POLN
එස් නානායක්කාර,POLN
එස් ශ්‍රී බවානන්දරාජා,POLN
එස්.තිලගනාදන්,POLN
එස්.එම්. මරික්කාර්,POLN
එස්.පී.එස්.එම්. ජයසිංහ,POLN
සාගරිකා අතාවුද,POLN
සජිත් ප්‍රේමදාස,POLN
සමන්මලී ගුණසිංහ,POLN
සඳරුවන් මදාරසිංහ,POLN
සංජීව රණසිංහ,POLN
සරත් කුමාර,POLN
සරෝජා සාවිත්‍රි පෝල්රාජ්,POLN
ශානකියන් රාජපුතීරන් රසමානික්කම්,POLN
ශාන්ත පත්ම කුමාර සුබසිංහ,POLN
සිවඥානම් ශ්‍රීදරන්,POLN
ස්ටෙප්නි ප්‍රනාන්දු,POLN
සුදත් බලගල්ල,POLN
සුගත් තිලකරත්න,POLN
සුගත් වසන්ත ද සිල්වා,POLN
