id,text
1,උනා නම් කොච්චර ලස්සනයි ද කියලා හිතෙනවා
2,අපිත් ආදරෙයි සර් ඔබතුමාට ඕක දාලා එන්න එකට
3,චමුදිතට තියෙන්නෙ කටක් නෙමේ ලැට් වලක්
4,හරි තැන හිටගන්න
5,ඔබතුමා ගැලපෙන්නේ මාලිමාවෙ එකටපොඩ්ඩක් හිතල බලන්න
6,මහත්තයො ලයිට් බිල ගෙවන්න ලක්ශ ක බිලක් තියෙනව නේද හරීන් දයා වගේ ගෙවන්නලැජ්ජයිගෙදර යන්න නම්බු තියන් ගූ නොවීඅප්පිරියයිකයිය විතරයි ලක්ශ ලක්ශ ලක්ශ ලක්ශ මෙන්න මේව නිසා තමයි රට බංකොලොත් වෙන්නෙලයිට් බිල ගෙවපං හරක
7,රටක එතුමාගේ දැනුම ලබාගෙන එතුමා අගයක්
8,තොපි දෙන්න සරත් ෆොන්සේකා මහත්මයාව කොටු කරන්න දැ කල්පනාව
9,ගොබ්බ සිරිසේනයගේ කතාවෙන්ම පේනවා හිතා මතාම සරත් ෆොන්සේකාව හෑල්ලුවට ලක් කරලා වනජීවි ඇමැති කම දීලා පාස්කු ප්රහාරය කරන්න මාර්ගය හදලා තියෙනවා දැන් සිරිසේන ගේ කටින්ම කිව්වා නේ හමුදාවල අය එපාය පොලිසියට ඉතින් පැහැදිලියි පාස්කු දින ප්රහාරය කෙරෙව්වේ කොහොමද කියලා
10,සරත් ෆොන්සේකා මහත්තයත් හොදයි රට පාලනය කරනවානම් එතකොට හොරැ ඉවරයි
11,ෆීල්ඩ් මාෂල්කම දෙන්න නම් හමුදුාව ලක්ෂ ක්වත් වෙන්න ඕනි කියලා මූමයි කීවේ අනික් හමුදාවලට තරු ජෙනරාල් දෙන එක වැරදි කීවා මොකද ඒවියේ ලක්ෂ ට වඩා සෙනග අඩු නිසා දැන් මෙතන කියනවා සංඛ්යාව ප්රශ්නයක් නෑ කියලා දේශපාලු බලු හැත්ත කොයි එකත් එකයි හැරෙන අතට කතා කරනවා
12,රට ගොඩ දාන්න පේන තෙක් මානෙක ෆොන්සේකා මහත්තයා වගේ කවුරුවත් නෑ මොහුගෙන් රටට වැඩක් ගන්න බැරි වෙන්න දේශපාලුවෝ ගේමක් දෙන්න උනත් බැරි නෑ
13,හිටං කියන්නෙ ඇල් වතුරත් නිවල බොන පකෙක්
14,අම්මො මෙයගෙ හැටි කියයි කොල්ලන්ට කතා කරන්න දන්නෙ නෑ
15,රාජපක්ෂලාට පලු යන්ඩ බැන බැන සිරිසේනලා සරත්ලා රනිල්ලා සජිත්ලා කරපු සහ කරන පිස්සුවලට පක්ෂ බෙදිලා කොටා ගන්නකොට අනුර කුමාරට රජ මගුල්ලු අනේ අපේ රටෙි පාට පාට වහල් ඡන්ද දායකයෝ ටික රෙඩ් කාපට් දාලා උඹලව කවදහරි පිලිගන්න එවුන්ට ඡන්දේ දාපල්ලා එකකාව අර මාෂල් මෙි මාෂල් කරන්ඩ වලි නොකා යුද්දේ කරපු අවංක සොල්දාදුවෝ නිළධාරීන් ඒ මිනිස්සුන්ගේ ජීවිත පූජා කරලා තොපිට ඉන්න රටක් හදලා දුන්නේ මෙිකලාට සුර සැප දෙන්ඩ නෙවෙයි සමගියෙන් ඉඳලා උඹලගේ දූ දරුවොන්ට රටක් හදලා දෙන්ඩ
16,වාචාල නැහැදිච්ච මෝඩ රිලව් තුන් දෙනෙක් ඉස්සරහා ප්රතාපවත් බුද්ධිමත් සිංහයෙකුගේ හැසිරීම කාලකන්නි පො මාධ්යවේදී යනි තොපි කවුද නගුට වනන බල්ලෝ
17,අයි අයියෝ සිරි ක්ලින් අවුටි
18,බලපුවහම සිරිත් මහම මහ හොරෙක් කියලත් දැනෙනවා සරත් මහත්මා අැත්ත කියන කොන්ද කෙලින් උතුමි මනුෂ්යයෙක්
19,කවුරැ මොන තප්පු ලැවත් කුරිරැ යුද්ධය අවංකව දිනෙවිව දෙවියෙක් වැනි ඔබතුමා අපට රටට වර්තමාන ජාතික විරයෙක්මයි ජයවෙිවා
20,සහරාන් ගහනකොට හැංගිලා හිටිය මිනිහා ප්රභාකරන් එක්ක සටනක් යනකොට එලියට ඇවිල්ලා අපිට උපදෙස් දෙන්න එයිද මෛත්රී රෙදි ගැලවෙන්ඩ දුන්න නියම් ටෝක් එක
21,සිරිසේන කියන්නේ ලංකාවේ හිටපු කාලකාන්නිම රාඡය නායකයා
22,සහතික අැත්ත අපි එයාටත් රැවටුනා එයා පවුල් හැදුවා
23,අනුර ඒකතු වෙන්න
24,ඔබ තුමත් මාලිමාවට ඒකතු වුණානම් නියමයි
25,මේ වෙලාවෙ එකම විකල්පය මාලිමාව සජබෙ එපා හැබැයි ට ආදරෙයි
26,යහපාලන හා අරගල ප්රවනතා සැලසුම් සහගතව ඇටවු අටමගල් බව එළියට එන අසිරිමත්ව වමාරන ලස්සන වැඩ කිඩ ප්රොටොකෝල් කන්දරව
27,මරු ජාන පරම්පරාවකින් පැවත එන ශ්රි ලාංකික සල කුන පීල්ඩ් මාර්ෂල් මෙරට සිට පිටරටට සේවය කරන ඒජන්ත
28,මීලග ජනපති සරත් ෆොන්සේකා නීතිගරුක පාලනයක් සාධාරණ සමාජයක් නිවහල් දේශයක්
29,ඔබතුමාට නියත ජය අනාගතයේ බාරයි රට ඔබතුමාට
30,ලක්ශ ලක්ශ ලක්ශ ලක්ශ ලක්ශ අවුරුද්දක් ඇරියස් ලයිට් බිල
31,හැමදාමත් දකියන කියන දෙයක් එක මිනිහෙක් ගෙනල්ලා පිස්සෝ වගේ තුන්දෙනෙක් එකම ප්රස්නය පැන පැනා අහනවා එකාට එකෙක් මදිද
32,හා හා හමුදාවෙ අය එනවලු සරත් ළඟට
33,අවශ්යයි මාලිමාවට ඉඩ දිය යුතුයි අනුර අනුර අනුර
34,ජාජබ ජනපති අපේක්ෂකයා ගැන සරත් ඇයි කතා
35,ඇයි තේරැමක් නැත්තෙ අනුර තමයි හොරැ නොවන පොදු ජනයාගේ ජනපති අපේක්ෂකයා
36,ගොඩක් දවසකට පස්සේ වැදගත් සාකච්ඡාවක් දැක්කා
37,බලයට කෑදර සරත් නරැනා කරලා ජනතාවාදි මාලිමාවට තැන දීලා අයින් වෙන්න කුරැට්ටොත් එක්ක
38,මුන් දැන දැන මහින්දගෙ ගැටයක් වෙච්ච හිටංට ඉඩ දුන්නා සරත් සභාපති කම කරන පක්ෂය අර වැඩකට නැති ඩයනගෙ මොහු ගෝතා එක්කත් කතා කරානේ ජනපති කම ගන්න අරගලයත් හැංගිලා මෙහෙයෙව්වෙ කුරැට්ටොත් එක්ක මෙයා ලැජ්ජ නෑනේ අනෝමා ට වාහන කොල්ල නාලා දුන්නා කියලා දර්ශන හඳුන්ගොඩ කිව්වා කෝ උත්තර වාහනය මාරැ කරලා වෑන් කට්ටකින් අරගලයට ගිය හැටි එයාගෙ කටින්ම පිට වුනා අනේ සරත් දැන්වත් මාලිමාවට ආදර්ශ නරලා ගෙදර ඉන්න
39,මෛත්රිපාල කොහොමත් කුහක යා
40,මුන් තුන්දෙනා ම කාගෙ හරි කොන්ත්රාත් එකක් කරනබව හොදින් පැහැදිලි හැසිරීමෙන්
41,යුද්දෙ කලා වගේ මොහු රට හැදිමට සමත් පුද්ගලයකු බව මට විශ්වාසයි
42,ඔබ තුමා හරි තැන ඉදගන්න එක රටට වටිනවා ඔබ තුමා දැන් ඉන්න පක්ශය ඔබ තුමාට ඉන්න හොද තැනක් නෙමෙයි අපරාදෙ
43,මූටත් උපරිම ඡන්ද ලක්ෂයක් ගන්ඩ බෑ තනියෙන් ඉල්ලුවොත් එක පාරක් පරිප්පු කෑවා ගෝතයා ආයෙ ආයේ නරි වන්ඩ හදනවා
44,අපි දන්නෙ නෑ ඉතිම් ඇත්ත කියනවද කියලා
45,කලවැද්දා
46,බෙම්මුල්ලේ උන් පෝ
47,එක වචනෙන් විනය හැදුවා තුන්දෙනාගෙම
48,අවුරුදු දෙකයි ලයිට් බිල ලක්ශ ගෙවල නෑ තාම
49,උන් තුන්දෙනාම අද නිදි
50,එක වචනෙන් මුං තුන්දෙනාගේ විනය හදපු ලස්සන
51,ප්රජාතන්ත්රවාදය පැත්තකින් තියලා මොහුට තමයි පුළුවන් වර්ජන කාරයො මර්දනය කර ස්ට්රයික් නැති කරන්න
52,මොරාල් එක
53,ඔබතුමා ගෙ ප්රශ්නයට උත්තරේ හම්බුනාද මෙච්චර කල් ආව කිසි කෙනෙක් ඇහුවෙ නැති ප්රශ්නයක්
54,සිරිසෙන රජපක්ෂ බංගවේවා අනිවා ෆෝන්සෙකා ජනාදිපතිවරනයට ඉල්ලුවොත් දෙනවා කොහොමත් ට තමා මේ පාර
55,අද තමයි මුන් තුන්දෙනාම විනය ඉගෙන ගන්නෙ
56,රටට ඕනේ මෙන්න මේ වගේ නායකයෙක් එත් සජබේ ඉන්න ඒක තමයි අවුල එකට එන්න සර්
57,සජිත් සමග ඉන්නෙ නැතුව ඔබතුමන් එකත් එක්ක එකතු වෙන්නෙ නැත්තෙ ඇයි
58,මොහුගෙන් රටට විශාල සේවයක් ගත හැකියි
59,කමක් නැද්ද
