id,text
1,උනා නම් කොච්චර ලස්සනයි ද කියලා හිතෙනවා අපිත් ආදරෙයි සර් ඔබතුමාට ඕක දාලා එන්න එකට චමුදිතට තියෙන්නෙ කටක් නෙමේ ලැට්
2,වලක් හරි තැන හිටගන්න ඔබතුමා ගැලපෙන්නේ මාලිමාවෙ එකටපොඩ්ඩක් හිතල බලන්න මහත්තයො ලයිට් බිල ගෙවන්න ලක්ශ ක බිලක් තියෙනව නේද හරීන්
3,දයා වගේ ගෙවන්නලැජ්ජයිගෙදර යන්න නම්බු තියන් ගූ නොවීඅප්පිරියයිකයිය විතරයි මෙන්න මේව නිසා තමයි රට බංකොලොත් වෙන්නෙලයිට් ගෙවපං හරක රටක එතුමාගේ
4,දැනුම ලබාගෙන එතුමා අගයක් තොපි දෙන්න සරත් ෆොන්සේකා මහත්මයාව කොටු කරන්න දැ කල්පනාව ගොබ්බ සිරිසේනයගේ කතාවෙන්ම පේනවා හිතා මතාම ෆොන්සේකාව
5,හෑල්ලුවට ලක් කරලා වනජීවි ඇමැති කම දීලා පාස්කු ප්රහාරය මාර්ගය හදලා තියෙනවා දැන් සිරිසේන ගේ කටින්ම කිව්වා නේ හමුදාවල අය
6,එපාය පොලිසියට ඉතින් පැහැදිලියි දින කෙරෙව්වේ කොහොමද මහත්තයත් හොදයි පාලනය කරනවානම් එතකොට හොරැ ඉවරයි ෆීල්ඩ් මාෂල්කම හමුදුාව ලක්ෂ ක්වත් වෙන්න
7,ඕනි මූමයි කීවේ අනික් හමුදාවලට තරු ජෙනරාල් දෙන එක වැරදි කීවා මොකද ඒවියේ ට වඩා සෙනග අඩු මෙතන කියනවා සංඛ්යාව
8,ප්රශ්නයක් නෑ දේශපාලු බලු හැත්ත කොයි එකත් එකයි හැරෙන අතට කතා කරනවා ගොඩ දාන්න පේන තෙක් මානෙක මහත්තයා කවුරුවත් මොහුගෙන්
9,රටට වැඩක් ගන්න බැරි දේශපාලුවෝ ගේමක් උනත් හිටං කියන්නෙ ඇල් වතුරත් නිවල බොන පකෙක් අම්මො මෙයගෙ හැටි කියයි කොල්ලන්ට දන්නෙ
10,රාජපක්ෂලාට පලු යන්ඩ බැන සිරිසේනලා සරත්ලා රනිල්ලා සජිත්ලා කරපු සහ කරන පිස්සුවලට පක්ෂ බෙදිලා කොටා ගන්නකොට අනුර කුමාරට රජ මගුල්ලු
11,අනේ අපේ රටෙි පාට වහල් ඡන්ද දායකයෝ ටික රෙඩ් කාපට් උඹලව කවදහරි පිලිගන්න එවුන්ට ඡන්දේ දාපල්ලා එකකාව අර මාෂල් මෙි
12,කරන්ඩ වලි නොකා යුද්දේ අවංක සොල්දාදුවෝ නිළධාරීන් ඒ මිනිස්සුන්ගේ ජීවිත පූජා තොපිට ඉන්න රටක් දුන්නේ මෙිකලාට සුර සැප දෙන්ඩ නෙවෙයි
13,සමගියෙන් ඉඳලා උඹලගේ දූ දරුවොන්ට වාචාල නැහැදිච්ච මෝඩ රිලව් තුන් දෙනෙක් ඉස්සරහා ප්රතාපවත් බුද්ධිමත් සිංහයෙකුගේ හැසිරීම කාලකන්නි පො මාධ්යවේදී යනි
14,කවුද නගුට වනන බල්ලෝ අයි අයියෝ සිරි ක්ලින් අවුටි බලපුවහම සිරිත් මහම මහ හොරෙක් කියලත් දැනෙනවා මහත්මා අැත්ත කියන කොන්ද
15,කෙලින් උතුමි මනුෂ්යයෙක් කවුරැ මොන තප්පු ලැවත් කුරිරැ යුද්ධය අවංකව දිනෙවිව දෙවියෙක් වැනි අපට වර්තමාන ජාතික විරයෙක්මයි ජයවෙිවා සහරාන් ගහනකොට
16,හැංගිලා හිටිය මිනිහා ප්රභාකරන් එක්ක සටනක් යනකොට එලියට ඇවිල්ලා අපිට උපදෙස් එයිද මෛත්රී රෙදි ගැලවෙන්ඩ දුන්න නියම් ටෝක් කියන්නේ ලංකාවේ
17,හිටපු කාලකාන්නිම රාඡය නායකයා සහතික අපි එයාටත් රැවටුනා එයා පවුල් හැදුවා ඒකතු ඔබ තුමත් මාලිමාවට වුණානම් නියමයි මේ වෙලාවෙ එකම
18,විකල්පය මාලිමාව සජබෙ එපා හැබැයි යහපාලන හා අරගල ප්රවනතා සැලසුම් සහගතව ඇටවු අටමගල් බව එළියට එන අසිරිමත්ව වමාරන ලස්සන වැඩ
19,කිඩ ප්රොටොකෝල් කන්දරව මරු ජාන පරම්පරාවකින් පැවත ශ්රි ලාංකික සල කුන පීල්ඩ් මාර්ෂල් මෙරට සිට පිටරටට සේවය ඒජන්ත මීලග ජනපති
20,නීතිගරුක පාලනයක් සාධාරණ සමාජයක් නිවහල් දේශයක් නියත ජය අනාගතයේ බාරයි අවුරුද්දක් ඇරියස් හැමදාමත් දකියන දෙයක් මිනිහෙක් ගෙනල්ලා පිස්සෝ තුන්දෙනෙක් ප්රස්නය
21,පැන පැනා අහනවා එකාට එකෙක් මදිද හමුදාවෙ එනවලු ළඟට අවශ්යයි ඉඩ දිය යුතුයි ජාජබ අපේක්ෂකයා ගැන ඇයි තේරැමක් නැත්තෙ නොවන
22,පොදු ජනයාගේ ගොඩක් දවසකට පස්සේ වැදගත් සාකච්ඡාවක් දැක්කා බලයට කෑදර නරැනා ජනතාවාදි අයින් කුරැට්ටොත් මුන් දැන මහින්දගෙ ගැටයක් වෙච්ච හිටංට
23,දුන්නා සභාපති පක්ෂය වැඩකට නැති ඩයනගෙ මොහු ගෝතා එක්කත් කරානේ අරගලයත් මෙහෙයෙව්වෙ මෙයා ලැජ්ජ නෑනේ අනෝමා වාහන කොල්ල නාලා දර්ශන
24,හඳුන්ගොඩ කෝ උත්තර වාහනය මාරැ වෑන් කට්ටකින් අරගලයට ගිය එයාගෙ පිට වුනා දැන්වත් ආදර්ශ නරලා ගෙදර මෛත්රිපාල කොහොමත් කුහක යා
25,තුන්දෙනා ම කාගෙ කොන්ත්රාත් එකක් කරනබව හොදින් පැහැදිලි හැසිරීමෙන් යුද්දෙ කලා හැදිමට සමත් පුද්ගලයකු මට විශ්වාසයි තුමා ඉදගන්න වටිනවා පක්ශය
26,තුමාට හොද තැනක් නෙමෙයි අපරාදෙ මූටත් උපරිම ලක්ෂයක් ගන්ඩ බෑ තනියෙන් ඉල්ලුවොත් පාරක් පරිප්පු කෑවා ගෝතයා ආයෙ ආයේ නරි වන්ඩ
27,හදනවා ඉතිම් ඇත්ත කියනවද කලවැද්දා බෙම්මුල්ලේ උන් පෝ වචනෙන් විනය තුන්දෙනාගෙම අවුරුදු දෙකයි ගෙවල තාම තුන්දෙනාම අද නිදි මුං තුන්දෙනාගේ
28,හදපු ප්රජාතන්ත්රවාදය පැත්තකින් තියලා මොහුට පුළුවන් වර්ජන කාරයො මර්දනය කර ස්ට්රයික් මොරාල් ගෙ ප්රශ්නයට උත්තරේ හම්බුනාද මෙච්චර කල් ආව කිසි
29,කෙනෙක් ඇහුවෙ සිරිසෙන රජපක්ෂ බංගවේවා අනිවා ෆෝන්සෙකා ජනාදිපතිවරනයට දෙනවා කොහොමත් තමා පාර ඉගෙන ගන්නෙ ඕනේ නායකයෙක් එත් සජබේ ඒක අවුල
30,සජිත් සමග ඉන්නෙ නැතුව ඔබතුමන් එකතු වෙන්නෙ විශාල සේවයක් ගත හැකියි කමක් නැද්ද පස්කු ඔච්චර කැක්කුමක් නන් ප්රසිද්ධ පසුව ඉවත්කරගත්
31,ඉන්දියන් ඔත්තුව සූරියආරච්චි කල වැඩසටහන නැවත නැතිනම් ඔබත් තොරතුරු සගවන්නෙක් ඔප්පුවෙනවා උඹ අංග අංගසම්පූර්ණ නේඋඹගෙ දේසපාලනය වෛරය ක්රෝධය තියෙන එකක්ලියල
32,තියා ගනින් උඹට කවදාවත් දේශපාලනයේ ඉදිරියට බැහැ මොනාවා අන්තිමට කියපු දේ දෙශපලුවෝ සෙට් එකටම පොදුවේ පුලුවන් සත පහක විශ්වාස පුද්ගලයෙක්
33,දේශපාලනයේදි හමුදාපති වරයෙක් ලෙස ඔහු ඔහුගේ බූමිකාව කලානමුත් වාසි පැත්තට හෝයියාඅරගලයකට නායකත්වය දෙන්නේ නිර්පාක්ශිකයන්ට පාක්ශියෙක් වෙලා රනිල්ට මුක්කුව ගහන්න මිනිස්සු
34,නැහැ වැල යන්නේ මැස්ස හොයාගෙන තේරුම් නොගෙන එකේ සිංහයා කොන්ද කෙළින් ජනාධිපති කරවමු දොරටු පාලයා වුණහම ඔහොම පොන්සේකා සිසිඑමිපි විජේසිරි
35,මානවඩු ු දයාරත්නායක හැමෝම ටාසන් ලා මොන මත වෙනස්වීම් තිබුනත් වියයුතුමයිඑහෙම නැතිව ආන්ඩුවක් එන්නෙත් අවස්තාවක් ලැබෙන්නෙත් චන්දයක අවසාන උනුසුම්ම අවස්තාවෙ
36,ඔබතුමාගෙ වෙනස්වීම මහපොලොවෙ බලාපොරොත්තු වෙනව අනිවාර්යයෙන්ම බන්කරේ හිටියා කියමුකෝ හිටියේ සේනාධිනායකයා විදිහට රටින් පැනලා ගියේ චමුදිතගේ දියුනුවක් තමන්ට වරප්රසාද වෙනුවෙන්
37,ඕනෑම මම එකනේම පට්ට චමුදිත කරන්නේ පොහොට්ටුව රැක අනිත් පක්ශවල පොඩි ප්රශ්න පෙන්වනඑක කලින් මයිත්රීපාලයි දයාසිරියි කෙටෙව්වා ඊලගට කොටවනවා කිසිම
38,තැනක ගාවගන්නේ සලකුන හැමදාම වරද්දගත්තේ හොඳ මනුස්සයෙක් දිහා බලාගන හොරු රැළක්ම රටේ නීති හදන තැනට යවන සජියට දිනන්න බෑදින්නත් හොරුන්
39,මහා ආශිර්වාදයක්ඒත් පරණ එජාප එකතුවෙලා මනුස්සයා විනාස වෙනවා විතරක් මැතිතුමාට උත්තමාචාරය ඉස්සරනම් නයි මූගටි දැන්නම් වරදක්නෑනෙද වෙිවා පෝන්සේකා සෙමිපතියෙනි සමගයි
40,එදාත් අදත් පුංචි ගිු ලංකාවෙි විධායක වෙනතුරු හිරු රනිල් විකුමසිංහ ජර්මනියේදි පවත්වනලද පුවත්පත් සාකචිචාව අනුව පුහාරය සමිබන්දව ජාත්යන්තර පරික්ෂණයක් නොපවත්වනබව
41,පැහැදිලිව පුකාශ ව්යවස්ථාවට පින්සිදුවන්න ජනාධිපතිවි ජනතාව අමතා කියාසිටියේ ස්කොටිලන්ඩි යාඩි පොලිසියෙ සහාය පුහාරයට වගකිවයුතු චුදිතයින් නිතියේ රැහැනට ගෙනෙන්න කටයුතු කරනබවයි
