Index,Sinhala Comment
1,සිංහල අපි ඔබතුමාට ගරු කරනවාඔබතුමා නිසා හැමදේම මිනිස්සුන්ට දැන ගන්න පුලුවන් වෙනවාඔබතුමා පාර්ලීමේන්තුවට එවුවේ ම්නිස්සු ඔබතුමා පාර්ලීමේන්තු වේ ඉන්නම ඕන
2,අනේ මුන් ත්රස්ත වාදී එකත් මතක තියා ගන්න හැබයි මේ රජය මේක ත්රුම් ගන්නේ නෑ උන්ට හොද වෙන්න ගිහින් ආණ්ඩුව ඉල්ලන් ටින්කිරි ගගේ න තියෙන්නේ
3,අනුර හරියන්නේ නෑ මේ යන විදියට ජන්දේ දෙන්නේ නෑ ඊළගට චන්දෙ දෙන්න හොද නායකයෙක් බිහිවෙවා කියලා ප්රර්ථනා කරනවා
4,අර්ජුනෙ සත්ය කතාකරන නිසා ඔබ පාරිලීමේන්තුවෙ සිටිය යුතු අයෙකි කතානායකයා අාණ්ඩුවට පක්ෂපාතියි විපක්ෂයෙ මන්ත්රවරයෙක්බකතා කරන විට කාලය අවසානයි කියනවා
5,අර්ජුනාට පිස්සු කියන උන්ට තමා හොදටම පිස්සු
6,මෙන්න ශ්රී ලාංකීය රටට ආදරෙ මනුෂ්යත්වය පිරි අවන්ක මිනිසෙක් ගරු කරන්න ඕනි කෝ ජනාධිපති ජර්මන් ගියේ අන්තවාදී නිසා යුද්දය කට පාර කපන්නට දෙන්න එපා පනිවිඩයක් දෙන්නෙ සිහි බුද්දිමත් ව අහන්න තේරුම් අරගෙන හරිම දේවල් කරන්න ජනතාව ට රට බාරයි ඔබ තුමා ට බුදු සරනයි
7,මෙන්න වැඩකාරයාමම කැමති මෙතුමා අගමැති වෙනවට
8,අර්ජුනමම සිංහල උබට ආදරෙයිඔබ තමයි අනාගතය
9,දක්ෂතම සහ විසිස්ටම දේශපාලක ය අර්ජුන මම සිංහල එත් සිංහල සල්ලිකිලින්ට වඩා මම අර්ජුනට ආදරෙයි
10,සිංහල බෞද්ධයෙක් නම් අනිවාර්යයෙන්ම චන්දය දෙනවා මම නම් හිත හොඳ ඇත්ත කතා කරන කෙනෙක් ඇත්ත කියන නිසාම කතාවල් කරන්න දෙන කාලය සීමිතයි ඒ නිසා තමයි විනාඩියක් ඇතුලත වුනත් කියන්න තියන ඒවා ඔක්කොම කියලා ඉවර කරන්නෙ එකට මාලිමාව එතනට ගිහිනුත් පංචම තමයි කියන්නෙ
11,කතානායකට කුලප්පුව හැදිල ඇත්ත කියනකොට අර්ජුනා සත්යවාදී කෙනෙක් ඔහු පාර්ලිමේන්තවේ සිටියයුතු කෙනෙක්
12,ඇත්ත කිව්වොත් කල්ස්ය ඉවරයිආන්ඩුවෙන් උත්තර නෑ
13,දෙමල චිත්රපටි බලන අපේ අය දන්නවා නේද ඒකේ ඉන්න දුෂ්ට චරිතය රග දක්වන නලුවන් මුලින් හොඳම මුන හා සියලු දෙනාගේ විස්වාසය ඉන්පසුව තමා දූෂනය පවුල් පිටින් මරන දරෂනය ඉතින් හොදට හිතන්න ගොඩක් දුර
14,අර්චුනාව කරේ තියන් යන අය දවසක පසුතැවේවි අර්චුනාට ඕනේ ආයේ සිංහල දෙමළ ප්රශ්නයක් ඇති කරලා ඊළඟ ප්රභාකරන් වෙන්න නේද අද පටු දේශපාලනය වෙනුවෙන් අර්චුනා වෙනුවෙන් පෙනී ඉන්න අය කරන්නේ ජාතියට ද්රෝහීකමක්
15,ඒක නම් ඇත්ත
16,අර්ජුනා අරත්ත කියනවා ඩෝබිලා අර්ජුනාට විරුද්ධයි
17,කොටි කියන්නේ ත්රස්ත වාදී මේ ආණ්ඩුව මුන් හුරතල් කරලා දැන් කෙලවාගෙන තියෙන්නේ
18,මූ කවදාහරි ප්රබාකරන් කරපු හානියට වඩා හානියක් කරනවා රටට සාටක කොන්ත්රාත්කාරයෙක්
19,බත්කන්න තේරෙන්නේ නැහැ
20,මෙය තමයි හරියටම අැත්ත කතාකරන්නේ
21,මාලුමාවේ වොෂින්ටන්ලා මන්ද කුලප්පු
