Index,Sinhala Comment
1,එල
2,මොනවද මේ මිනිහා කියන්නෙ
3,විශ්ලේෂණය කරන්න යටින් ඇහෙන සංගීත අදෝනාව කරදරයක් කියලා නොතේරෙන තරමට මන්ද බුද්ධික ද
4,අඩුපාඩු හදාගමු
5,දිනන්නේ කවුද
6,සිරිසේන කොහෙද බන් ස්වාධීන වුණේ යූඇන්පීයට කඩේ ගියා මතක නැද්ද
7,ප්ල්ප්ප්ප්ප්
8,මැතිවරණ ඉතිහාසය ගෙන හැර දැක්විම අගෙකොට සලකමී
9,ස්තුතියි
10,එල
11,ඕනෑ එකක් හොඳයි කියනපට්ටම ඉන්නේ අපේ රටේ ඒක තමයි හැමදාම එකම තැන අපේ හාමුදුරුවනේ
12,වටිනා විඩීයෝවක්
13,හොඳ වැඩක්
14,එකක් වැරදි පලවෙනිය ඔය තියෙන්නෙ කියලඑ්ක වැරදි
15,රත්නපුර දිස්ත්රික්කයේ
16,සුපිරියි මචං එකක්
