Index,Sinhala Comment
1,කාන්චන ගැන කියපු කතාව ඇත්ත
2,රිළා ඇමති
3,සුපිරි චාමර සන්පත් මාලිමාව පච අන්ඩුවට කතාකරන වැඩෙි
4,ඇත්ත කියනකුට ජෙප්පොන්ට රෙවෙනවා
5,කාංචනලා රමේශ්ලා වගේද නාමල් කරුනාරත්න සමන්තලා
6,පුස් ඌරා
7,චමුදිකගේ අම්මා කැලේ ගිහින්ද මූ දෙපැත්ත කනවා කියලා හිතෙන්නේ මට විතරද
8,චමුදිත හරකෙක්නෙ
9,මේකව දැක්කම
10,චමා මාළුමවේ උන්ට රෙදි ගෙලාවෙන්න කියන මිනිහා ඉස්සර එපා උනත් දෙන් කෙමති එකයි
11,තියෙන්නේ ආණ්ඩුව අපහසු
12,බලය අල්ලන්න ආපු උන් ට කෙල උනා ආණ්ඩුව බලය ඇල්ලුවා කෙටිය පැහැදිලි
13,රටබෙිර ගත්ත හොරැන්ගෙන් ඒ ඇති
14,චමුදිතගෙ ෆේස් එක දැන් වෙනස් වෙල කියල දැකපු අය කෝ
15,වයස අඩුකරගන්න ගිහින් වගේ නේද
16,මම අද කිව කියල මතක තියා ගන්න චාමර කවද හරි රටෙි ජනාධිපති වෙනව
17,හාහා
18,මෝඩයො ඉන්නවනම් වෙයි
19,කොමසාරිස්ට අභිමතයක් තියෙනවා ගොංතඩියො
20,කොහොමද මූ කියන්නේ බැසිල් තමයි ආණ්ඩුව රෙද්දෙ රෙවිලත් කියන කතා
21,අපි බදුල්ලේ ඒත් මේ වගේ අපතයෝ තේරූ ජනතාවට මොනවද කියල කියන්න ද තේරෙන්නෙ නෑ
22,කොටි සල්ලි ගත්ත ලපයාට වඩා නං මු හොදයි
23,පව් බන් උබල එක අතකින්
24,හිරු එකට හොරු නැතුව ගෙන්නන්න එකෙක්වත් නෑ සලකුන මලකුනු ගේනවා හැමදාම
25,ජයවේවා මචන් නිවන් සුව
26,මුන් මරුවිකාරේ කියවනවා පැරදිලත් දගලනවා කාලකන්නි හැත්ත උබල මොනව කිව්වත් පරාදයි මෝඩ බයියෝ අඩ අඩා හිටපල්ලා
27,චාමර සම්පත්
28,මෙ වගෙ එවුන් ගෙන්න එපා හුත්තො චමුදිත
29,විවුර්ත චන්දෙකට ඔබලාත් බය ඔබලා බර ගානක් දිලා ගත්ත උනුත් ගාන අරගෙන අන්ඩුවට චන්දෙ දිපුබව පෙන නිසද
30,මුට කිසිම ෙදයක් ෙහාදය් කියන්න පිට ෙකාන්දක් නැ කුහකෙයක්
31,විපක්ෂයේ ලෝක හොරු
32,අහන්න එපා කිව්වට අහන්නෙම නඩුව ගෑනමයීබලන්න රේනෝඕඕකියන්නෙම නෑ මයීමේකලා නේද මුන්ගේ අන්ඩු වගේ තිබ්බ පාන්ඩූ අන්ඩූ කාලේ මෙකාලා නේද අගවිනිසුරුවරියගේ නඩුත් අහලා දඩුවම් කලේ දීට්ට ඨම්ම වේදය
33,හෝරූ රෑළ් එක මිටට එක පෙලට රෙද්දේ රෙවා ගෑනිම ගැනිම පිලිබද ගූ කන්කානම්ට රේද්දේම මලපහ මල පහ වීම අන්තිමටම මෙකා මෙච්චර වෙලා කියලා තියෙන්නෙ මේ රටේ මින්නුස්සු කියන කියන කතාලු කියන්නේ මේ හරකා හුයීහුයීහා හා ජහජහා
34,ඔබලා ඔක්කෝම පාළු ගෙදර වළං බිදගෙන ගොන් ආතල් එකක් ගනිල්ලා මාලිමාව දිනෙන් දින ඉදිරියට යනවා සුන්බුන් ඔක්කොම දිනෙන් දින දියවෙනවා
35,නියමයි ඔය චමුදිතල කරන්නේ පිස්සු විකාර වැඩ
36,අනේ උඹ වගේ ගොං හරකෙක්කොන්ඩෙ හොඳට ඩයිකරගනිං
37,ඔයාලගේ ආඩි හත් දෙනාගේ කද හැලියට ලුණු දාල නේද හැමෝම එක නිසා කද බොන්ග බැහැ මිනිස්සු අකමැති ඔයාලට ඔයාල පට්ට හොරු ආයේ හිරේ යන්න ලගයි වගේ මිනිස්සු දැන් මැරුවත් මාලිමාව එක තේරුම් ගන්න බඩ තිබුනට මදි ඔලුව නැහැ
38,චමර කියන්නේ කොන්ද පන තියන මිනිහෙක් චන්දේ දිපු ජනතවට මරම සතුටු අති
39,මුව මසට චිනේට විකුණලා ඩොලර් ටිකක් ගන්න බැරිද මේ වගේ ගොබිලෝ ගෙනල්ලා මේ ජඩ හිරු හැමනෙනවා තොපි රානිලා ජනාධිපති කෙරුවේ ප්රසිද්දියේ අත උස්සලද
40,මේ පිස්සව ආයෙ ගෙනත්
41,අද වැඩසටහන කාගේ හරි න්යාය පත්රයකට යන පාටයි යරිම සාමකාමියි වැඩ සටහන විනාශ කර ගන්න එපා මුල් විනාඩි කීපය විතරයි ගොඩක් අය බලලා තියෙන්නනේ
42,මේ පාර්ලිමේන්තුවේ ඉන්න එකම එකා ගම එක්ක ඉන්න
43,ස්තුතිය මහත්තයා ඇතුළු හැමෝටම
44,හොර හැත්ත ගෙනල්ල බයිල ගහනවා
45,අපිට දුන්නේ නැහැ
46,රහස් ජන්දයකට ගිය නිසා හර්ද සාක්ෂිය අනුව ඡන්දය දුන්න නිසා දිනුවා ඒ නිසා කොලබ හොරුන්ට යන එක වැලකුනා
47,හෘද සාක්ෂියට එකඟ නම් මොකටද අනික් පක්ෂ වලින් ඡන්දය ඉල්ලා එන්නෙ
48,නියමයි
49,ගොං හිරු එකටම හරියන අමු ගවයෙක්
50,චාමර මහත්තයා ස්තුතිය ස්තුතිය
51,මොනදේ උනත් මම චාමරට කැමතියි එහෙම හරි කටක් තියෙන්න ඕන ආණ්ඩුවට සද්දයක් දාන්න
52,අති විශිෂ්ටයි ඔබේ දේශපාලන පරිණත බව ඔබ තුමාට සියලු දෙවියන්ගේ ආශිර්වාද ලැබේවා
53,චාමර ජෙප්පනගේ රෙදි ගලවනවා
54,චාමර රෙදි ගලවනවා කෙසේ උනට්ජ් වු රෙදි නැතුව ඉන්නෙ
55,ස්වයංවින්දනය ඕකට කියන්නේ
56,ජෙබයියන්ට චාමර මහත්තය ලොකු වදයක් වෙලා
57,කැමති නැහැ චාමර මහත්තයා
58,දිනුවා ඉතින් හොරා කාලා
59,මුං ආණ්ඩුවට මඩගහන්න ගොතන තර්ක බොරුබව අන්තිමට මුංගෙ කටින්ම ඔප්පු කරනව මාර ආතල් ඕයි ඒක
60,මුං ආණ්ඩුවට මඩගහන්න ගොතන තර්ක බොරුබව අන්තිමට මුංගෙ කටින්ම ඔප්පු කරනව මාර ආතල් ඕයි ඒක
61,ගොන් මොඩ මුසල ක්
62,පස්ස බිම ඇනුනට කොහොමද ගොබිලගෙ ටෝක්ස්
63,විපක්ෂ නායකකෙනෙක් නැහැ වගේඑදා කොහොමද සජබ ය ගොටාට දාපු පාට් පාර්ලිමේන්තුවේ අද කෝ
64,එහෙම නම් මහ ජනතාවටත් විවෘතව චන්දෙ ප්රකාශ කරන්න කියන්න තිබුනනෙ මූ වගේ ගෝතයො ගෙනල්ල ආතල් ගන්නවා
65,එහෙම විකුනුනානම් ඔවුන් සියලු දෙනාගේම වත්කම් හොයන්න
66,ඉතින් හු රනිල් ජනදිපති කරන්න රහස් චන්දේයක් තිබ්බේඑතකොට නාමල්බැසිල් මහින්දත් රනිල්ට දුන්නේ
67,එහෙම නොවුනානම් ඕකුං ආයේ මරා ගන්නවා දැං හිටපු උන් හොදට කරපු කොළඹ දැං ලස්සනට තියනවද
68,කොළඹ ලස්සනට පිරිසිදුවට තිබුන යහපාලන ආණ්ඩුව ඇවිත් නඩත්තු නොකරපු නිසා තිබුනටත් වැඩිය අන්ත වුනා
69,ආපෝ චාමර ගේ මූණ කථා වැඩක් නෑ දැන් එයාල වැඩ කරන කම් ඉන්න කකුලෙන් අදින්න එපා එක එකා ගේ එක එක කථා තියෙන්නේ ඔක්කොම කියන ඒ වන කරන්න බෑරට හදන්න ඉඩ දෙන්න
70,චාමරව හදුන්වාදුන්නපාමාසහ අනිත් ඒව හිටපුඇයි චමුදිත මහජන මුදල් ඔහුගේ ගිනුමට දාගත්තා යැයිසැකපිට අතඩංගුවට ගෙන රක්ෂිත බංදනාගාරවහිටපුදැනට ඇපලබා සිටිනඒටික නෑනෙ
71,ඒ ලියුම ඇත්තද නැත්ද කියලා කව්ද දන්නේ එහෙමනම් ඉතිං හැමතැනම ඔවැනි ලියුමක් දීල සබාවල බලය පිහිටුවන ක්රමයක් ගේන්න තුබුනනේ එහෙම ක්රමයක් නෑනේ
72,නියමයි කාලකන්නි ජෙප්පො දූවන්න දූන්නා
73,ඉතිං ඔබලා කියනවා විවුර්ත චන්දෙට යන්න ආණ්ඩුව විරුද්ද උනා කියලා ඉතිං එහි අනෙක් පැත්ත විපක්ෂේ රහස් චන්දෙට විරුද්දව හිටියා ඒ ඇයි කියලත් විමසන්න ඔබලා කියන විදිහට රජය වැඩකලයුත්තේ විපක්ෂේ දිනන ආකාරයට
74,මුජිබර් කියන දේ ද ඇත්ත එහෙමද වැඩකරන්න ඕන
75,ඔයාලා ඔය නගන තර්කය අනිත් පැත්තත් බලන්න
76,විවුර්ත චන්දෙ ඉල්ලන්නේ එයාල සල්ලි දෙන්න පොරොන්දු වෙච්ච අය චන්දෙ දුන්නද බලාගන්න චමුදිත ඔබ පක්ෂ ග්රාහී නොවී මේ ප්රශ්න බලන්න
77,බලාගන්නෙ මොකටද විස්වසනං ආය සැකකරන්න ඔනද
78,චාමර කොහොම උනත් ඔබගේ අද කතාව නම් මරේ මරු ඇත්ත කතාව
79,බයේ රෙවිල ඉන්න නිසානේ කතාව මරේ මරු
80,මේ වගේ හොරු පාර්මේන්තවට යන්නෙ තොපි වගේ හරක් ඉන්න නිසා
81,ජෙප්පො ඔක්කොම අවජතා පොන්න යක්කු එච්චරයි
82,දන් නෑ කිව්වට ඔක්කොම දන්නවා බයිලා චක්රවර්තීන්ට ඉතින් බයිලා නොගහ මොන ව කියන්න ද අනිකා මුජිබරා හිටිවන බයිලා
83,චමුදිත ඔය වාචාල කට ටිකක් අවුස්සන්නකෝ
84,කට වහන් ඉදපන් මුන්තුන්දේනා ආයි මාසගානකට යවන්න යන්නේ
85,කසිප්පු ගහලාද
86,නිහඬ විපක්ෂයේ මල්ටිබැරල් එක චාමර සම්පත් මැතිඳුනි
87,මල්ට් නෙමෙයි නිකම්ම බැරල්
88,ගූ බැරල් එඅක
89,කසිප්පු බැරල් එක
90,අම්මයෙ උට්ට
91,විවෘත චන්දයක් තියන්න කියන්නේ ඒ ඒ මන්ත්රිවරයා බිය ගන්වා බලපැමක් කර ඇති අවස්ථාවක චන්දයක් ප්රකාස කිරිමක් බව පෙනි යන අතර රහස් චන්දයක් තුලින් ඒ මන්ත්රිවරයාට ස්වාධීන කැමත්ත ප්රකාස විමක් සිදුවේ
92,තොපි රට බන්කොලොත් කරලා ප්රතිපත්තියක් නැතිකාලකන්නි චන්දෙ ඉල්ලන්න දාල පැරදුනානම් කෙදිරි ගාන්නෙ නැතිව ඉදපිය හොරා
