Index,Sinhala Comment
1,මේ සම්පූර්ණ වැඩසටහන නැරඹුවා හිටපු ජනාධිපති සිරිසේන මහත්මයා ඇත්තටම අවංක චරිතයෙක්න්
2,බුද්ධිමත් නායකයෙක් හිටපු ජනාධිපති ගරු මෛත්රීපාල සිරිසේන මැතිතුමා
3,චමුදිතයා කොහොමටත් වාචාලයා ගූ පොරක්
4,විවේක ගත්තේ ඉස්පිරිතාලේ
5,පැන්ශන් ගිය ග්රාමසේවක කෙනෙක් මල ගෙදරකට ඇවිත් කොල්ලො ටිකක් වට කරන කෙබර කෙලිනවා කියලා වගේ දැනෙන්නේ මට විතරද
6,ඇයි නැත්තේ මමත්ආවෙ ඒක දැකලා තමයි
7,මාමේ
8,මු පිස්සු හුත්තෙක්
9,මුන් වගේ කාලකන්නි තමා මෙච්චරකල් රට පාලනය කෙරුවෙ
10,මේවගේ ජෝකරයෙක් ජනපති උනානෙ
11,මේ සාකච්ඡාව මම අද නැවත බැලුවෙමි මේක හොඳට හිනැහෙන්න පුලුවන් හොඳම විකට ජවනිකාවකි
12,කඋරු කෝම කීවත් මේ හොද මනුස්සයෙක් ජරා දේශපාලන ය නිසා මෙතුමා සවුත්තු උනා
13,මූ තමයි සම්බන්ධ
14,මෙතන තමා කැමතිම කොටස ආතල්ම කොටස
15,ඒ චමුදිත පව් බන් ඌට
16,අම්මෝ චමුදිතයා මුගෙන් හෙන ආතල් එකක් ගන්නෙ
17,වර්තමාන විස්දුම් අහන්නෙ මාද්ධයාවන් අහන්නේ නතිය පැත්තෙ දන්නේ නැහැ
18,යකෝ කෝටි හයදාහක් දුන්නලු මූ පොළොන්නරුව දිස්ත්රික්කය සංවර්ධනය කරන්න හුත්තො මුට හෙන ගහන්න එපැයි
19,ආතල් සිරිසේන
20,මම නම් මේව බලන්න හිනා වෙන්න
21,ආපහු මූට චන්දෙ දෙන උන් නම් මිනිස්සු වෙන්න බෑ
22,ඩඩ්ලි මූයි එක තාත්තා ගෙනම් වෙන්න බෑ
23,හෙන ආතල් මනුස්සයා
24,සෑහෙන දුප්පත් මනුස්සයෙක්කව්ද මේ අහිංසකයා
25,ධේශපාලයෙකුගේ තියෙන ගුණයවත් නැති පුද්ගලයන් සමග කතිකාවලට යෑම තුළින්
26,සිරාට මලපනලා මුන් තමයි කවෙ රට උත්තිගෙ පුතාල
27,අඨ්යපන ඇමති
