Index,Sinhala Comment
1,රත්තරන් ජනාධිපති අපට ලැබුණු සේරම ඇත්ත කිව්වේ බුදුසරණයි
2,අනුර ජනාධිපති වෙන්න කලින් ජනාධිපති වෙච්ච දවස දැකපු හොඳම කතාව
3,ජයවෙිවා
4,මංත්රි අද ජනදිපති
5,එදා නරි රැලක් එක්ක එක සිංහයෙක් සටහන් කරා ජය ගත්තා ජන පනි තුමනි බුදු සරනයි සතර වරන්දෙවි පිහිටෙන් ඔබයි මව් බිමේ රජු
6,අනුර සහෝදරයට හදන්න බැ නම් අය හදන්න එකෙක් නැ
7,ඔතන කෑගහන මහින්දානන්ද අද අවුරුදු කට ලොක් වෙලා අනුර බ්රො වෙලා
8,මෙන්න නියම කතා
9,මෙහෙම නායකයෙක් දැං අපිට ඉන්නවා
10,අපෙ මහන්සිය අපතෙ ගියෙ නැහැ හදමු රට ලොවෙත් නැති වෙන්න
11,බලන්න තියෙන මැනස් ඩිසිප්ලින් මොකක්දෝ කියනකොටත් බොහොම ස්තුතියි කිව්වා
12,ජයවේවා ජයවේවා ජයවේවා අනිවාර්යයෙන්
13,බලන්න ලස්සනට කතා කරන හැටි කොලයක්වත් බලන්නේ නැ සේරම හිතේ බුදු සරණයි අපේ ජනාධිපතිතුමාට ජයවේවා
14,අද අපේ ජනාධිපති ජයවේවා ජයවේවා මාලිමාවට ජයවේවා
15,ජයවෙිවා ජනපති තුමනි සියලුදෙවියන්ගේ දෙව අරක්සාව ලැබෙිවා හරිම අඩමිබරයි අපේ නයකයා
16,ශ්රී ලංකා ප්රජාතාන්ත්රික ජනරජයේ ගරු ජනාධිපති සහ සන්නද්ධ සේවා සේනාධිනායක අනුර කුමාර දිසානායක මේවා ආයෙ ආයෙ අහනකොට පුදුම ගැම්මක් එන්නේ
17,නොදකින්මුන්ඔබ ටහරි යට රටරන්නදෙන්නේහෝරුඔක්කෝමඅහුවෙනවටඋන්බයේදගලනවාඔබටදලදාසමිදුගේපිහිටයිපරිස්සමෙන්
18,ඒ විපක්ෂයේ අනුර මරු ජනපති අනුර නම් අප්පිරියයි
19,මාලිමාවට ජයවේවා
20,මේ වීඩියෝ එක දැන් බලනකොට
21,කවුද ඔය පිස්සු බල්ලොත් ටික දාන්න මුනවල් ටික දෙන්න ජනපතිතුමෙනි සංවරයක් නැති එවුන්ට දඩුවම් ඔබතුමා පිස්සොත් එක්ක කථා කරලා අසනිප වෙන්න එපා අපට රටට ඕනෙ ඔබතුමා වාගෙ විර අවංක ජනපතිවරණයෙන් ඔබතුම ඔය ඔක්කොම දෙන්න පාලිමන්ට් එකෙ පිස්සොවගෙ හැසිරෙන එවුන්ට ගන්න නිතිය ගන්න පිස්සන් ට නිතිය අපි එතකොට චන්දකාලෙට අපට පුලුවන් පන්නන්න ඔබතුමාට ආත්ම ශක්තිය ධහිරය ආශිර්වාද ලැබෙනවා ඔබතුමා ඔයා කියන්න එපා නම් කියන්න අපට ජනතාවට දැනගන්න
22,අතිවිශිෂ්ට යි ජනාධිපතිතුමනි
23,විපක්ෂයට ඡන්දේ දැනටමත් දීල ඉවරි ගොන් තඩියෝ
24,අපිට මේ අනුර නැතිවුනා
25,ඔබ තුමාට පුලුවන් නම් මෙ ලංකාව ගොඩ ගන්න මොන්ඩි සොරියට වත් ගියෙ නැති හරක් ඉන්න අපේ රටේ වෙසා ගැනු නැති කරන්න වැරදකරන ගැනුන්ට දඩුවම් දෙන්න වෙසා ගැනු පස්සෙ ගිය සහ යන පාල කයි හදාපු නිතිය නිසා ලමා නිවා සපිරිලා ලමයි කුනුකුඩවල පන්සල් යන්නේ මිනිස්සුබලන්න මිස වෙන දෙයකට නොව පන්සිල් පද වල අර්තය දන්නේත් නැහැ ඇත්ත ඔකයි අම්මා කියන වචනය තේරුම දන්නේත් නැහැ හය හතර කියන තේරුම දන්නේත් නැහැ අපේ ලංකාවෙ ඉගෙන ගත්තේ කවුද ඉගන ගත්තේ එක් කනයි එම රාපු පෙබා කරම් විතරයි අපෙ මිනිස්සුන්ට ඔලුව තිබ්බා ට මොලය නැහැ
26,ජනාධිපතිතුමනි ඒදත් අදත් ඔබ වීරයෙකි ජයවේවා
27,මමමේ කතාව අහද්දි අපේ ජනාධිපති ජනාධිපති වෙලා මාස ගානක් වෙලා තෙරැවන් සරණයි දීර්ඝායුෂ ලැබේවා
28,මාර ගැම්මක් මේ වචන කොහොම මතක තියෙනවද නියම සිංහයා හරිම ආඩම්බරයි ජයවේවා බුදුසරණයි දෙවි පිහිටයි අපේ ආවිසත් අරන් ජීවත් වේවාරට ගොඩ ගන්න සක්තිය දහිර්ය ලැබේවා
29,මරු ගොඩක් ආසයි අප්පා
30,තෙරුවන් සරනයි ජනාධිපතිතුමාට පරිස්සම්වෙන්න මේ මිනිමරුවන්ගෙන්
31,කොමද ගැඇම
32,සැබෑ වීරයෙක් සිංහයෙක් ජනාධිපතිතුමනි
33,මාරෙමරුඅනුරමහත්තයා
34,මෙරට වසරක පාදඩ දේශපාලන ය අවසන් කල අපේ ග රු ජනාධිපති තුමා
35,බල්ලො උඩුබිරිවට කදුපහත් වෙන්නෙ නැහ ඔබතුමා දිගටම කතාකරන්න ජයජයම වෙිවා
36,සැබෑ සිංහ යෙක්
37,ජනාධිපති තුමනි ඔබට ජෙසුස් වහන්සෙගේ ආසිර්වාදෙ රැකවරණය ලැබේවා
38,ජනාධිපති තුමාගේ තත්ව අහගන ඉන්න බැරි එවුන් සෙරම එලියට දාන්න නිවටයෙ
39,මෙ කතාව පිස්සුවක්
40,නියම සිංහයෙක් රැකගනිල්ලා පණවාගේ සහෝදරයා
41,ඹබනමිසිංහයොක්තාමඑදාත්අදඅපේරටමබරයිඹබට
42,ඌත්තම වාදි ඌත්තම මිනිසෙක් ජනපතිතුමනි ඔබට දීර්ග ආයු ප්රීතිය සතුට නිදහස නිතරම ලැබේවාඔබට ජයජයජය
43,ඔබට බුදුසරණයි ජයවේවා අපේ රත්තරන් හදවත ජයවේවා සැමදාම රට ඔබට අපි ඔබට ඊ ජයවේවා බුදුසරණයි
44,සතතපිරිතකතාවජනාධ්පති තුමනිිඔබතුමාආක්ෂා වෙන එකහෙදයිඔබටජයමවේවා
45,අනේ මොනව කිව්වත් රටේ වීරයා සිංහයා රට දියුණු කෙරුව ජනපති තුමනි අනූන්ගෙ වැරදි හොයපන් රට හදපන්
46,කමක් නෑ සිංහලයාට සිංහයා රටේ වීරයා ඉන්නවා මහින්ද මහත්තයා රජෙක් සිංහයා ඉන්නවා ඔබතුමාට දීර්ඝායුෂ ප්රාර්ථනා කරනවා බුදු රජාණන්
47,මහ පොලවේ ලිනගුලෙන් ඉරි ඇන්දේඔතන විනය නොදන්න මොලබාග ටිකට කියල දෙන්න හොදට සහෝ
48,පාලිමෙින්තු කතාවට ඉඩ නෝදි නරිවාගේ හුකියන නරි පන්නන්න ඔිනේ
49,ට රැස්විම කැදවපු නිසා පැය බාගයක් ඉන්න තිබුනනේ උවමනාවක් තියෙනවනම් ඔයිටවඩා කැපවීම් කරන්න පුළුවන්
50,ජයම වෙිවා මාලිමා ජනධිපතිතුමාට
51,ජනාධිපතිතුමනි ඔිබතුමාගෙ මතකය තව තවත් වැඩි දියනු වෙිවා බල්ලො බිරැවාට හපන්න නැ බයයි ඔිබතුමා යන ගමන ඉදිරියටම යන්න රටෙ සියලුම ජනතාව ඔිබ සමගයි
52,ජයවේවා ජයවේවා ජයවේවා ශක්තිය දෛවය ලැබේවා
53,අනුර කුමාර දිසානායක මෙතන කතා කලේ සිංහයෙක් මෙන්
54,ගෝටා පිස්සෙක්
55,මාලිමාව දිනලා ඉවරයි අනුර කුමාර අද ජනාධිපති
56,ගෝටා ගෝ හෝම්
57,පාර්ලිමන්ට් එකේ ඉන්න මී හරක් රැල දොට්ට දාලා ඉන්න ගරු ජනාදී පතිතුමණි
58,නියම සිංහල සිංහයා කථාකරන එක අහන් ඉන්නබැරි මෝඩ හොරු බල්ලො බුරනවා වගේ බෙරිහන් දෙනව මුන් පාසල් කාලෙ ගුරැැවරැන්ට අකීකරැැවෙලා පංතිවලින් එලවපු සත්තු මුන්ට කිසිම ලැජ්ජ බයක් නැති බලුරැලක්
59,ඔබ තුමාට ජය වේවා බල්ලො උඩු බුරනවා විතරයි ජය මංගල ගාථා කියන්නෙ නැ ජය වේවා ජය වේවා ජය වේවා
60,මාරම සතුටුයි ගහපු කතිරෙට
61,නියමයි
62,අපේ සිංහල ලේ අපිට ආඩම්බරයි ගොඩක් හද පායනකොට බල්ලො බුරනවා ජනාධිපති තුමනි ගනන් ගන්න එපා මගේ රටේ සියලුම දෙනාගෙ ආශිර්වාදය ඔබතුමාට තියෙනවා තෙරැවන් සරණයි
63,ජයවෙිවා ජයවෙිවා නියමයි
64,පාර්ලිමේන්තු වේ පරණ බුරපු හොරිකඩ බල්ලෝ ටික තාම ඉන්න වදකාල කන්නි හැත්තට ගු ගහල එලවලම දාන්න ඕනේ
65,ජනතාවඔඛලග
66,ජයවෙව
67,ඔබ තරම් උතුම් පුත්ර රත්නයක් යතාර්ථය අවධි කර නිර්භයව ඇත්ත ප්රකාශ කරන ජනාධිපති වරයෙක් මුළු ලොව ම ජය ගන්නවා සත්යමයි
68,විශිෂ්ඨයිඅතිවිශිෂ්ඨයිඔබ නම් සුදුසු ජනාධිපති කමටමයි
69,එදා ඒ කළ අරගලයේ අග්රඵලය අද අපි භුක්ති ව්දිනවා
70,ජයවෙිවා
71,මෙවගෙ කෙනෙක් ර්ටෙ ජනාධිපති කරපු අපිට ආඩම්බරයක් රට හද්ලා තමයි නවතින්නෙ
72,රෙක්ස්පට් සහොද්රයා
73,සිංහයා
74,ඔබට අපි සැමදාම ආදරෙ කලා අපේ රටෙිි ජනතාවට පරක්කු වෙලා හරි තේරැමිි ගියා
75,සහෝදරයාට මාගේ ආචාරය සහ ආදරය
