Index,Sinhala Comment
1,කට වගේම වැඩත් තිබුන නම් තමයි හොද බොරුවට ලතෝනි දෙනව විතරයි මෝඩ බූරූ හැත්ත
2,ඔබල් අවුරුදු ගානක්දිනල හොරකම් කරල රටත් බංකොලොත් කරල දැන් කයිවාරු ගහන්න එපා ඔය
3,පච මාලිමාව රෙදි ඉල්ලේ
4,හොරු
5,කෝ අර කමක් නෑ මාලිමාවට කියපු සෙට් ඒක
6,ලුනු කැදත් නෑ
7,කයිවාරුව නං පච ඡෙප්පො
8,ලයිට් කණු ගිනි තියලා රටේ සංවර්ධනයට බලපාපු සියල්ල විනාශ කරලා වසරක සාපේ විපක්ෂය කියලා කියනවා අනේ ඉනිත් පස්සේ එවුන්ගේ පාවෙන ඡන්ද අරං රගනවා අනේ ලොලු ජෙප්පෝ ඇත්තටම බැලුවොත් වසරක සාපේ තොපි ගොන් හුගේ පුතාලා දැන් ජෙප්පෝ ටිපර් වෙයි
9,සභාවක් මොන මගුලකට ඔයි මිනිස්සුන්ට කන්න බොන්න දිපල්ලා කාලකන්නි හැතිකරය
10,වැඩ බලන කථානායකගෙ නම මොකක්ද
11,ඉල්ලං කනවා පිංසිපොලා
12,අපි හැමදාම පරාදයි
13,එක පාරක් දිනලා බොරුවට කෑ ගහනවා බිබලා හැංගිලා උන්නේ ඉස්සර
14,කාලකන්නී ජෙප්පෝ
15,කන්ටේනර් බිමල් නේද මේ
16,රටට හෙන වැදුන්නෙ ජෙවීපි හැත්ත ආවට පස්සෙ
17,කොටියා කටේ රෙනකං කට අල්ලං ඉන්න පොන්න ආන්ඩුව
18,ඔවු මුං හැමදාම දිනුවා හැබැයි මහජනතාව තමයි පැරදුනේ
19,ගං කබර ජෙප්පෝ තමයි බං
20,එක මිටට මේ ත්රස්තවාදි ටික බලයට ගෙනාවට උන් රටට කිසි දෙයක් කරන්න ඈ උන්ට තියෙන්නේ උන් ගත්ත සල්ලි වලට එල්ටීටීඊ එකට සාධාරණේ ඉෂ්ට කරන එක විතරයි ඒක කරන්න නම් ඒක වෙන්නේ රාජපක්ෂලට ගැහුවොත් පමණයි පමණයි එතකොටයි එල්ටීටී එක සතුටු වෙන්නේ දැන් රට වටේම කොටි සමරනවා ජනාධිපති සහෝදරයා මොන මගුලක්ද කරන්නේ ඒකට පොලිස ආරක්ෂාවකුත් දීලා ඒවට උද්ඝෝෂණය කරන මිනිස්සුන්ට උසාවි නියෝග අරන් ඇවිල්ලා මොනවද රටේ වෙන්නේ සිංහල මිනිස්සු විහින්ම එල්ටීටී ත්රස්තවාදීන්ට නැගිටින්න බලය දුන්න ජනතා විමුක්ති පෙරමුණට දැන් ඒක තමයි රටේ වෙන්නේ ලුණු නෙමේ ඉන්නත් නැති වෙනවා තව ටික දවසක් යනකොට මේ නරි ටික මොන මගුලක්වත් මොනවත් කරන්නේ නෑ අනුර කුමාර ජනාධිපති වුණාට එයාට කිසි දෙයක් තීරණ ගන්න බෑ ඒ තීරණ ගන්නේ එල්ටීටීඊ ඩයස්පෝරාවේ ප්රධානියක් වෙන කවුරුත් නෙමෙයි නෙමෙයි ඒ නිසා එයා නැටවෙන්නේ ඒගොල්ලොන්ගේ අතේ තියෙන නූලට ඕනිහටබලපල්ලා ටිකක් පාරට බැහැලා යාපනය පැත්ත විතරක් නෙමෙයි දැන් මීගමුව පැත්තෙත් පටන් අරන් තියෙන්නේ කොට්ටි වියරු සැමරුම සමරන්න අර එක බල්ලෙක් කිව්වෙ පාර්ලිමේන්තුවේ අපිටත් දුකක් දැනෙනවලු දුකක් දැනෙනවද රස්තවාදින්ටයි මිනිස්සු ගැන දුකක් ඇතිවෙන්නේ හේතුවක් නෑ නේ උණුට්න් ත්රස්තවාදී මුනුත් ත්රස්තවාදීජනතා විමුක්ති පෙරමුණේ ආණ්ඩුවට තව ටික දවසක් යනකොට පාරේ යන්න වෙන්නේ නෑ නෑ මේගොල්ලෝ හිතාගෙන ඇති මේකලේසියට රට වටේම කොටි සමරනවා තාම මිනිස්සුන්ට හරියට දන්නේ නෑ නෑ දැන ගත්ත දාට මුන්ට පාරේ නෙමේ යන්න වෙන්නේඕක ඇතුලෙ වැළලෙන්න බල්ලා තණ්හාවට එල්ටීටී ත්රස්තවාදිගෙන් උදව් වරම් මේ ත්රස්තවාදී ටික බලයට ආවා එච්චරයි කළේ ඒ කරන්න දැන් කරන්නෙත් උන්ට ඕන දේ විතරයි රටේ ප්රශ්න විසඳන්න මුන්ට උවමනාවක් නෑ ත්රස්තවාදීන්ගෙන් ලස්සන රටක් ඉල්ලපු හරක් ඉන්න රට සිරි ලංකාව
21,ලගදි ආපු උන් දන්න පක්ක් නෑ
22,අනේ ගෝතයො
23,නියමයි චානක විපක්ෂයේ කාර්ය භාරය ඉතා හොඳින් ඉටු කරන්න සජිත් විපක්ෂ නායක ලෙස ඉටු කරන කාර්ය භාරය මීට වඩා ප්රබල වීය යුතුයි
24,චානක පුතේ නියමයි එකෙන් ම නියමයි
25,සුපිරි චානක ලොක්කා ජෙප්පෝ ලේෆ්ට් රෙදි ඉල්ලේ මුන් හැමදේම අනාගන්නවා
26,මාලිමාවෙි බුරෑවන් ලුනුදාලා පුකො අැරින් ඔනේ
27,ජෙප්පන්ගේ ඩෝබියෝ කන්නේ පුන්නක්කු තනකොල උන්ට මිනිස්සු කන ආහාර වර්ග හිග උනාට ප්රශ්නයක් නෑ
28,ජේප්පෝ උබලව ගෙනාවේ අපිඅපේ ච්න්ද වලින් උබල ආවේඔව් අපි පොහොට්ටුවේ උන්උබලව ඉක්මනට තොලොන්චි කරලා යවනවාඔව් ඒ අපි පොහොට්ටුවේ උන්
29,කාලකන්නි බිමලයව මට පේන්න බැහැ
30,අවුරුදු රටේ ආණ්ඩු බලය තිබිලත් ඒත් ලුණු ප්රශ්නෙ විසදලා යන්න බැරි වෙලා කොහොමද හොරා කෑම
31,කවදාවත්බලයට එන්නේ නෑ නම වෙනස් කළේ නැත්නම්අවුරුදු ක් තිස්සේ රටේ සංවර්ධනයට අකුල් හෙලපු කඩ්කප්පල්කාරයන්මාලි මාව කියලා නම වෙනස් කළාට මේගොල්ලොත් ත්රස්තවාදීන්මුන් රට කනවා
