Index,Sinhala Comment
1,උබලට නිදහසෙ ඹක්ෂිජන් ලැබෙන්නේ අප්පච්චි නිශා බත් කන කට්න් අචුච් කන්න ලැහැස්ති වෙන්න එපා වෛයිරවපුරන්නත් එපා නාමල් රාජපක්ෂට අත තියන්නත් එපා උබලට බලය ලැබ්ඇත සාධාරන විදියට කරගෙනයන්න බුදු සරණයි අපිත් උදව්කරනවා පලිගන්න බල්ලොවෙන්න එපා
2,සූනමීහොරා
3,ව ල්ලකූනූවෙයෙන්
4,පල්භොරා
5,හොරැ කන්නභීටීයඩතනඉදල
6,දැන් ඉතිං මෙවා වැඩක් නැහැ එදා ගොථාට දුන්න බලෙ රැකගත්තනමි අදටත් අපිමයි
7,මොන ලබ්බෙන්ද යුද්දේ කරන්නේ කියපු එකා නේද මේ
8,ඔබට දීර්ඝායුෂ ලැබේවා ජනාධිපතිතුමනි තෙරුවන් සරණයි අපි ඔබට සදා ණයගැති සදාකල් ආදරෙයි
9,සදාතනික රජෙක්
10,අපේරජුමහින්දනිරිදුම්යි
11,අපි ඔය රඟපෑමට රැවටුනා
12,අදටත් සතුටින් සතුටු කදුලින් බලන්නේ මහින්ද රාජපක්ෂ ජනාධිපතිතුමනි ඔබ උතුම් නිදුක් නීරෝගී දීර්ඝායුශම ලබත්වා ඔබ හොරුන්ට රැකවරනය දුන්නේ නැත්තං ඔබ අද රජෙක් වගේ ඉන්න ඕනී මනුස්සයෙක් ඒ එක කරන්න ඕනී නිසාමයි පලවෙනි වතාවට අනුර කුමාර දිසානායක ජනාධිපතිතුමට මෙවර චන්දේ දුන්නේ මහින්ද රාජපක්ෂ ජනාධිපතිතුමනි ඔබතුමාට උතුම් තෙරුවන් සරනම ලැබේවා සාදූ සාදූ සාදූ
13,දෙවිකෙනෙක් වගේ අදහන්න ඔිනි නායකයෙක්
14,අනේ පස්ස උඩ තියාගෙන පොලවට වැදල දුන්න ජනතාවට පොලවෙ පස් කන්න තරමට රන් අකුරින්ම පාතාල හොර බොරු වන්චා පුද්ගලයෙක් උනා විහින් තමුන් තමුන්ගෙ ගෞරවය අද අහිම් කර ගත් බව දැන වැටහී ඇත
15,මෙ මනුස්සයා හොරකම් කල බව ඇත්තනමුත් යුද්ධයක් අවසන් කරන්න කටයුතු කලායුද්ධය අවසන් නොවුනානම් මීට වඩා විනාශයක් වෙන්න තිබ්බානමුත් කරපු වැරදි වලට සමාව දිය නොහැකි
16,මහින්ද රාජපක්ෂ කියන්නේ ලංකා ඉතිහාසයේ ජාතික වීරයෙක් ඉස්සර එක දවසක් මගේ අප්පච්චි රාජකාරී වැඩකට කොළඹ ගියා දවසක් එදාම කොළඹ බෝම්බයක් පිපුරුණා බස් බෝම්බයක් අද වාගේ ඉස්සර හැමෝ ගාවම තිබුණෙත් නෑ ඉතිං අප්පච්චි හවස ගෙදර එනකල් අම්මා ගෙදර උයන්නෙත් නැතුව කන්නෙත් නැතුව අඬ අඬා බලන් හිටියා මම පොඩි වුණත් මට මතකයි අපේ වාසනාවට අප්පච්චි හවස ගෙදර ආවා ඒත් ඒත් එදා ළමයි කී දෙනෙක් නම් තාත්තලා එනකල් බලන් හිටියාට තාත්තලා එන්න නැතුව ඇතිද අම්මලා කී දෙනෙක් ගෙදර එන්න නැතුව ඇතිද ළමයි කී දෙනෙක් නම් අනාථ වෙන්න ඇතිද දෙමාපියෝ නැති වෙලා ඉතිං ඒ කාළකණ්ණි අතීතය නැති කලාට බොහොම ස්තූතියි මහින්ද රාජපක්ෂ ජනාධිපතිතුමණි අද මිනිස්සු බයක් සැකක් නැතුව පාරේ බැහැලා යන්නේ ඔබ නිසා දි ඇමරිකා එක්සත් ජනපද රාජ්ය දෙපාර්තමේන්තුව කියපු විදිහට ලෝකේ දරෞණු ම ත්රස්තවාදී කල්ලිය තමයි එල්ටීටී එක කියන්නේ ඉතිං එහෙව් ත්රස්තයෝ පරාද කරපු ඔබට බොහොම පිං ලංකා ඉතිහාසයේ සදාකල් ම ඔබ ජාතික වීරයෙක් විදිහට මතකයේ තිබේවි
17,අදත් බැලුවා
18,අනේ මේක දකිනකොට මාරම ගැම්මක් එන්නේ කවුරු මොනවා කිවුවත් ඔබ තුමා තමයි සැබෑම නායකයා දුටුගැමුණු රජුට පස්සේ ඔබ තුමා තමයි රට නිදහස් කර ගත්තේ
19,අපි තාමත් ආදරෙයිබලයෙන් අන්ධ වුන තණ්හාව ඉහට ගහපු ආත්මාර්ථකාමියාට නෙවෙයි මේ ෆ්ලයිට් ඒකෙන් බැහැලා එනසිරියාවන්ත හිනාවක්ගැම්මක් තිබූණ රජෙක් වුන මහින්දට
20,හොරා
21,පල හුත්තිගෙ පුතාතොපි කාලිංගලගෙ උන තේ දලු කඩන හැත්තක්රෙද්දක් ආව උතුරු ඉන්දියවෙන්
22,රණවිරුවට රණවිරුවා කියාගන්න කොන්දක් පණ නැති එකෙක් එක්ක රණවිරු සැමරුමට බල්ලෙක් වගෙ ඇදන් එන්න උන එකෙක් එක්ක මොන රට හැදිල්ලක්ද මෙන්න මෙ ගැම්ම විදේශ බලවේග වලට බම්බු ගහගන්න කියල රට වෙනුවෙන් එදා ගත්තු ඒ නිර්භීත තීරණ නිසයි ඔය ලපයට අද රඟන්න වේදීකාවක් හැදිලා තියෙන්නෙ ඌ වගෙ ඩයස්පෝරාවට බයෙ පස්ස ගැහුවා නම් අද අපිට නිදහසෙ හුස්මක් ගන්න හම්බෙයිද යකො හිවලෙක්ට බැ සිංහයෙක්ගෙ ගැම්ම ගන්න
23,දෙවියෙක්
24,අපි හැමදාම ඔබතුමාට ගරු කරනවාකවුරු මොනවා කිව්වත් ඒ ආදරෙ වෙනසක් උන් නෑ
25,මගෙ අප්පච්චිට ලක්මෑණිගේ අතිජාත සිංහ පුතුනි මහින්ද රාජපක්ෂ එදත් අදත් මේ සිරි ලක එකම රජු ඔබයි ඔබ තුමාට දීර්ඝ අායුෂ ලැබේවා නිදුක් නීරෝගි සුවය ලැබේවා
26,සදා සමරමු
27,දෙවන දුටුගැමුණු රජතුමා
28,ඉස්සර එක්කාට කව්ද අකමැති ගැම්මක් මහින්ද
29,කවුරුත් මොනා කිව්වත් එකෙන්ම සුපිරි වැඩ්ඩෙක් කොන්ද කෙළින් රට රැක ගත් නායකයා ඔහුයිදීර්ඝායුෂ වේවා මහින්ද මහතයා
30,හදවතේ නයකයා
31,ජෙප්පො බලපන්
32,අදටත් දේශපාලන ගමනේ දැවැන්තයාආදරෙයි
33,අද කොම මොනවා උනත් එදා මෙතුමාගෙ නීර්භිත තීන්දු තීරන රනවිරුවන් එක්ක මෙහෙයවමින් කුරිරු යුද්ධය අවසන් කරමින් රට තුල සාමයෙ පරවියන් ඉගිල ගියේ නැත්තන් එදා ඉපදුනු අපිත් අද ජිවිතයෙන් සමුගෙන ඉන්න තිබුනාරනවිරුවන්ටත් හිටපු ගරු ජනාදිපතිතුමන්ටත් හදවතින්ම ගරුකරනවාසදා ණයගැතියි අපි ඔබලාගෙ එ සේවයට
34,මිනිස්සූ මෙතනින් තේරුම් ගන්න ඕන දේ නම් අපි හැමෝටම හැමදේටම අදාල කාලසීමාවක් තියනවා කියලා මෙතුමත් තමන්ගේ නායකත්ව කාලය දැනගෙන පාලනය කරා නම් අද කාගෙන්වත් වචනෙකින්වත් අගෞරවයක් වෙන් නෑ මොකද මේ රට රජ කෙනෙක් නෙමේ පාලනය කරන්නේ මහජනතාවගේ ස්වධීන කැමත්තෙන්බහුතර කැමත්තෙන් තෝරාපත් කරගන්න නායකයෙක් ඉන්නෙ රාජ්ය අංශයේ සේවා කාලයත් වයස අවුරුදු නම් යුද්දයකට අන දුන්න කියලා ජීවිත කාලෙම ජනාධිපති වෙන්න බෑනේ නේද එයාට ආදරේ අයත් තේරුම් ගන්න ඕන ඒක එහෙම වෙන්න පුලුවන් නම් හමුදාපතිත් සටන් වැදුණු රනවිරුවනුත් මහලු උනත් ඔවුන්ගේ ජීවිත කාලයම රැකියාවේ තනතුරු වල නියැලෙන්න ඕන එහෙම බෑනේ ඒ නිසා ශ්රී ලංකාවේ ගෞරවනිය පුරවැසියෙක් ලෙස සිතන්න මහින්ද රාජපක්ශ මහත්මයාගේ පාක්ශිකයෙක් ලෙස රට ගැන නොහිත ඔහුට ආදරය කරන්න රසිකයෙක් ලෙස
35,දුන්නෙ මාලිමාවට ඒත් මෙයා නැත්තන් අපිත් නෑ
36,මහින්ද රාජපක්ෂ නාමය නැති කරන්න බත් කන හරක්ට බැහැ
