Index,Sinhala Comment
1,හරීන් මාර ආතල් එකක් ගන්නෙ
2,මි හරකා
3,මම හිතන්නෙ හරීන් වස විස මොනාහරි අරගෙන වගේ මේලෝ සිහියක නෙමෙයි කියනදේ අහගෙන ඉන්න ඕනනේ
4,නිකමට දාල බලපල්ලකො
5,හරින් නැමැති ගවයා එල වස්සා
6,උබ නං අමු හරකෙක් කියලා පේනවා
7,පාක්කු ප්රහාරය එල්ල වෙනව කියල දැනගෙන හිටපු මෙ ගවය හිරෙ දාන්න ඔනෙ
8,මේක කියන්නම ඕනිහිරු කියන අසූචි නැවේ ඉන්න කොන්ද පන ඇති මිනිහෙක්
9,ප්රබාකරන් හොදය් මුට වඩා
10,චමුදිතත් අන්තිමයි
11,හරීන්
12,හරීන් බබෙක් නෙවෙයි බල්ලෙක්
13,ඔන්න ඔය විදියේ මීනිස්සු තමයී චන්දේ ඉල්ලන්නේ තනිකර ගවයේ අහන ප්රශ්නෙට උත්තර දෙන්න දන්නේ නැ
14,ඇත්තටම මේ හරීන් අවජාතක අපත වේසිගේ පුතාට මොකද උනේඌ විහීන් ම කෙලවාගෙනද
15,තාත්තා කිවා පල්ලි යන්න එපා කියල
16,මේ වගේ බූරුවෙක් ගෙන්නලා වැඩක් නෑ
17,රටින් අතුගාන්න ඔින ම වගේම චමුදිතයව
18,චමුදිතය අමුගොන් හරකෙක් රටම පටලවනව
19,අමූ ගවයා
20,නියමයි චමුදිත
21,හරීන්උබනම් මහා අපතයෙක්
22,ගොන්නට කතාකරලා වැඩක් නැහැ චමුජිත
23,ගෝතයා
24,චමුදිත
25,කං කොටා ගොනා
26,කාලකන්නියෙක් හරකෙක් කියන්න බෑඒ සතාටත් අගෞරවයක් මූ ඊටත් අන්ත පහත් සතෙක්
27,චමුවගෙ ජනතාවාදී හැසිරීම අගයමි
28,මේහරකා ගමකනව මීට බදුලුජනතාව
29,දෙන්නඑපා ඔයහොරතක්කඩි බල්ලන්ට කිසිම චාන්ස් එකක් බයවෙන්නඑපා ඔබට පේුක්ෂක අපිඉන්නවාහරිමගයනවානම් අපිඔබව තනිනොකරන්නෙමු ජයවේවා ඔහොමයං
30,චමුවඔයඑනඑන බල්ලන්ට දෙන්න දොඹෙන් යන්න ඒකයි අපටත් වෙන්නඕන
31,ගොංහරීන් බලපිය පකය මිනිස්සු දාලතියෙන ටික ගෝතය තොට
32,රටම බලාගෙනයි හිටියෙ හරීන් ගෝතයගෙ මෝඩකම මෙතැනදී චමුදිත ඔබක්මනිවැරැදියි ඔබගැන නිතර විවේචනය කරපු ජෙප්පෙක් මම
