Index,Sinhala Comment
1,දීර්ගායුවේවාතුම්නි
2,කරන්න ඕනේ ආරක්ෂා කිරීමට මූලිකත්වය දුන්නේ මෙතුමා
3,රජුනි ඔබතුමාට අපේ උත්තමාචාරය ඔබ සමගයි හැමදාම බුදුසරණයි නිදුක් නිරෝගී දීර්ගායු ඔබතුමාට ජීවමාන බුදුවරුන්ගේ ආශීර්වාදය ලත් අයෙකි ඔබ
4,ඔබතුමාටමඩගහපුඑවුන්ටඅදවෙලාතියෙන්නෙපස්සවිකාගන්න
5,අර මෙලෝදෙයක් දන්නේ නැති මෝඩ ජොබ්බොව අහ ගනිල්ලා
6,දීර්ඝායුවේවා ඔබතුමාට හදවතේනායකයාතෙරුවන්සරණයි
7,ආයේ මේ වගේ ජනාධිපති කෙනෙක් බිහි වන්නෙ නැහැ ස්ථිරවම කියන්න පුලුවන්
8,ජනාධිපති තුමනි ඔබට තෙරුවන් සරණයි
9,මු තම්යි හොරා
10,අපෙ හදවත දීර්ඝායුශ ලැබෙවා
11,සිංහල රජාවලියෙන් පසු බිහිවූ ඔබ අපට රජේක් ඔබ ජනපති නොව ශ්රි ලංකිය රජ්ජුරුවෝ
12,ආදරෙයි ජනාධිපති තුමනි දීර්ගායුස සම්පත් ලැබේ වා යුදබිය තුරන් කරලා නිදහසේ හුසුමගන්න නිදහස උරුම කර දුන් ඔබ තුමාට තේරුවන් සරනයි
13,අපේ හදවතේ සිංහයා
14,ඔබතුමා නිසා තමයි අපි අද බින්දුව ඉන්නේ ඔබතුමාට තෙරැවන් සරණයි
15,රටෙි නායකයන් එක්ක බලන කොට අවසන් රජු තමා මෙි
16,ඔව් ජෙපි ආණ්ඩුව වැඩවලින්අන්තෙටම පරාදයි
17,කියන්නා කෙසේ කීවත් මගේ මව්බිමේ අසාහය රත්තරන් නායකයා ලොවටම එක්කෙනයි ගරුමහින්ද රාජපක්ෂකෙනෙක් නැවත මේපොලවේ ඉපදෙන්නේ නැත එතුමාට තෙරුවන් සරණයි
18,යුද්ධය නැවැත්තුව නායකයාවීරයා හැබැයි නාමල් බැසිල් වටේ උන් කාලාම දැම්මා
19,ආදරයෙන් පතමි
20,මොකා මඩ ගැහුවත් කොන්ද කෙලින් තියාගෙන අප රටේ ජාතිය වෙනුවෙන්ම කාතා කරන දකුණෙන් බිහිවුණ හැමදාම හදවතේ ඉන්න එකම සිහ නායකයා ඔබතුමාට නිදුක් නිරෝගිමත් වේවා දීර්ඝායුෂ ආශිර්වාදය ආරක්ෂාව ලැබේවා
21,බුදුසරණයි ඔබතුමාට නිදුක් නිරෝගී සුව ලැබේවා
22,දේශපාලනයෙ ගැන වැදගත් නැ මට මෙ මනුස්සයා පොරක්මොකද දැකපුඑඩිතර නයකයාදිර්ඝ අයු ලැබෙවා
23,අපි ඔබතුමාට ජීවිතේ තියෙන තුරාමආදරෙයි බයක් සැකක් නැතුව ජීවත් වෙන්න රටක් හදලා දුන්න ඔබතුමා දීර්ඝායුෂ ලැබේවා තෙරුවන් සරණයි එදත් අදත් හෙටත් ඉදිරියටත් ජීවිතේ තියෙන තුරාම හදවතේ ජනාධිපතිතුමා ඔබයි
24,ඔබතුමා ට තෙ රු වන් සරණයි අපි ඔබට සදහා ණයගැතියි
25,එදත් අදත් ආපේ ජනාධිපති ආදරේ වෙනසක් නෑතීරනය වෙනස් උනත්
26,ඔබ තුමා නැත්තනම් අද හු කියන වල් නරියෝ රගනේ නෑමෙහෙම එඩිතරව තීරණ ගත්තු නිසා අද අපි හුස්සම ගන්නවා නිදහසේනිදුක් නිරොගිමත් දිර්ගායුශ ලැබේවා අපේ හදවතේ නායකයානනිමොකොආ කොහොම කිව්වත් අදටත් අපේ සිංහලේ අපි දැකපු කොන්ද පණ තියෙන නායකයෙක් ඒ ගැම්ම දැන් කයිවාරු ගන උන්දෙලාට නෑසුබ අනාගතයක් කියලා ඉස්සර නිතරම කියනවා වගේ උබ තුමාට සුබ අනාගතයක් අපිට ඒ අනාගතේ හදලා දුන්නාට
27,ඇත්තටම අවංක හදවතක් තියන ජනපති කෙනෙක් ඉරිසියාව කුහක කම නැති අපේ ජනපති
28,අපේ ජනපති අපේ දුටුගැමුණු ඔබතුමාට දිර්ගයුෂ ලැබෙන්න ඕනි තෙරුවන් සරණයි
29,අදත් හෙටත් ඔබ අපෙ නායක ය
30,මිනිස්සු තාමත් ආදරෙයි ඔබ තුමාට වගේ
31,අවසන් රජු
32,ෆොන්සෙකාගෙ පිහිට
