Index,Sinhala Comment
1,හදවතේ නයකයා
2,අමරේ කො
3,පට්ට හොරු මිනිස්සුන්ගෙ රීරි මාංශ උරා බීපු
4,ඒ නිහතමානී කමට රේස්පා
5,කුඩු වෙච්ච වෙලාවෙ
6,එයාට රටක් පාලනය කරන්න අවබෝධයක් තිබ්බ නම් යුද්ධය ත් ඉවර රටක් බංකොලොත් වේවිද සියලු දෙනා ආතල් ගත්තා
7,අඩෝ දේශපාලනය නෙමේ යාලුවෙක් කෝල් කරල කරදරයක් කිව්ව ගමන් ක්ශනික යන්න පට්ට බොක්කෙ පොරක් වෙන්න ඕන
8,එකෙන්ම
9,දැන් තමයි මහින්ද මහත්තයා නැති දුක තේරෙන්නේ
10,කවුරු කොපිකරන්න ගියත් කාටවත්ම මහින්ද කෙනෙක් වෙන්න බෑ මහින්ද කියන්නෙම පුරාවෘත්තයක් හදවතේ මිනිසාට යහපතක්ම වේවා
11,අනේ උබ හුකපන් වේසිගෙ පුතෝ
12,අන්න පුරවෘත්තය දොරේ ගලනවා පුක දෙන්නේ නැතුව ඉදහන් බං
13,රට බංකොලොත් කරපු පුරාවෘත්තය
14,පට්ට හොරු රැකප්පු හොරෙක්
15,අායෙ එන්නෙ අපායෙ එක එයාට
16,අදටත් ගරු කරනව රට බේරුවාට ඔබ තුමාට
17,මේ යකා නිවන් යන්නේ නැනේ
18,අන්න ගැම්ම තිබුනු කාලේ
19,මිනිස්සු රාජ පස්සෙ සුවද බලපු කාලෙ
20,ඒ කාලේ අපිටත් බැන බැන මේවට හුරේ දාපු කාලකන්නි නිසා තමා රට විනාස උනේ
21,පඩ සෝ නං මයිනා තමයි
22,අඩෝ අඩෝ සිංහයා කාලෙ
23,තූක් නොදකින් නාකි මයිනා
24,තක්කඩිය
25,මහින්ද ලොක්කගෙ වැරදි තියනව හැබැයි ලොක්කට කෙලවෙන්න හේතුව මිනිස්සුන්ට ඔනවර්ට වඩා උදවු කරපු එක
26,මිනිසුන්ට නෙමෙ හොරුන්ට
27,පක තමා පුක නොදී ඉදපන් බං
28,න් මේන් උඩ පයිනව කීවලු අනෙපලැන්න් බන් යනඩ කරා උදෞ
29,ආප්පය පැන්න දවස මම හිතන්නෙ
30,යුගයේ අසහාය නායකයා
31,අපේ වීරයා
32,පොන්නයා
33,ලංසා ගෙන් කෝල් එකක්ද
34,මෙන්න ඇක්ටින්
35,මෑත යුගයේ පහළ වූ රජෙක් යැයි සැලකිය හැකි එකම නායකයා මහින්ද රාජපක්ෂ
36,අම්මගේ
37,නිවන් සුව ලබේවා
38,මිනි මරුවා
39,කුඩු මහින්ද
40,නිමල් ලංසගෙ ගෙට ගියපු වෙලාව
41,සදාකාලික විවේකය ලැබේවා
42,ඖ ඖ යන්ඩ යන්ඩ
43,මාඉන්ද සාජපස්ස
44,මැර පක්කු ටික
45,අපිනම් උඩින්ම අවසර දෙනව යන්න මකබැවිලාම යන්න ඒ උනාට උඹල යන්නෑනෙ
46,අපිනම් එකෙන්ම සුභ පතනව උබලගෙ පව්ල් පිටින් හැදි ගෑවිලාම යන්න මැරිල පලයන් මේක දැක්ක ගමන් උබලගෙ මිශ්ර ශුක්ක්රානුවො
47,අවුරුදු ට පස්සෙ සත්ය අවබෝධ කරගත් පිරිස මේ කොණට එන්න බලන්න හා හා පක්ශ පාට අදාල නෑ එන්නයි කීවෙ මේ කොනට
48,මහින්ද මහත්තයා කොහොමත් අපේ වීරයදැන් ඉන්න එකා ගෝතයෙක්නේ
49,ව්රයෙක් තමයි යුද්දෙන් පස්සේ තක්කඩියෙක් උනා
