id,text
1,මේ ආණ්ඩුවට දුර පේන්නැ කන්ටෙනර් හිතාගනින් ප යා පර බල්ලනේ විපක්සේ තොපි පුකවල් ලෙවකාපිය හැත්ත මාලිමාවෙ උන් නාගන්න වේගෙට සිරසෙ
2,උන්ට හෝදන්න වෙලාවකුත් නෑඋනුත් කොර වෙලා අපිට නම් එපා නෑමාලිමාව දැන් සමගි ජනබලය නායයන එකගැන කතාකරපන් අනේ පව් උබල හිතේ
3,අමාරුවට කෑගැහුවට සජිය යකඩ කූරු ගනින්ඩ ලගයි හොරාකාපුව මාට්ටු තියෙන්නෙ ඒකයි සමගියේ කට්ටිය සන්විදායකලා ඉල්ලා අස්වෙන්නෙ සමගියට පය පන නැති
4,නායකයෙක් වැඩක්නෑ නියමයි ජයවේවා විපක්ෂෙට කියන්න දෙයක් නැතිව ලුනුයි හාලුයි පොල්ගෙඩියයි හොයනව සමන්මලී ප්රජාතන්ත්ර වරෝධී කම සාධාරනීකරනය නරනවාපට්ට බොරු කියනවා
5,සිරස මාලිමා වට රෙදි නතිව කඩෙ යනවා විපක්සෙ ලුනු චන්දේ දුන්නෙ තම තමන්ගේ නෑදෑයන් ට යාලුවන්ට පක්සෙ අය ගැන නොදන්නා
6,නිසා නොදී සිටීම ආන්ඩුවට කඩේ යනවද මන්දාආන්ඩුවෙන් දෙදෙනෙක්ම ඇයිද මන්දා ආන්ඩුව කියන්නේ හරකෙක් කොහෙද මා ලග කබයනෙ අල්ලන් ඉන්නේ කියන
7,එකයි හැබැයි කබය කොනේ හරක ඉන්නවා හාල් ගියත් අපි බත් කනවා මෙි ගෙනාවෙිම හොරු අල්ලන්න සහ හොරාකාපුවා නැවත ලබාගැනීමට ක්රියා
8,කරන්න එක ගංකබරයින්ගේ මෝඩ චුං වලට උත්තර දෙන්න නෙමෙයි සටන නොවෙයි මලිමා ඒ උනත් හිටගනිල්ලා මහ ජනයා සමග ගොබිලෝකන්ටේනර් ගැ
9,අහල්ලා සිරසට තිබේන්නේ සජබේ ප්රස්නේ රටේ ප්රස්න බූරූවා අහපිය තට්ටයා සජබෙ නීතීක්ඤ තුමා දවල් හීන දකින කොට පල්ලම් බැහැලා ඉවරයි
10,ලංකාවෙ එකම ශක්තිමත් පක්ෂය ජාතික ජනබල වේගයයි සොරි ඩොට් කොම් දුමින්ද නම තියෙනහැමඑකෙක් ම පටිට තක්කඩි මොඩයෝ ඊර්ෂ්යාකාරයෝ බන් නිලිරැජිනි
11,විකැණාගෙන නේද විජේ කුමාරතුන්ග මැරීම මෙයාලට කන්ටේනර් සහල් පොල් බිත්තර හිඟය සුලු නොනගෙන් අහල විවාද එන්නගිවිසුම් කතා නැහැ පච මල්ල
12,අදත් දිග හරිනවපොඩ්ඩක් පසු බැස්ස බව පිලිගන්නෙම පව්කදු නාය යනවවේදිකාව පැටලිලා පල හුත්තිගෙ කොල්ල ඉන්දීය ගිවිසුම ජෙප්පොරෙදි කෝ සුරංග මොන
13,සටනවල්දමධ්යවේදියෝ හොදයි තේ පැන් සංග්රහයකටමේ ප්රශ්න නුගත් විපක්ෂටමදැන් ඉතිං බුද්දිමත් විපක්ෂකුත් හදලා තියෙන්නේඅපේ පව ආන්ඩුක් හැදුවාගැලපෙන විපක්ෂයක් නැ වැරදි පෙන්නලා
14,හරියට අසමගි ජනබලවෙගය නිදහසෙන් අපේ පුරවැසියන් හදාගන්ත ජනහිතකාමි දේශපාලනය මාලිමාව කැලණියේ පිංපියා සජිත්ගේ අබුඩ හෝදන ලස්සනට මට මතක් වෙන්නේ දවස්වල
15,මානප්පෙරු හෝදපු කැත ගෝත කැරියා යන්න ඉන්දියාව අත්සන් කල අවබෝදතා සම්බන්ධයෙන් දින සිට මාස පෙර මෙම පනතට විරුද්ධව උසාවියෙන් වාරණයක්
16,ලබාගන්න පුලුවන් එහෙම ගන්න ගිවිසුමක් කරලා තියෙන්න එපාය බං විපක්ෂය කරලදාල ශක්තියමත් නෑ ලු ලොන්ඩරි හිරු බලන ඔබ අභියෝගයක් කරනවා
17,පුළුවන් දෙවන වසරේ වසර දක්වා ටියුෂන් මුදලාලිලා මාසයකට ලක්ෂ හෝ ක් සූරා කමින් විශාල ධනපතියන් බිහි සිටිනවා එවාට වහාම දැවැන්ත
18,උද්ඝෝෂණයක් සංවිධානය කරන්ඩ එසේ නොහැකි ඔබලා සුපිරි වංචා කාරයෝ කිව යුතුයි මූට පිස්සු එකා ගොඩාක් පිස්සෙක් නියෝජිතයීන් දෙදෙනා කොච්චර වැදගත්
19,ලෙසින් අදහස් ඉදිරිපත් කරනවද ආදරනීය ජනාධිපතිතුමා ඇතුලු සහෝදරත්වයට උතුම් දළදා සමිදුන්ගේ ආශිර්වාදය වේවා යන ජඩසිරස තොගෙ අම්මට තෝ වගේ තව
20,ඉන්නවද හපොයි උඹ එකක් දෙරණ යන්නෙ තොපිටනෙ නරියෙක් ආයෙ ගවයෝ එකෙක්වත් පාලනයට ගේන්නෙ තනකොල කකා ඉන්නම අරිනවාස දාකාලික ජ නතාව
21,බ න්කොලොත්දැන් බස්තියන් මිනිස්සුන්ට දිපු ගුංඩු පාසැල් බස්සුහුුරැ පංති ලැ නේතපරාට ගාමින්ට ජිවිතේට එන්න වෙන්නෙ ජාජබය නොකලොත් රතු පාටත් වමත්
22,වැලලිලාම යනවානව මහජන ව්යාපාරයක් හදන්න සතුන් අඩුයි තමයි එදා ඉදලම රටට හෙනේ මාළිමා රජයේ වැඩ පිළිවෙල විරුද්ධ පක්ෂ දියවෙලාම යමින්
23,තිබෙනවාඑ වගේම හොරකම් කරපු මුදල් කර ගැනීමට හා වරද කරුවන්ට දඬුවම් දෙන විට ඔවුන් භය බිරාන්ත නොයෙකුත් ඇති ඔවුන්ගේ හිතවත්
24,ජඩ මාධ්යයන් ගෙවා සමාජ මාධ්යයේ ප්රචාරයන් කිරීමට හිතවතුන් යොදවලා ජනතාව මුලා රජයට ප්රහාරයන් එල්ල කරනවාහැබැයි ඉවසලා අන්තිමට දෙනවා තරු පෙනෙන්ඩම
25,බුරුල දුන්නා යකාගේ තරම පෙන්වන්ඩයි හදන්නේඔය කුමන්ත්රණ කෑරයන්ව නීතියේ රැහැනට අහු ඉතාමත් ඉක්මනින්ම සාමාජිකයා කරන්නේ මන්ද බුද්ධික මොංගල් කාරයෙක් නායකයාගේ
26,දුර්වල කම් වංචනිකයක් මොහු දැවෙන නෙවෙයි බහු බූත ලුණුකන්ටේනර්වගේ බොළඳ තුට්ටු දෙකේ පරාජිත දේශපාලන කතාවන් යහපාලන නිවාස සංවර්ධන අධිකාරි ඇමති
27,ඉන්න කාලේ මොවුන්ගේ නායකයාම පට්ට පල් හොරෙක් කියලා උනා ලඟදීම උසාවියට යන්ඩත් වෙනවාඔහු මධ්යම සංස්කෘතික අරමුදලෙන් ඉංජිනේරු සංස්ථාවේන් කරන ලද
28,ඔහුගේ සහෝදරී හොර සල්ලි බැංකුවකින් මාරු ගිහින් වෙලත් ඇය හිටපු ජනපති කෙනෙකුගේ දියණියක් ඇයට නීතිය ක්රියාත්මක නොකල වු මහින්ද රාජපක්ෂ
29,නීති විරෝධීව ප්රසිද්ධියේ ප්රකාශ දෙගොල්ලෝම ඔවුන්ට ඕනෑම වේලාවකදී කොන්දේසි විරහිතව එකතු වෙන කජ්ජක්දඅනික මාළිමාව ජයග්රහණය තිබියදී එය පරාජයක් ලෙස පෙන්වන
