Index,Sinhala Comment
1,මේ ආණ්ඩුවට දුර පේන්නැ
2,කන්ටෙනර් හිතාගනින් ප යා
3,පර බල්ලනේ විපක්සේ තොපි තොපි පුකවල් ලෙවකාපිය පර හැත්ත
4,මාලිමාවෙ උන් නාගන්න වේගෙට සිරසෙ උන්ට හෝදන්න වෙලාවකුත් නෑඋනුත් කොර වෙලා
5,අපිට නම් එපා වෙලා නෑමාලිමාව
6,දැන් සමගි ජනබලය නායයන එකගැන කතාකරපන් අනේ පව් උබල හිතේ අමාරුවට කෑගැහුවට සජිය යකඩ කූරු ගනින්ඩ ලගයි හොරාකාපුව මාට්ටු වෙලා තියෙන්නෙ ඒකයි සමගියේ කට්ටිය සන්විදායකලා ඉල්ලා අස්වෙන්නෙ සමගියට පය පන නැති නායකයෙක් වැඩක්නෑ
7,නියමයි ජයවේවා විපක්ෂෙට කියන්න දෙයක් නැතිව ලුනුයි හාලුයි පොල්ගෙඩියයි හොයනව
8,සමන්මලී ප්රජාතන්ත්ර වරෝධී කම සාධාරනීකරනය නරනවාපට්ට බොරු කියනවා
9,ජයවේවා
10,සිරස මාලිමා වට රෙදි නතිව කඩෙ යනවා
11,විපක්සෙ ලුනු ලුනු ලුනු ලුනු
12,මේ චන්දේ දුන්නෙ තම තමන්ගේ නෑදෑයන් ට යාලුවන්ට මේ පක්සෙ අය ගැන නොදන්නා කම නිසා චන්දේ නොදී සිටීම
13,ආන්ඩුවට සිරස කඩේ යනවද මන්දාආන්ඩුවෙන් දෙදෙනෙක්ම ඇයිද මන්දා
14,ආන්ඩුව කියන්නේ හරකෙක් කොහෙද මා ලග කබයනෙ අල්ලන් ඉන්නේ කියන එකයි හැබැයි කබය කොනේ හරක ඉන්නවා
15,හාල් ට ගියත් අපි බත් කනවා මෙි ආන්ඩුව ගෙනාවෙිම හොරු අල්ලන්න සහ හොරාකාපුවා නැවත ලබාගැනීමට ක්රියා කරන්න මෙි එක එක ගංකබරයින්ගේ මෝඩ චුං වලට උත්තර දෙන්න නෙමෙයි
16,සිරස සටන නොවෙයි මලිමා ඒ උනත් තොපි හිටගනිල්ලා මහ ජනයා සමග සිරස ගොබිලෝකන්ටේනර් ගැ අහල්ලා සිරසට තිබේන්නේ සජබේ ප්රස්නේ රටේ ප්රස්න නොවෙයි බූරූවා අහපිය රටේ ප්රස්න තට්ටයා
17,සජබෙ නීතීක්ඤ තුමා දවල් හීන දකින කොට සජබෙ පල්ලම් බැහැලා ඉවරයි දැන් ලංකාවෙ එකම ශක්තිමත් පක්ෂය ජාතික ජනබල වේගයයි සොරි ඩොට් කොම්
18,දුමින්ද නම තියෙනහැමඑකෙක් ම පටිට තක්කඩි මොඩයෝ ඊර්ෂ්යාකාරයෝ බන්
19,නිලිරැජිනි විකැණාගෙන කනවා නේද
20,විජේ කුමාරතුන්ග මැරීම සහ මෙයාලට කන්ටේනර් ලුනු සහල් පොල් බිත්තර හිඟය සුලු ප්රස්න නොනගෙන් අහල විවාද වලට එන්නගිවිසුම් ගැන කතා නැහැ
21,පච මල්ල අදත් දිග හරිනවපොඩ්ඩක් පසු බැස්ස බව පිලිගන්නෙම නැහැ පව්කදු නාය යනවවේදිකාව පැටලිලා ට
22,පල හුත්තිගෙ කොල්ල
23,ඉන්දීය ගිවිසුම ජෙප්පොරෙදි කෝ
24,සුරංග නැතිව මොන සටනවල්දමධ්යවේදියෝ හොදයි තේ පැන් සංග්රහයකටමේ ප්රශ්න හොදයි නුගත් විපක්ෂටමදැන් අපිට ඉතිං බුද්දිමත් විපක්ෂකුත් ආන්ඩුවට හදලා දෙන්න වෙලා තියෙන්නේඅපේ පව ආන්ඩුක් හැදුවාගැලපෙන විපක්ෂයක් නැ වැරදි පෙන්නලා දෙන්න හරියට
25,අසමගි ජනබලවෙගය
26,නිදහසෙන් පසු අපේ රටේ පුරවැසියන් හදාගන්ත ජනහිතකාමි දේශපාලනය මාලිමාව
27,මේ කැලණියේ පිංපියා සජිත්ගේ අබුඩ හෝදන ලස්සනට මට මතක් වෙන්නේ ඒ දවස්වල මානප්පෙරු සජිත්ගේ අබුඩ හෝදපු කැත
28,පල ගෝත කැරියා යන්න
29,ඉන්දියාව සමග අත්සන් කල අවබෝදතා ගිවිසුම සම්බන්ධයෙන් අත්සන් කල දින සිට මාස පෙර මෙම පනතට විරුද්ධව උසාවියෙන් වාරණයක් ලබාගන්න පුලුවන්
30,එහෙම ගන්න ගිවිසුමක් අත්සන් කරලා තියෙන්න එපාය බං
31,විපක්ෂය නැති කරලදාල විපක්සෙ ශක්තියමත් නෑ ලු
32,ලොන්ඩරි සටන
33,හිරු බලන ඔබ
34,අපි අභියෝගයක් කරනවා පුළුවන් නම් දෙවන වසරේ සිට වසර දක්වා ටියුෂන් මුදලාලිලා ඉන්නවා මාසයකට ලක්ෂ හෝ ක් සූරා කමින් විශාල ධනපතියන් බිහි වෙලා සිටිනවා එවාට විරුද්ධව වහාම දැවැන්ත උද්ඝෝෂණයක් සංවිධානය කරන්ඩ එසේ කල නොහැකි ඔබලා සුපිරි වංචා කාරයෝ බව කිව යුතුයි
35,මූට පිස්සු
36,මේ සජබෙ එකා කියන බොරු ගොඩාක් පිස්සෙක් මාලිමාවෙ නියෝජිතයීන් දෙදෙනා කොච්චර වැදගත් ලෙසින් අදහස් ඉදිරිපත් කරනවද ආදරනීය ජනාධිපතිතුමා ඇතුලු මාලිමාවෙ සහෝදරත්වයට උතුම් දළදා සමිදුන්ගේ ආශිර්වාදය වේවා
37,ආණ්ඩුවට කඩෙ යන සටන
38,ජඩසිරස
39,තොගෙ අම්මට තෝ වගේ තව ඉන්නවද
40,හපොයි උඹ වගේ එකක්
41,දෙරණ හිරු කඩෙ යන්නෙ තොපිටනෙ
42,ප නරියෙක්
43,ආයෙ ගවයෝ එකෙක්වත් පාලනයට ගේන්නෙ නැ උන්ට තනකොල කකා ඉන්නම අරිනවාස දාකාලික ජ නතාව බ න්කොලොත්දැන් බස්තියන් මිනිස්සුන්ට දිපු ගුංඩු පාසැල් බස්සුහුුරැ පංති එහෙම ලැ නේතපරාට ගාමින්ට ජිවිතේට එන්න වෙන්නෙ නැ ජාජබය හරියට නොකලොත් ආයෙ ලංකාවෙ රතු පාටත් වමත් වැලලිලාම යනවානව මහජන ව්යාපාරයක් හදන්න දැන් සතුන් අඩුයි නේද
44,උන් තමයි එදා ඉදලම රටට හෙනේ
45,මාළිමා රජයේ වැඩ පිළිවෙල නිසා විරුද්ධ පක්ෂ දියවෙලාම යමින් තිබෙනවාඑ වගේම හොරකම් කරපු මුදල් අය කර ගැනීමට හා වරද කරුවන්ට දඬුවම් දෙන විට ඔවුන් භය බිරාන්ත වෙලා නොයෙකුත් ප්රශ්න ඇති කරනවා ඔවුන්ගේ හිතවත් ජඩ මාධ්යයන් හා මුදල් ගෙවා සමාජ මාධ්යයේ ප්රචාරයන් කිරීමට හිතවතුන් යොදවලා ජනතාව මුලා කරලා රජයට ප්රහාරයන් එල්ල කරනවාහැබැයි ඉවසලා ඉවසලා අන්තිමට දෙනවා තරු පෙනෙන්ඩම දැන් බුරුල දුන්නා ඇති දැන් යකාගේ තරම පෙන්වන්ඩයි හදන්නේඔය කුමන්ත්රණ කෑරයන්ව නීතියේ රැහැනට අහු කරනවා ඉතාමත් ඉක්මනින්ම
46,සජබේ සාමාජිකයා කතා කරන්නේ මන්ද බුද්ධික මොංගල් කාරයෙක් වගේ හරියට නායකයාගේ දුර්වල කම් ගැන කතා කරන්නේ නැති වංචනිකයක් මොහු රටේ දැවෙන ප්රශ්න ගැන නෙවෙයි කතා කරන්නේ බහු බූත ලුණුකන්ටේනර්වගේ බොළඳ තුට්ටු දෙකේ පරාජිත දේශපාලන කතාවන් තමයි කතා කරන්නේ යහපාලන රජයේ නිවාස සංවර්ධන අධිකාරි ඇමති වෙලා ඉන්න කාලේ මොවුන්ගේ නායකයාම පට්ට පල් හොරෙක් කියලා අහු උනා ලඟදීම උසාවියට යන්ඩත් වෙනවාඔහු මධ්යම සංස්කෘතික අරමුදලෙන් හා ඉංජිනේරු සංස්ථාවේන් කරන ලද හොරකම් හා ඔහුගේ සහෝදරී හොර සල්ලි ලක්ෂ ක් බැංකුවකින් මාරු කරන්ඩ ගිහින් අහු වෙලත් ඇය හිටපු වැදගත් ජනපති කෙනෙකුගේ දියණියක් නිසා ඇයට විරුද්ධව නීතිය ක්රියාත්මක නොකල බව තව හොර තක්කඩි නායකයෙක් වු මහින්ද රාජපක්ෂ නීති විරෝධීව ප්රසිද්ධියේ ප්රකාශ කරපු නිසා දෙගොල්ලෝම හොරු ඔවුන්ට ඕනෑම වේලාවකදී කොන්දේසි විරහිතව එකතු වෙන එක මහ කජ්ජක්දඅනික මාළිමාව ජයග්රහණය කර තිබියදී හිතේ අමාරුවට එය පරාජයක් ලෙස පෙන්වන ඔලමොට්ටලයෙක් මොහුඔය දුමින්දයා කියන මෙලෝ බලයක් නැති වාචාලයාගේ චෝදනාත් සතයකට වත් ගණන් ගත යුතු නැහැ මන්ද මාළිමාව සමඟ එල්ලිලා ඔවුන්ට කවමදාකවත් එන්ඩ දෙන්නේ නැති බව ඔවුන් දන්නවාආයෙත් හොර තක්කඩින් ගේ රජයකට ජනතාව කිසිම දිනක ඉඩ නොදෙන බවත් දන්නවා එ නිසාම කාගේවත් වලිගයේ වත් එල්ලෙන්ඩ කිසිම චාන්ස් එකක් මේ කපේදී නොලැබෙන බව දන්න නිසා තරහින් වේදනාවෙන් බයිලා ගහනවාමාළිමාව ඔය අරගලයට කලින් රට වටේම බිම් මට්ටම් සිට ජනතාවට මේ ක්රමය වෙනස් කරන්ඩ ජනතාව විශාල වශයෙන් ඔවුන් වටා එකතු කර ගත්තා අවසානයේ නුගේගොඩදී මාළිමාව පැවැත්වු ජන රැළියේදී සමස්ත විරුද්ධ වාදීන් හා රජය බයට පත් උනාඒ ජනතාවගේ බලය රනිල් හා විදේශ බලවේග ක්රියාත්මක වෙලා කුමන්ත්රණ කාරීව අරගලය මුලදී විරෝධතාවයක් ලෙසයි නිද්රාශිලවයි පටන් ගත්තේ ජනතාව හොඳ පදමට පදම් වෙලා මාළිමාව වටේට එකතු වෙලයි හිටියේඅරගලය නිසා උනේ අන්ත පරාජයට පත් වෙලා පරාජයට පත් වෙලා මිනීමරු රනිල් අද්භූත වගන්තියකින් ජනාධිපති උනා එකෙන් මාළිමාවට යම් කිසි පමා වීමක් උනාඅරගලය නොතිබ්බා නම් මෙයට පෙරයි මාළිමාව බලයට පත් වෙන්නේ අරගලය නිසයි අන්ත පරාජයට පත්වු මිනීමරු රනිල් ජනාධිපති වෙලා චන්ද කල් දැම්මා
47,දැන් එකතු වෙිිලා එකතු කරල වැඩක් නැ ජනාධි පති තමනි මුල දගලනව වැඩිි ඔබ අපට දැනුමිි දුන්න ගල් කැටයක්වත් ගන්නඑපා කියල ්ඃ එත් දැන් මුල දගලනව වැඩිි නිතිය කියාත්මක කරල මුන් එලවලා දමනු දමනු බලන්න මෙිිපාහරයා කියනකතාව ්ඃ
48,ජයවේවා
49,ශ්රී ලාංකීය ජනතාවනී බොරුවට නොරැවටෙන්න පමණක් බලන්න
50,ජනරැල්ල
51,සියලුම ශ්රී ලාංකිකයින් එක මිටට මාලිමාව ට
