Index,Sinhala Comment
1,ජනපති අනුර ඔබ ඇමතිවරු පත්කිරිමේදි මෙයට වඩා සරලකිලාමත්ව විදෙස් ඇමතිකම වෙලද ඇමතිකම පොලිස් ඇමතිකම ආර්ථාක කටයුත් ැැමතිකම ඒ සදහා සුදුසුකම් ඇති විදෙශිය සභාවක චතුර ලෙස කතාකලහැකි ෑගත් දක්ශ පුද්ගලයාන් තෝරා ගතයුතු වෙයි ප්රතිවාදින් හදුන්නෙත්තිගේ කතෙව ගෙනහැර පාමින් පක්ශය වැට්ටවාමට සැරසෙයි එවන් අවස්ථාවාදිනට ඉඩ නොතැබිමට ඔබ ක්රායා කලයුතඅ වෙයි සැබැ විප්ලව වාදි පාවා නුදඅන් පසුව පශ්චෙත් උපාධි කර විදෙස්වල ජිවත්වන හොද භාෂා ඤානයක් ඇති මහත්වරඅන් ඇත මේ ජනතාව නොමග යැවිමට ඔබ ඉඩ තැබිය නොයුතුය
2,පචම කියලා තොල් එල්ලා වැටිලා දැන්
3,කතාවෙන් තමයි මිනිස්සු ඇන්ඳුවෙ
4,අපෙදිපුත්කපලාතාමත්නැඑවෙලෙටහෙයන්කන්නෙවන්නටත්දිලා
5,ඉතින් නල පද්දතියක් ගැහුවාම කොහොමද ටෙන්ඩර් වලින් අඩුම මිලට තෙල් ගන්නෙ එතකොට හැමදාම ඉන්දියාවද ටෙන්ඩරේ අඩුම මිලට තෙල් දෙන්නෙ බොරු කියනව හිතා ගන්න බැරි විදිහට
6,ආදරෙයි ඔබතුමාට
7,ලංකාවේ පලවෙනි වාතාවට තමයි දැක්කේ මෙහෙම පැහැදිලි කරන ජනාධිපති කෙනෙක් කලින් හිටපු උන් සටනට අවෙත් නෑ මෙහෙම උත්තර දුන්නෙත් නෑ ජෝකින් පාරක් දාලා සේප් වෙනවා මෙන්න බුද්දිමත් ජනාධිපති වරයෙක්
8,අපේ ජනාධිපති දීර්ඝායු වේවා
9,තුනෙන් දෙක පාවිච්චි කරලා ජනතාවට සහනයක් දියන් ගොනෝ
10,දැන් බලය හම්බුනානි අපිත් චන්දෙට වැඩ කරා කවදද අපේ රටේ නිශ්පාදන ආර්ථිකයක් හදල මේ රට මේ හිඟන කමෙන් ගලවගන්නෙ
11,ජනාධිපති කෙනෙක් ඡන්දය දීලා
12,මේ රටක්
13,බලන අය මේ කොනට කැම්රි පැහැදිලි කිරිල්ලක්නෙ මෑන්ස් ඒ කාලෙ කරල තියෙන්නෙ යකඩෝ දැං ඉන්න අනුරම ද හිටියෙ කියල හිතෙනව
14,අනුර කුමාර දිසානායක අතිගරු ජනාධිපති තුමාට දීර්ගායුශ ලැබේවා නීරෝගීම වේවා
15,අනුර කුමාර දිසානායක අතිගරු ජනාධිපති තුමාට දීර්ගායුශ ලැබේවා නීරෝගීම වේවා
16,රජයෙන් දැනෙන්න ලැබුන සහන මොනවදඅංක පිලිවෙලට ලෙස පහලට කොමෙන්ට් කරන්න ඇත්තම දාන්න බොරු නොදා
17,ඇයි ෂෝට ඇතුලේ ඉත්තෑවො දුවනවද
18,අනුර සහෝදරයගෙ වියමන මේ අවුරුදු ඉවරවෙන්න කලින් වියල ඉවරකරගන්න පුලුවන් වුනොත් ලොකු දෙයක්
19,අපේ ජනපති තුමා ට රට හදන්න ශක්තිය ලැබේවා
20,අනුර අති ගරු ජනාධිපතිතුමාට රට ගොඩ ගැනීමට ශක්තිය වාසනාව ලැබේවා සජිත් ඇතුලු විපක්ෂයේ මල් පොන්නයින් වද වේවා
21,ජනපතිතුමනි මේ රට හදනවනං අර බොරු වපුරන කටවල්නං වැහෙන්න වෙයි ඒ නිසයි ජනතා මතය වෙනස් වුනේ මේවට ඇතැම් මාධ්ය ත් සම්පූර්ණයෙන්ම වගකිව යුතුයි මේ ගැන සොයා බලන්න ඔය කියවන අයට තියන නඩු එලියට ගන්න බැරිද
22,මාස හයකට වරක් අපේ ජනාධිපතිතුමාව සටන වැඩසටහනට කැඳවන්න
23,රැදවුම් බද්ද ඉවත් කල යුතුයි
24,මේ අප්පුහාමිට මතක නැහැ මෙ සෑමදේම කරන්ක ගියේ අවුරුදු ගානකට ප්රතම ඔය සහෝදරවරු උද්ගෝසන කර කර ඔය දේවල් තඩාකප්පල් කලාගොලුවො සමග ලොකුසාකච්චාවක්මට හොඳට මතකයි මෙ අයියල කරපුව කඩ වහපුව ට්රාන්ස්පෝමර් පුච්චපුව බැන්කු කඩපුව වීමෝල් ගිනිතියපුව මිනිසුන් අමු අමු මරපුව මගේ යහලුවෙක්ව මැරුවා නිමල් කියලා පස්සෙ කිව්වෙ වැරදිල කියල පව් මෙයාලපච මෝල්අනික් අය පාසැල් ලමුන් වගේ අහගෙන ඉන්නව මෙයා ගුරුතුමා කියාගෙන කියාගෙන යනවා
25,රට හොඳින් හදා ඉදිරියට යන්න දහිරිය ලැබේ වා
26,රට ඉන්න අයට බෑ කීවනෙ කපනව කීව
27,ජයවේවා
28,අනුර කුමාර දිසානායක දිනුම්
29,අනුර දිසානායක මැතිතුමා ජයවේවා
30,සියවස් ගණනක් අප දුටු සිහිනේ සැබෑකරන්නට මිනිසෙක් ආවා ජීවිතේ පළවෙනි සැරේට දේශපාලනයට කඩේ ගියෙ අපිගැන නෙමෙයි දරුවන්ගෙ අනාගතය ගැන හිතලා ඒක ගැන ඇත්තටම ආඩම්බරයි
31,පචම තමයි කියන්නේ මුං
32,තවමත්බෙිගල් අදිනවා
33,බයියෙක්ගෙ කමෙන්ට් එකක් හොයා ගන්න සෑහෙන මහන්සි වුණා බැරි වුනා
34,සටනෙ මාධ්යවේදීන් සෙට් එක කට වහගෙන අහගෙන හිටියමද කොහෙද
35,ඉස්සර ට කඩේ නොගිය ඒකට දුකයි දැන් පූර්ණ කාලීන කඩේ යනවා ජය වේවා බොස් එකෙන්ම විශ්වාසයි
36,සුරංග සහොදරය ඔබව නිහඩකර එක්ම කෙනා අපෙ ජනපති තුමා එ මොකද කතාවෙ පැහෑදිලි බව
37,දැනට රටේ තියෙන එකම ප්රශ්නය තැන තැන වෙඩි තියන පාතාලේ ඇච්චො ටිකයිකුඩුයි විතරයිනැත්නම් දැන් අපේ රටේ මිනිස්සුන්ට ලොකූ ප්රශ්න නෑ
38,අඩේ මේ සැරේ තමයි අපි ජන්දයක් දිලා තියෙන්නේ
39,ජනාධිපතිතුමනි කොළඹ නගර සභාව ගැන සොයා බලන්න සුද්ද කරන්නම ඕන තැනක්
