Index,Sinhala Comment
1,මේ අතිතයේ දුක්කදුකදුලු ලේ හලපඋඅයමරඋණසයලඌදඑනආටම අදසතූටක්
2,අමතකකරන්න එපා අනිල්ගේඅයියගාමිනිසභොදරයාද එතනබව අමතකකරන් එපා මේ ලේ හැලුවේ මේ කකලයමඑදවස එනකන්ඇස්නෙපියබලාසිටියෙමි
3,ජයවෙිවා ජයවෙිවා ජයවෙිවා
4,ඉන්දියාවේ බාලම බාල වාහන අමතර කොටස් නවතන්න බැරිද
5,රනියගෙ ලපයගෙ වක්ක්ර බදු ඊට එහා පලවෙනි කැපිල්ල වාසි ඇති මොකද ගෙදර ඉන්න ඇවිදින්න බැරි හෝ ලෙඩා දූකා උන හෝ මේගැන දන්නෙ නැති අයට හා පොඩි අයගෙ ගිනුම් ඔක්කොටම ගැහුවනෙ
6,රනියගෙ ලපයගෙ වක්ක්ර බදු ඊට එහා පලවෙනි කැපිල්ල වාසි ඇති මොකද ගෙදර ඉන්න ඇවිදින්න බැරි හෝ ලෙඩා දූකා උන හෝ මේගැන දන්නෙ නැති අයට හා පොඩි අයගෙ ගිනුම් ඔක්කොටම ගැහුවනෙ
7,කොහොමද අපි වාහනයක් ගන්නෙ ගිනි ගනන් ඇයි කොල්ලොන්ගෙ සිහිනය බොද කරන්නෙ මොනවද මේ හතර පස් ගුනේ බදු රනියගෙ ටින් එක ඊටත් ඉහලින් කරනවනෙ සහෝදරයා
8,වැඩකරමින් ඉගෙනගන්න එක ආදායම් බදු දෙපාර්තමේන්තුවට නම් හරියන්නෙ නැහැ ජනපති තුමනි එයාල කියනව පිටරට ඉන්න ලාංකිකයෙක් ලංකාවට ධනය එවල බැංකුවල ආයෝජනය කලවිට වලට අමතරව උපයාගත් පොලියට බැගිනි නැවත බදුගෙවිය යුතු බව මේ හේතුව නිසා අප සියලු දෙනා අපගේ තැන්පතු සියල්ල ආපසු ගෙන අපේ රටවලට ගෙනයාමට තිරනය කර ඇතිබව කනගාටුවෙන් දැනුම් දෙමි
9,හරියටම මෙම වචනය නිවරදි සෑම ආයතනයකම දුෂණ ජනතාව ට අවශ්ය නිවරදි පාලනය යක්
10,ඔඛ මෙයට පියවරක් නොගත්තොත් ආයෙ ණයට රටම එක් වෙයි අපි සියදිවි නසා ගමු එකට
11,දුසිතයන්ට දඩුවම් නැති උනත් ප්ර්ස්න යක් නැ ඒත් ඔවුන්ගේ න් අයතා ලෙස ඉපයු මහජන මුදල් අය කරගත යුතුයි අනිත් එක වැඩ කරන ගමන් පුරුදු වෙන්න යි පුරුදු වෙන ගමන් වැඩ කරන්න යි හුරතල් වෙන්න බැ රටට ජාතියට වග්කිව යුතු නායකයා විදියට ඔයිට වාඩා වගකිමෙන කටයුතු කරන්න පැරණි දේ ගැන කොතරම් කාතා කරත් කිසි දු ප්රතිඵල ය ක් නැ වෙනත් රට වල් දිහා බාලාගෙන හරි පක්ෂය මාරු උනත් ජානාදිපති මාරු උනත් වෙනස් නොවෙන ආර්තික දිගු කාලින වැඩසටහනක් හදන්න
12,උබල පොල් කරිඔ
13,දෙනවා එන එක ලොක්කා විපක්ෂ වල උන්ට ඇඩෙන්න
14,සහෝදරයා
15,ජයවේවා සහෝදරයාණෙනි ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා ජයවේවා
16,උඹ ඊට පස්සේ පොන්නයෙක් විතරයි
17,උඹ අවුරුදු පහයි විතරයි රඟපාන්නේ
18,මගේ ලංකාවට මං ආදරෙයි
19,උඹ පොන්නයෙක් විතරයි
20,උඹ ඉස්සෙල්ලම ලංකාවට වැඩක් කරලා පෙන්නපන්
21,මූ කාගේ දරුවෙක්ද බං
22,ඉස්සෙල්ලම රට ජීවත් කරපං කොණ්ඩයා අපේ රටේ හිටියත් අපේ ලංකාවට අපි ආදරේ උඹත් එක පොන්නෙක් විතරයි
23,අනේ බහුකපන් ගිහිල්ලා
24,තොගේ කයිය ගහන්න එපා හ වැඩ පෙන්නපන්
25,උඹ තේරුම් ගනින් දවසක බොට අනුරාධපුරේ ඉන්නත් බෑ
26,අනුර උඹ තවදුරටත් පොන්නයෙක් විතරයි
27,මොනදෙඉ කරත් වැඩක්නෑ ජනපතතුමනි අංක ඓ
28,මොනදේ කලත් පලක්නෑ ජනපතී තුමනි අංක සාමාන්ය ජනතාවගෙඉ කුසගින්න අඊක හොරු මහාපරිමාන නිවැරදි හොරු ඇලිලීම මේදෙක නොකර වෙනදේවල් ජනතාවට කිවුවට වැඩක්නෑ පැවැත්මක්නෑ මොකද කුසගින්නේ ඉන්න අය නිවන්මග නොවේ සොයන්නෙඉ කුසට අහරක් පමනයි එයලබාදීමට මුලින්ම කටයුතු කරණ්ණ
29,සිරස ඔබට ස්තුතියි මධ්යස්ථ මාධ්යකරණයකට
30,මට අනුව මහාපොදු සාධකය ආදරනීය ලොකු අයියා ටිල්වින් සිල්වා සහෝදරයා අප ලබාගත්තේ විජයග්රහණයක් නම් එහි නියමුවා ඔහුය මෙතරම් කැපකිරීම් කරපු අත්නොහැර අරමුණ කරා මෙහයවපු මහා වෘක්ෂය ඔහුය සරලව නිහතමානීව ඔහු සිටින ආකාරය ප්රශංසනීයයිටිල්වින් අයියේ ආදරෙයි පැලෙන්න
31,ආරම්භයේ දී වාහන ඒක එළියට ආවා නමුත් හොරු ඇතුලේ
32,තොපි කතා කරන්නෙම තොපේ ප්රශ්න මිසක් ජනතා ප්රශ්න ගැන නෙවෙයිනෙ අනිත් උන්ට තොරතෝංචියක් නැතුව බැන බැන ඉඳල බලය ඩැහැගත්තෙ ඕකටද තොපේ ප්රශ්න විසඳගෙන එපැයි බලය ඉල්ලන්න සේරම ඉගෙනගෙන අහවර වෙලා වගේනෙ චන්දෙ ඉල්ලුවෙ දැනුයි ඉගෙන ගන්න හදන්නෙ කාගෙන්ද ඉගෙන ගන්නෛ ඇන් ඇම්ල කොල්වින්ල වළෙන් නැගිටල එයි උගන්නන්න උන් දන්න හරිය තමයි උගන්නල ගියේ උද්ඝෝෂණ කරන්න අනිත් පාලකයින්ට බනින්න නින්දා කරන්න පෙලපාලි යන්න පොදු පෞද්ගලික දේපල විනාශ කරන්න හැම තැනදිම මං සුදන කියන්න අනිත් පාලකයින් කරන්න හදන වැඩ වලට බාධා කරන්න ප්රතිවාදීන් මෙල්ල කරන්න ර්බැරි නම් මරා දමන්න ඉවත් කරන්න රට පාවා දෙන්න නම් උන් ඉගැන්නුවෙත් නෑ ඒක කොහෙන් ඉගෙන ගත්තද මන්දා මේව නොබල පණ පලයන් පෙරේදා කිව්වලු
33,උඹල අහන්නේ අහන්ඩ එපා මේවා මේවා කියන්නේ පක්ෂයෙන් මිනිස්සුන්ට විතරයි රට හදන්න අවුරුදු පහකට ගත්තේ අවුරුදු පහෙන් පස්සේ හැදුවේ නැත්නම් කතා කරපල්ලා
34,වාහන බදු අඩු කරන්න ඒවා ඕනෑවට වඩා වැඩියි ඔබ එසේ කළහොත් මධ්යම පන්තිය ඔබ සමඟ සිටිනු ඇත
35,ජනාධිපතිතුමනි ඔබ තුමාට දැන් බලය තියෙනවා ඔබ තුමා බාබා ලා වෙනුවෙන් තැවෙන්න එපා හරිම දෙ කරන්න අපේ ආදරේ ඔබ තුමාටයි
36,ශ්රී ලංකා මාතෘභූමිය තුළ බිහිවූ විශිෂ්ඨතම ජනාධිපතිඅතිදක්ෂතම කථිකයෙක්හදපත්ලටම කතාකරන මනුස්සයෙක්හිමින් ගමන ගියත් පිළිවෙලටක්රමයටනීතියටඅකුරටම කරන පරමාදර්ශී නායකයෙක්
37,ඔබතුමාට මුලින්ම හදන්න වෙන්නේ ජනාධිපති කාර්යාලය මම ලිපියක් යොමුකරලා මාස පහක් වෙනවා තාම උත්තරයක් නෑ
38,මම මේ කතාව අහන මොහොතේ ක් කතාව අසා ඇති අතර කළ පිරිස ඒ කියන්නේ ක් අයියෝ අපිට මොකද මේ වුණේ ආයෙත් ට වැටෙයිද
39,ඉතින් දැන් තවත් බල බලා ඉන්න දෙයක් නෑ පෝලිමේ දාන්නකෝ රටට වින කරපු
40,නියමයි ජනාධිපති තුමනි රිවයින් කර කර බැලුවා ට පුලුවන්ද විප්ලව කරන්න
41,අපේ
42,අපි ආයේ ජන්දෙ දෙන්නෑ මද්යම පන්තිය හූරගෙන ගිහින් හිගන හැත්තට සමුර්දිය දුන්නා
43,නුඹ වැනි නායකයෙක් මගෙ රටට ලැබීම ගැන තාමත් ණෙත් තෙමනවාගසක ඵල බරවෙන්නවෙන්න එහි අතු බිමට බරවන්නා සේම නුඹ ඉහළට යන්න යන්න මනාව මා දකිනවාගටලුව නුඹ නෙවැ සහෝදරයා නුඹෙන් පහළට සිටින පාලන තන්ත්රයයිඒ සියලු දෙනා නුඹව ආදර්ශට නොගැනිමයිඅඩුම තරමේ උත්සාහ කරන බවක්වත් පේන්නෙ නැහැ සහෝදරයා එයාල වරදන හැමතැනකම නුඹ අසරණ වන සැටිද මා දුටිමිකෙසේ හෝ නුඹගේ පැතුම ඉටුවේවා
44,අපි වැඩකරමින් ඉගෙනගන්නවා ඉගෙනගනිමින් වැඩකරනවාජනාධිපතිතුමා කිදේඅපටත්අදාලයි
45,බයිල ඕන නැහැ මරපු මිනීමරුවො බටලන්ද කොමිසම එලියට ගන්න
46,මගේ රට ලස්සනට හදලා දෙන්න
47,අපේ ජනාධිපති
48,නායකත්වයට සුදුසුම කෙනා ඔබ පමණයි අපේ ජනාධිපතිතුමනි
49,අපිත් හරි ආසවෙන් උබෙ කතා ඇහුව ඒ දවස් වල චන්දෙත් දුන්නා දැන්නම් අහන්නත් අප්පිරියයි කටෙන් ඇදගෙන යාමේ අවසානයවැඩි ඈතක නැ දැනටත් ඇදගෙන නාන ගමන් ඉන්නෙ හරි දුකයි ඉතිං උබල හරි මේක ගොඩ දායි කියල හිතුවෙ උබ හොද කොන්දක් තියෙන එකෙක් කියල හිතුවෙ උබ ඔහොම ලොදයෙක් වෙන්න ජනාදිපති උනාට වඩා හොදයි නොවී හිටිය නම් කතා ටිකවත් ආසාවෙන් අහන්න තිබ්බා
50,අනේ පල වහලා බොරැ කියලා මිනිස්සු රවට්ටන්නේ නැතුව මිනිස්සු දන්නවා හරි දේ මොකක්ද කියලාඅනුර ජනාධිපති තුමා රට හදනවා එච්චරයිඋඔ වහල්කම් කරන්නේ නාමල්ට නම් සජිත්ට නම් නැත්තම් රනිල්ට නම් ස්භාව ධර්මය විසින් දඩුවම් ලැබෙයි
51,නන්දන ගුණතිලක සහ විමල් වීරවංශ යන මහා පරයන් දෙදෙනාමහා පාවාදෙන්නන්
