Index,Sinhala Comment
1,දැන් ජෙප්පන්ට චන්දෙ දීපු උන් ට මේව දකිද්දි ලැජ්ජ නහරෙ කපන්න වෙයි
2,ප්රසාද් කියන්නෙ පිස්සෙක් බන්
3,මේ සුරංග පිස්සෙක්ද
4,ඝුරංගකියන්නෙපචයගෙතාත්තදබුරැවෙක්වගෙහැඝිරෙනවා
5,සුරංග දැං ආණ්ඩුව ඔය කියන ඒවා කරනවද අද
6,සුරංග දැං ඔය ප්රසාද්ට දුන්න වදේ අලුත් ආණ්ඩුවෙ මන්ත්රීල ගෙන්නල ආයෙම අහන්න හොදම කාලේ හරිනිත් කෙලින්ම කියුවනෙ ආරක්ශාව ගැන එතකොට මාදිවෙල මන්ත්රී නිවාස ගෙන්නල අහන්නකො ඔය වරප්රසාද ප්රශ්නෙ ගැන ආයෙ
7,ප්රසාද් සර් සුපිරියක්
8,අද මෙිව බලනකොට හිනා යනව
9,දැංවත් පිලිගනිං බං ජවිපේ ඇන්දුවා කියලා
10,ප්රසාද් සර් කියපු හැමදේම සම්පූර්ණ ඇත්තඑතුමා කියපු හැමදේම ප්රායෝගික ලෝකෙ සිද්ද වෙන්න පුලුවන් හා විද්යාත්මකව ඉතා නිවැරැදි දේවල්ඔහු කියන කතා නිවැරැදි දේශපාලන දැක්මක් තියන මේ රටේ සැබෑ ප්රශ්න මොනවද කියල තේරෙන උගත් හා බුද්ධිමත් මිනිසුන්ට ඉතා නිවැරැදිව වැටෙහෙනව හැබැයි සුරංග කියන කෙනා ඉදිරිපත් කරපු ප්රශ්න හා මොහු කල ප්රකාශයන්ගෙන්ම තේරෙනව ප්රසාද් සර්ට අපහාස වන විදියට දේවල් කියල මාලිමාවෙ ප්රතිපත්ති තමයි නිවැරැදි කියල මිනිසුන්ට අගවන්න හදනවාමේ වගේ නිවැරැදි බුද්ධියක් නැති වාචාල මිනිහෙක් එක්ක කතා කරල වැඩක් නෑ සර්සර් අනිවරෙන්ම දිනනව හා සර්ට දේශපාලනයේ හොද ගමනක් තියනව ජයවේවා සර්
11,හරි එකක් ඕනේ නෑ කියමුකෝ ආරක්ෂාව ගැන හිතල තමන්ට කියල ගෙයක් තියෙද්දී වහනයක් තියෙද්දී රජයෙන් දෙනව කියල අමතරව වහනයක් ගෙයක් ගන්නේ මොකටද මනුස්සයෙක්ට ගෙවල් දෙකක් වැඩි නෑ එක ඇත්ත එත් මානුෂිය නැද්ද ඒ ගෙදර නඩත්තුවට යන වියදමින් වේලක් කන්න නැති මනුස්සයෙකුට කෑම ටිකක් ගන්න ඒ සල්ලි හම්බෙනවානම් පොඩ්ඩක් හිතන්න තමන්ට කියල පක්ෂයක් හදාගෙන ඉන්න එක නෙමේ හැම රෙද්දම හරි කියල පිලිගන්න එපා උන් කාල බීල ඉඳල යි එත් අපේ දරුවන්ගේ අනාගතේ වැරැද්දක් උනාම එක දකින්න ඕනේ ඒ මනුස්සය හොද ගුරුවරයෙක් වෙන්න ඇති ඒත් ආකල්ප
12,ප්රසාද් නිසාම බලන්න ආවා ගොං සුරංගයා ලංකාවේ ඉන්න කුහකයන්ට පට්ට ආතල් එකක් දෙනවා
13,ගන්න එක නැති එක පෙන්නන්නම් මන් මේ ජන්දෙන් පස්සෙ
14,සුරංගගේ ටිකනම් පට්ට දෙනවා ඉතින් ලොවෙත් නැති වෙන්න සිරසේ ඉන්නෙ පට්ට උගත් සෙට් එකක් සුරංග
15,චන්දන සූරිය බංඩාර මට අහු උනානම් මම මේක පෙන්න පෙන්න පුකෙන් හිනා වෙනවා කෝ පොර ගෑනියෙක් චිත්තය අන්දන්න ඔනි
16,ජනතා විමුක්ති පෙරෙමුන මන්ත්රි වරප්රසාද අරන් නැහැ මරු
17,සිරස මාද්ය වේදීන්ට සිංහල උගන්වන්න ඔනි යමක් තේරෙන් නැහැ ප්රසාද් සර් මරු අම්මෝ ගොන් සිරස
