Index,Sinhala Comment
1,චරිත් හරියටම හරි ජය වේවාසජපයට
2,සුරන්ග පකයෙක් සිරස ගු ගොඩක්
3,පිස්තෝල පතෝලයා චැනල් එකෙ රගනවා දැ
4,සුරංග ගොබ්බයා
5,අයියෝ සුරංග මේකට ප්ලාස්ටික් තුවක්කුවක් දෙනවකෝ මොන කරදරයක්ද මේ
6,මු හැම දේම දන්නවා වගේ ඉන්නවා කියවනවා මු දන්න දේයක් න්ද් අමු ගවයා
7,ලාල් කාන්ත අනුර චන්දිකා සමග ඇමතිවරු වෙලා හිටියා ආණ්ඩුවක් තුල
8,ප්ලාස්ටික් තුවක්කුවෙන් වෙඩිතිබ්බෙ චරිත්ද සුරංග
9,මේ මාධ්ය වේදීයා කැසීම වැදගත්කමකට නැතී කට තීයන පලීට කෑගහන පීස්සෙක් මේ මෝඩයාට නැවත පුහුණුවක් දෙන්න ඕන මේ එක පක්ෂය ට කඩේ යනවා පැහැදිලියි වර්ජනය කරන න්න
10,චරිත්ට කොච්චර තේරුම් කරන්න හැදුවත් තේරුම් ගන්න කිසිම උගත්කමක් නොමැති මෝඩ යකෙක් කියලා එයාම ජනතාවට ඔප්පු කරනවා ඒක නිසාමද කොහේද මිනිස්සු එයාව ගෙදර තිබ්බේ අන්න ඒකට ඒ ජනතාවට ස්තූතියි
11,සුරංග ඔකා අමු හරකා මොනවා කිව්වත් වැඩක් නැ ඌ බලන්නෙ බලය ගන්න විතරයි
12,අනේ මෝඩ හුත්තිගෙපුතාලා තව කඩේ පලයං සුරංග වේසිගෙපුතෝ ඔමායා වේසිත් දැං රෑ ට ගෙදර යනවා ඇති
13,මුන්ට චන්දේ දෙන්නේ අමු මී හරක්
14,අනේ මෝඩ මනුවර්ණයො දැන් වත් උබට තේරෙනවද උබෙ මොලේ තරම
15,චරිත්
16,සුරග සල්ලි වලට කඩේ යනව වගේයි හෑබෑයි දන්නේ නෑ
17,මේ සුරංග කියන එකා අනිත් අයට කතා කරන්න දෙන්නෙම නෑඌ විතරක් පොර වෙන්න හදනවා
18,ජගත් අයියා නිසයි බලන්න ආවේ ගවයෙක් නිසා බලන්න හිතෙන්නේ නෑ මොනවද කියන්න ඕන කියලා ඒ මනුස්සයාට තේරෙන්නේ නැහැ
19,චරිත් දන්න ලබ්බ
20,චරිත් ඉල්ලං කෑවෙ
21,මේ සුරංග කියන ගොනා අනිත් මිනිස්සුන්ට කතා කරන්න දෙන්නෑ උගේ මතයම පැල කරන්න හදනවා මහබැංකු ප්රශ්ණයක් ආවනම් ඒවට මුලින්ම වගකියන්න ඕන ඒ ආණ්ඩු පත් කරන්න කඩේ ගිය එවුන් මිසක් වෙන මොකුන්ද
22,මේ නලු නිලි සේරම හිතගෙන ඉන්නෙ තමන් දේශපාලනය දන්නව කියලා මාරයි මිනිස්සු රගපානව බලන්න කැමති තිරයේ පමනයි
23,මාර වැඩක්නේ සජබ සේරම එකම මොලේ නෙ මාර මොල තියෙන්නෙ මම හිතන්නෙ දෙවියන් අපි දිහා බලලා මේ පාර
24,මිනිස්සු චන්දේ දෙන්න ඕනේ ඒ පළාතේ ඉන්න හොදම මනුස්සයෙක් ට මිසක් රට ම එක පක්ශෙකට ඒක් නිසා ඒ පක්ශේ කෙනෙක්ටම දෙනවා කියලා නෙවෙයී ඒක තමයි කමල් කියන්නේ ඒකයි වෙන්න ඕන
25,අමු ගවයෙක්
26,අනික සජබය ආණ්ඩු කලේ නෑ සජබයේ මන්ත්රීවරු ආන්ඩුවක හිටියා ඒ යහපාලන ආන්ඩුවේ ඒක රනිල් හා මෛත්රීපාල සිරිසේන හවුල් ආන්ඩුව මිස මෛත්රීපාල සිරිසේන සහ සජිත්ගේ ආන්ඩුවක් නෙවෙයි අනික එකේ ඉදලා වෙන් වෙච්ච කන්ඩායමක් තමයි මෙහෙම දැන් වෙනමම ඉන්නේ ගෝඨාට කඩේ ගිය අය මාලිමාවේ ඉන්නවා වගේ චොකා මල්ලීට ජන්ද දුන්න හරක් ඉන්න රටක මොන පචයෙක්ට උනත් බලය ගන්න පුලුවන්
27,චරිත කියපු දේ පැහැදිලිව සුරංගට තේරුන්නෑ චරිත් කියන්නේ ජන්දේ ඉල්ලද්දී එකට ඉදලා ජන්දේ දිනලා ආන්ඩු බලය ගත්තට පස්සේ හෙමිහිට ෂේප් වෙන එක ඒක තේරුම් ගන්න බැරි ජෙප්පන්ගේ අසූචී හෝදන සුරංගට කවදා හරි වෙන්නේ චමුදිතටරංගනට වෙච්ච දේ තමයි කිසිම රස්සාවක් නොකර අනුන්ගේ මුදලින් යැපෙනවාට වඩා යමක් රට වෙනුවෙන් කරන්න තියෙනවා හැබැයි ජනතාව තේරුම් ගත්ත දවසට ඔය කාගේ කාගෙත් රෙදි ලෙප්ට්
28,රටම ඉවරයි
29,මොකෙක්ද මේ එල ගවයා සුරගයා ජවිපේ එක ආන්ඩු වල හිටියේ නෑලු මෝඩ හුත්තෙක්නේ මූ යකෝ ඕන එකෙක් දන්නවා ජවිපේ එක චන්ද්රිකාට කඩේ ගියා මහින්දට කඩේ ගියා ඇමති කම් ගත්තා ආන්ඩුවෙ හිටියා කියලා දේශපාලනය ගැන ඉතිහාසය නොදන්න ඉයේ පෙරේදා ඉපදිච්චි ගොන් හරක් මේ පිස්සු සුරගයා කියන එවා විශ්වාශ කරනවා
30,මාලිමාවෙ පුක හෝදන සක්කිලියා සුරග
31,මේ මාධ්ය වේදි සුරග ද නැත්තම් සතුට සුරගද මාධ්ය වේදී සුරග
32,අප්පා මෙහෙම නෝන්ඩි විල්ලක් චරිත් ද මොකාද එකා
33,ලස්සනම නලුව වගේම මෝඩම කොළුවත් චරිත් තමයි ඉතින්
34,චරිත් උබ වහ බීපන්රෙදි ඇදන් නං පාර්ලිමේන්තුවට යන්න එපා
35,ස්තුතියි මේ ගොන් හරක් බව පෙන්වා දුන්නට
36,එල හරකෙක්
37,සුරන්ගට අහපු ප්රශ්න මාලිමා උන් අමතිකන් දරපු අය බව අමතක වුණාද සුරන්ගට අනුර පැ වති හම ආන්ඩුවලම හිටියා චරිත් හරි
38,චරිත් කියන්නේ අමු ගවයෙක්
39,පැහැදිලියි හොදට චරිත්ට ගහාන්න සුරංගත් හොදට උදව් කරන බවමාද්යවේදියෙක් උනාම කැත වැඩ කරන්න එපා බං
40,ඇත්තමයි සජබෙ ඉන්නෙම මේ වගේ ගොබ්බයො
41,අපෝ චරිත් මෝඩයෙක්
42,කට්ටිය වට වෙලා ගහනවා එකෙක්ට
43,කවුද මූට නොමිනෙශන් දුන්නේ
44,නලුවෙක් වශයෙන් උන්ට ඉන්න ෆෑන් බේස් එකත් නැත්තටම නැති කරගන්න ගොන් රැලක්
45,අපෝ සජබෙ ඔක්කොම එකයිනෙ බලන් ගියාම
46,මුන් හිතාගෙන ඉන්නේ මහා පොරවල් කියල මුන් මුන්ගෙ කලාවට දෙයක් කරල තියෙනවා නම් අද අපේ කලාව කොතනද තියෙන්න ඕන මෝඩයෝ මෝඩකම ප්රදර්ශනය කරනවා
47,හෑවා බං මීට පොරිත්
48,මනූවර්නට ජය වෙවා
49,ගෙදර
50,චරිත්නම් අම්මෝ සුරංග
51,දන්නදේ කරගෙන හිටින් චරිත් වෙඩිමක් කරන්නැතුව
52,ගොනාට කියන අළුත් නම සුරංග
53,අයියෝ චරිත් වධ නොදී ගෙදර යන්නකෝ
54,චරිත් කියනදේ තේරෙන්නැත්තෙ අනිත් උන්ට අනේබං චන්ද මහින්ද්ස්ට දෙන්න චන්ද්රකාට දෙන්න කියද්දි චන්ද දුන්නට පස්සෙ ටිකදවසක් ගිහින් හරිනෑ කියනවා
55,වාර්තා කියවන එකද දේශපාලනය කියන්නේ හත්තික්කේ
56,චරිත් කියන්නෙ පිස්සෙක්
57,මේ ටෙලිනාට්යයක් නෙවෙයි චරිත් මී මැස්සො රඟපෑම වගේ කියලා හිතුවද
58,කොහොමද කෑම චරිත් අති විශිෂ්ටයි සර්
59,චරිත් කියන්නෙ අමු ගොනෙක්නෙ නොදන්න දේශපාලනේ දන්න මිනිස්සුන්ට කරන්න දීල තමන් දන්න දේ කරන් හිටිය නන් ඉවරනෙ
60,දමිතගෙ අයියා
61,ආසම දෙන්නෙක් ජගත් මනුවර්ණයි ජෙහාන් නුයි
62,හයියෝ ආසම චරිතයක් මේ චරිත් ඇයි එහෙම ම්නිස්සුගෙ ඔයාට තියන කැමැත්ත නැති කරගන්නෙ
63,මෙයා මැටි මොලෙක් මුලින් අපිත් හදන්න උදවු වුණාට පත් වෙලා හොරකන් කරනකොට අපිත් ඉවත් වුනා මේ මොන මොඩ කතාද
64,සුරංග උබ වරෙන් මාලිමාවෙන් චන්දෙ ඉල්ලමු
65,සජබ චාටර් උනාට මේ තරම්ම ගවයෝ හිටියේ නෑ කලින්
66,පොන්න සුරා
67,මොඩ චරිතයක්
68,සිරස උබලා ගේ නලිකාව බලන්නේ ජෙප්පො ජෙබයියො විතරක් මොවෙයි
69,ඇත්තටම මේ මිනිස්සු කවුද වෙළඳ ප්රචාරණ දැන්වීමකින් හෝ ටෙලි නාට්ය චිත්රපට වලින් ජනතාවගේ ආකාර්ශණයට පත් වූ සැණින් දේශපාලනයට අවතීරණය වීම වත්මනේදී සිදුවන විහිළුවක්වෙන රටවල් වල ක්රමය බොහෝම වෙනස්තමන් වෘත්තියක් වශයෙන් දෙයක් කරනවා නම් ඒ වෘත්තියේ මං මාවතේ විශිෂ්ටයෙකු බවට පත්විය යුතු විනා තමන්ට හමුවන හමුවන මාවතේ ගියොත් අනිවාර්යෙන් එම කෙනා අතරමං වෙනවාදේශපාලනය කියන්නේ බොහොම හාත්පසින් වෙන දෙයක් රටක් පාලනය කරන්න නිසි දැනුමක් හා වගකීමක් අවශ්යයිතර්ක විතර්ක අවශ්ය නැහැ රටේ පාලන ක්රමයයි සිදුවන්න ඕනේඔබතුමා කොච්චර ප්රචාරණ කටයුතුවලට සම්බන්ධ ද කියනවනම් සන්නාම ආයතන ගණනාවක් ප්රසිද්ධියට පත් කර ඇත ඉතින් ඔබ ඔය තනන්නේ ඔබේ පක්ෂග්රාහීත්වයට ජනතාවගෙන් ආකර්ෂණයක් ලබා ගැනීමටයිඑය ඔබ මෙතෙක් පවත්නා ආ නාමයටද හා මින් මතු ඔබ දක්වන වෘත්තියෙහි සියලු නිර්මාණයන්ටද කරගන්නා ලද හානියකිමනුවරණත් එසේමයි ඔබත් එම ක්ෂේත්රයම නියැලී සිටින පුද්ගලයෙක් ඔබලා ජනප්රියත්වය ලබාගන්නේ මිනිසුන්ගේ ආදරය දිනාගන්නේ මිනිසුන්ගේ රසාස්වාදය සහ හොඳ නිර්මාණයන් සමාජයට දායාද කරන විනා දේශපාලනයට අවතීර්ණ වන්නදවත්මනේ ගොඩක් ජනප්රිය පුද්ගලයින් දේශපාලන තරම් කරුවන් බවට පත්වෙලා
70,චරිත් අම්මෝඋබල ද්රෝහීන්
71,ඕකුන් කොන් කරලම දාන්න ඕනේ අද ඊයේ දේශපාලනය කරන්න ආපු එනවා අපිට උගන්නන්න
72,මෙන්න සුරංග බුරනවෝසිරස ඇපා කරපු සුරංහ
73,නලු බට්ටෝ එකෙක්වත් පාර්ලිමේන්තු යවන්න එපා උංට මොලයක් නෑ
74,මූ වගේම තමා මූගේ නංගිත් ගොන් බදින කනුවක්අයියා ගොන් කතා කියනවා නංගී ඒව හරි කියනවා මිනිහෙක්ට කතා කරන්නවත් දන්නේ නැති ගෑනියෙක් මුන් පාර්ලිමේන්තු ගියොත් හොද අනාගතයක් තියෙයි රටට උපේක්ෂා අබේසිංහ
75,චරිත් ඔයාට බැ ඔයාට බැ චරිත් චරිතේ නැති කරගන්න එපා ගෙදර ඉන්න පාඩුවේ
76,චරිත් අමු ගොන් කතා කිව්වා තමා හැබැයි එක පොයින්ට් එකක් හරි අරුන්ට ආණ්ඩු හදන්න එක දෙපැත්තට සහයෝගය දැක්වුවා කියන එක හරි
77,චරිත්
78,මොනම මගුලක්වත් දන්නැති හරකෙක්
79,චරිත් උබ මහ මෝඩයෙක්
80,සිරස පක්ෂපාතී උනාම අව්ලක් නැද්ද එතකොට
81,හරිනෙ ඉතින් ඌ සජිත්ගෙ ටීම් එකේ එකෙක්නෙ
82,චරිත් හරියටම හරි
83,චරිත
84,පවතින ආන්ඩුව හොද නැති වෙනකොට අනුරලා වගේම මිනිසුන්ටත් එපාවුන නිසා පැරදෙව්ව එයාලගෙ වැඩපිලිවෙල හොද නැති නිසා අය අයින්වුනා චනද දායකන්වන අපිත් ඒ වගේම වෙනස් උනා
85,මට පේන්නේ මේක මෙතන චන්ද බර ගානක් නැති කරගත්තා
86,අම්මෝ වසරෙ එකෙක් අර පොඩි කාලෙ යාලුවො එකතු වෙලා දේශපාලකයෙකුගෙ චරිතයක් කරනව වගේඅයියෝ චරිතචරිතෙ ගොම
87,සිරසත් සුරංගත් මාලිමා වෙලා අපි සිරසෙන් ඈත් උනා තනිකරම පක්ෂග්රාහී වෙලා සිරස
88,සිරසත් ඉවරයි සුරංගත් ඉවරයි ලැජ්ජයි
89,චරිත් ඔබ වැදගත් චරිතයක්
90,කැතයි සුරංග
