Index,Sinhala Comment
1,සංජීව ඡන්ද ප්රතිඵල ය හරියටම කියල
2,මුජිබර් උබ කොළඹ අරන් ඉවරදගිහිල්ලා නිදා ගනින් උබලට දැන් කියන්න දෙයක් නැහැ බංපාතාලය උබලගෙ බං
3,සන්ජීවනම් සුපිරි
4,මෙතරම් කාලයක් රට පාලනය කල පාලකන් මේ අපේ රටට කරලා තියෙන්නේ මොනවද කියලා සරලවම කිව්වොත් මාතා අම්මා කිව්වට ඒ අම්මගේ කර කනේ තිබ්බ රත්තරන් විකුනලා ඇගේ ලේ උරා බිලා ඇයව සමූල දූෂනයට ලක් කරලා ඒ දිහ බලාගෙන ඒක වැරද්ද වටේ කරකනවා විතරයි මගේ අම්මා ගෙන මට දුකයි
5,ජනමාධ්ය සහ ජඩ මාධ්ය අතර වෙනස තේරුම්ගන්න හොඳ වැඩසටහනක්
6,හැබැයි මන්නප්පෙරැම මහතාවැස්සෙ තෙමි තෙමි ගිය අයට රනිල් මහතාගේ චූටි කර් එක හා ටැබ්ලට් එනෙම ලැබුනද
7,සතුට සුරන්ග ඉයා නේද උබ ගු ගොඩක් බන්
8,සුරන්ග ඔමියා ගු ගොඩවක් ක්
9,හොර හැත්තගෙ ස්ල්ලි වලට කහින උන් මෙකේ හානවා නෙද තුක් නොදකින් මෙහමත් වහල්ලු මාලු කඩ දාගනි තොපි ගිහින් සිරස නැත්තම් මුන්ගේ ඇත්ත එලියට එන්නෙ නැ කෙලින් අහන්න තියන එක අහනවා එවාට උත්තර දිගන්න මුන්ට කොන්ද පන නැ උන්ට රෙවෙන කොට වහල්ලු ෆොම් වෙලා
10,අපේ ඇස් ඇරපු පුරුදු පරන සටන ආයෙම එනකම් බලන් හිටියෙ නොඉවසිල්ලෙන් සුරංග වගේ මාධ්යවේදීන් ඉද්දි අපිට අපි ගැන ආරක්ෂාවක් දැනෙනවා
11,ට ලැජ්ජ නහර නැ
12,අනේ බං
13,රට කාපු උන්ගෙන් මෙහෙම තමයි අහන්න ඕනේරෙදි ගලවන්න ඕනේ ඕකුන්ගේසමහර කාලකණ්ණින්ට මතක නෑ මුන් රටට කෙලවලා විදපු දුක
14,සිරස කියන කිරි කලේට ගොම බින්දු දෙකක් මුසු උනා ඔය ගෑනිවයී මිනිහවයී වහාම සිරසෙන් එලියට දාලා කිරි කාලය පිරිසිදු කරගන්න මම ආසම එක මෙහෙම විනාස වෙන්න දෙන්න එපා
15,පැලවත්තේ ප්රදාන ඩෝබියා සුරන්ග
16,රනිල් තව මාස හයකින් ජනාධිපති වෙනවලු අනේ යකෝ මාස හයකින් එකා හිරේ
17,මේ ගෑනි මිනිහයි දෙන්නම මාලු විකුනන්න හොදයි කිසිම විනයක් නැති ආන්ඩුවට රෙදි නැතුව කඩේ යන ඩෝබි
18,හිටපු බුද්ධි අංශ නිලදාරියෙක් අතඩංගොඩ ගත්තෙ පකටද චෝදනා මොනවාද අනේ පලයං බලු දොස්තරයෝ
19,කමෙන්ට් දාන තරමක් දාලතියෙන්නෙ දාර බයියොනෙ
20,ටොයිබයියොන්ට වෙච්චි විනාසයක්
21,හොරරැලගෙකටු සූප්පුවන්ටරිදිල
22,අනූර ජනාධිපති
23,මාලිමාව ජයවේවා
24,අහපු එක ප්රශ්නයකටවත් නලින්දගෙන් උත්තර හම්බ උනේ නැහැවෙන වෙන බයිල කියල ලිස්සල ගියා
25,සෙල්ලම් පිස්තෝලය අරගන ඇවිත් තියෙන්නෙ චරිත්
26,ඊයා බං අර නලින්ගේ ගූ කවපං ඔමායට
27,එදිරිමාන්න පමණක් තර්කයක් ගොඩනගනව හොදයිනමුත් ඔබ සිටගෙන ඉන්නතැන වැරදියිඑදිරිමාන්න ජනපතිතුමා ප්රදේශීය චන්දය ඉල්ලගෙන ම යනව නෙමෙයි නේ එතන තමයි ඔබගේ කහලගෝඩ උඩ ඉදල මවන චිත්රයනමුත් සමාජය විදියට අපි ලගු නෑ එතනටඅනුර සහෝදරයා සමාජය බොහොම පැහැදිලිව උතුර දකුණ රට සිසාරා ඉතා පැහැදිලිව සියල්ල දැනුවත් කරම්න් සියල්ලන්ටම ජාති ආගම් භේදයක් නැතිව පැහැදිලි කරමින් සමාජය දේශපාලන රොකට් සයන්ස් වගේ කලින් පෙන්නපුව සරලව දරුවන්ටත් පැහැදිලි වන ආකාරයට හරවත් සංවාදයක් ගොඩ නගා තිබෙන එක සමාජය දැනුවත් වීම ඔයලගේ දේශපාලනයට අවුලක් ලොකු අවුලක් තමයි ඉතිං මොකද කරන්නේ
28,මලිමාවට වේවා
29,මේ ඩොක්ට මානසික වෛද්යවරයකු හමුවන්න
30,අයියෝ විපක්ෂයේ කෙඳිරිල්ල බැරි බැරියාවෙන් ආණ්ඩු කරපු විපක්ෂයට මාලිමා ආණ්ඩුව යටතේ ජනතාවට දැනටමත් ලැබුණු සහනයන් පේන්නෙ නෑ උඹලාගේ දූෂිත පාලනය ගැන ජනතාවගේ මතකය ඔය තරම් ලේසියෙන් මකන්න ලැබෙන්නේ නෑ
31,වේවා වේවා වේවා ආදරෙයි ජනාධිපති තුමා වේවා
32,වුමාය කඩෙ යනව කියල ඔච්චර පවු පචවුනැයි
33,සජබයියන්ට සෑහෙන රිදිල
34,තමන්ගේ එකේ තමන්ම බැනුම් අහපු වැඩිම එක
35,සංජිව
36,සුරන්ග ඔයාට චරිත් එක්ක ප්රශ්නයක් තියෙනවනම් පුද්ගලිකව කතා කරල විසදගන්න තමාගෙ රැකියාව බාවිතා කරල පුද්ගලික පලිගැනීම් කරන්න එපා
37,සෙල්ලම් පිස්තෝලය සුරංගගේ පස්සේ පැත්තෙ තිබ්බනම් අපිට සුරංග කෙනෙක් නැති වෙනවනෙ
38,ඊයා සිරස මාදයවේදියෝ උනාම අපක්ශපාතී වෙන්න ඕන මාලිමාව රෙද්ද පල්ලෙන් වැක්කෙරෙනවා
39,තොපිට වගේ වහල්ලුන්ට තමයි තියෙන්නෙ නයි දෙරනයි කුඩු හිරු එකයි මෙකට බනින ඔක්කම් කුහක වහල්ලු හොරා කන්න නැතුව මුන් ඇබරෙන ඇබරිල්ලක්
40,ප්රසන්න රණවීර හැඟුනාම ඒ පක්ෂේ පලි නෑ ගෑනියේ හෝමායා වගේ ගොන් ගෑනි
41,සුරංග එකේද වැඩ කරන්නේ
42,උමායා අනුරැගේ ආරියාවෙලා
43,උමායානුරට සැට් වී ඇත
44,සතුටු සුරංගයා මන්ද මානසික මනස වර්ධනය නොවු පොරක් වගේ පෙන්නේක්
45,සමස්ත විපක්ෂයම සතුටු සුරංගයයි ගොන් ඕමායයි මෙහෙයවන වැඩ සටහන් වර්ජනය කල යුතුයි මුන් දෙන්නගේ ප්රශ්ණ ඈසිමේ හැකියාව අන්තිමයි ඒ වගේම ස්වාධීනත්වයක් නැහැ නියම ගවයෝ දෙන්නෙක්
46,මම බයි ප්රජාවේ නෙවෙයි ඒ උනාට සංජීවගේ කරුණු ඉදිරිපත් කිරීම හා තර්කන හැකියාව හමුවේ සතුටු සුරංගයි ගොන් ඕමායයි නානවා මුන් දෙන්නගේ ඩෝබි රැකියාව සහ ගොන්කම නියමෙට පේනවා
47,අලියත් එපා රනිලුත් එපා
48,ඊයා සිරස චාටර් මොක්කුද මේ මාධ්යවේදියෝ
49,ඇයි හිරුට වඩා හොදයි
50,එදිරිය අමු කුහක පචයෙක්
51,සුරන්ග ඔමායාකාලකන්නි
52,සිරස පට්ට ගොං උන් ගොන්නු චූන් කරන්න හොදයි
53,පච සිරස
54,මොවුන් මාධ්ය වේධීන් කියන්නත් ලැජ්ජ විය යුතු පිරිසක් නාලිකාවක් කුමන දේශපාලන මත දැරුවත් මාධ්ය වේදීන් මොන පක්ෂයකට කඩේ ගියත් වෘතීමය පැත්තෙන් සිරස දැන් එකේ වැඩ කරන මාධ්ය වේදීනුත්
55,සංජීව එල
56,හරක
57,ජෙප්පො ද
58,අවුරැදුගානක් තමන් එකක් දේශපාලනය කරපු කෙහෙලිය අත්අඩංගුවට ගන්නකොට ඇහැක් ඇරලා බලපු නැති රනිල් පිල්ලෙයාන් ගත්තාම ඇයි දන්නැ කලබල උනේඕවා හොඳයි බබ්බුන්ට
59,එදිරිමාන්නතමුසෙලා මේ රටට කරපු දේවල් වලට තාමත් සමාජ වෛරයට ලක්වෙලා ඉන්නේඉන්නකො මේ ඡන්දේත් ඉවරවෙනකල්
60,එකනම් ඇත්ත බලේ ඉන්න කාලේ මෙ සංජිව මොනා කරලද රටටඋ හිටියට වඩා සුදු වෙලා විතරයිඑච්චරයි වෙනසමාලිමාවට ජයවෙවා
61,විපක්ෂය සිරස වර්ජනය කල යුතුයි
62,සංජීව මහමහත්තයාඔයා මාධ්යවේදීයෙක් කියලා ලංකාවේ මිනිස්සු දන්නවාකවුද මේ සුරංග ඔයා මාධ්යවේදීයෙක් විදියට අහන දේ අපේ අර එකේ හරිද දන්නෑ මෙහෙම කිව්වොත්හිටපු මහත්තයා දන්නවානෑ හෝමෝ සේපියන් ගැන හොයන්න ඕනේ
63,මිනිස්සු මේ අවුරුද්ද උපරිම වශයෙන් බලාගෙන චන්දෙත් දෙයිහැබැයි ඔයාල ඔය කියන දේවල් මිනිසුන්ට දැනුනෙ නැත්තම් ඔයාලත් පරිස්සමෙන්මොකද මං දන්නවා සහා මට වගේම ගොඩක් මිනිස්සුන්ට තේරෙනවා පට්ටම අමාරුයි කියලා මේ රට අරන් යන්න ඒත් අයේ ආයේ කියන්න ඕනා නෑනේ අපි මනුස්සයෝ කියලා කල්පනාවෙන්
64,ඊය සුරන්ග ඊය ඔමාය අප්පිරියයි
65,ලොන්ඩරි සිරස
66,බූද්දීයේ විමසුම අපූල්ලනවා
67,ආර්ථික කරැනු මොකුත් නෑ
68,මුන්ට මහින්ද රාජපක්ෂ මහතා නිල නිවාසය ඇලජික් සුරංග අහනවකො රට ගොඩදාන විදිය අහන්නකොමඩ පච නලින් ජයතිස්ස මඩ නානවා
69,පාර්ලිමේන්තු මැතිවරණය පැවැත්වුනේ නොවැම්බර් මාස පහක් ඉවර වෙලා මේ ලබලා තියෙන්නේ හය වැනි මාසයයි
70,සෙල්ලම් පිස්තෝල ගැන කතා කරන සුරංග උඹලගෙ මහ ඈයො හැමදාම රට ටපරලන්න ආවෙ ටී අරන් බව උඹලට අමතක වුනාට අපට ැමතන නෑ මාස ගණන් කරගන්න බැරි අයද උඹේ පච පක්ෂයේ ඉන්නෙ
71,මෙරට හදන්නද රනිල්ල සජිත්ල දිනන්න හදන්නෙමිනීස්සුනෙ නැවත මෙ රට විනාස වෙන්න දෙන්න ඵපා මෙ ආන්ඩුව රට හදනව විස්වාස කරන්න
72,සංජීව
73,සුපිරියටමපච උනා නේද
74,ඔමායට ගැලපෙන්නේ එකක රස්සාව
75,සුරංග අමතර ගානක් හොයාගන්න විදින දුකක්
76,අනේ සංජීව තොපේ කෙරුවාවට මිනිස්සු උබල ට බැස්සුවා අනේ පලයක් පුකයෝ යන්න
77,සංජීව ට රෙව්ලා ඉන්නෙ
78,සෙල්ලම් පිස්තෝල වලට සුරංග ඔච්චර බයනම් කාලයේ තුවක්කු වලට කොච්වර බය වෙයිද
79,අනිවාර්යයයෙන්ම සුරංගයත් අවි පුහුණුවක් ලබන්න ඇති සංජීව යුද පුවත් නිවේදනය කරන්න යුදබිමේ සිටි හැටි අපට හොදට මතකයි සුරංගයා කවදද බොරු ජනගත කරනවට වඩා වැදගත් වැඩක් කළේ උමායම කියනවනේ එයා රෑ දෙකට වීථි සංචාරය කරනව කියලා
80,සුංරනන්ග පිස්සෙක්
81,සටනේ ඉන්නේ ඔච්චර පොරවල් නම් චරිත් අබේසිංහ සටනට ගේන්නකෝ
82,මෝඩ චූන් දාන ටොබයියොන්ගෙ සෙට් එකට අත්පුඩි ගහන වුනොත් ඉන්නවනෙ
83,සිරසේ අසික්කිත බලු මාධ්ය වේදින් මුන් හොදයි ලැට් වලවල් සුද්ද කරන්න වනාතේ මිනිස්සුවත් මේ වගේ නෑ අර ගෑනීගේ බලු කට මනුස්සයෙක්ට ගරු කරන්න දන්නේ නැති ජාරා සත්තු මේ වගේ මාධ්ය නම් නැති වෙන්නම ඕන සිරසේ කාටුන් ඇරෙන්න අනික්වා නම් බලුම බලුයි බලුම නාලිකාව
84,ආදරේයි සිරසට සහා මලිමාවටව
85,මහනුවර ලැට් නැහැලු මිනිස්සුන්ගෙ කක්කා කරන්න සුරන්ගවයි ඔමායවයි එවන්න බැරිද කට ඇරන් ඉන්න ලොකු උදව්වක්
86,ආර්ථිකය හොඳට හදපු කට්ටිය දැන් මේ කතා කරන්නෙ මෙයාලා අනුරලාට හතර මහ නිධානයක්නෙ බාර දුන්නෙ අනිත් එක මෙයාල තුන් ගොල්ලම ඇවිල්ලා අපිට කේතුමතී රාජධානිය හදලා දේවි
87,මෙිිරජයජනතාවට දලදා වන්දනාව මරැඒකෙන්මපේනවාමෙිගොල්ලන්ගේවැඩපිලිවලමටපේනවාඅන්දරේවපැරැද්දුවා පචකොටඅන්දරේ
88,ගෝඨා පන්නලඅවුරැදු ගියේනෑගෝඨා කාලේහාල් පැටිිරල් ගෑස් දැන් කීයියදදැන් තමාතේරෙන්නේමුං ගැනගෝඨාට මුං ඔළුව පොඩිිඩක්උස්සන්න දුන්නෑහිරිකිතයි රජයේසේවකයෝපාරටහැමදාම දාලරටවැටිිටුවා දැනුත් රජයේසේවකයෝසුමානයක්පාරටබැස්සොත්රටඉවරනේදදැන් මටවිපක්ෂයේ ඉන්නහැමෝමගැනආඩමිිබරයඒමොකදඒඅයජනතාව පාරටදාන්නැතිනිසාඒඅයරටටආරේපේනවාමටවිතරදහිතෙන්නේමාලිමාවෙිි එකචන්දයක්අඩුවෙනවාඒමමකාටවත්මෙිිගමන මමචන්දේ දෙන්නෑ
89,එහෙමනමිියකෝසජිත්ට වඩාඅනුරලකොචිිචර කල්ඉදන්පැරිලාදඔතනටආවෙිිකුහක වචනදාන්නඑපාමමගියගමනඅවංකවමචන්දේ දුන්නේ මාලිමාවට මමනැවතමාලිමාවට චන්දේ දෙන්නෑචන්දේ කාටවත්පාවිච්චි කරන්නෙත්නෑගෝඨාට චන්දේ දීපුඅපිනැත්නමිිඅදත්අනුර ලක්ෂ මතමයිහිරිකිතයි තොපේකතාව
90,පාක්කු බෝමිිබ ගහන්න ජේවීපීමුස්ලිමිි මන්තිු කෙනෙක්හිටියාඑතකොටමහමොලකරැකවුද කියනඑකඅපිටතාමහිතාගන්න බෑ
91,නිවේදකයන්ගේ සද්දේ මුන්ගෙ සද්දෙ අඩු කරන්න ආතල් එකට හරි චාමර ව ගෙන්නන්න ඔනේ
92,ඔමාය හා සතුටු සුරංග රෙදි නැතුව කඩේ යන එක දැන්වත් නවත්තපල්ල
93,උමායාට සුදුසුම තැන මාළු මාර්කට් එකයි
94,පොහොට්ටුව
95,ෂුරන්ග උබට පිස්සු
96,සුරංග මොඩ මුසලයේක් අනේ
