Index,Sinhala Comment
1,දොළවත්ත ටොම්පච ගහන්නේ අහන එක නෙවෙයි උත්තර දෙන්නේ පිස්සු යක්කු මුං
2,මේ අග හානි වටනේ උත්තර දෙන්නේ පිස්සු යකෙක් මේ යකා
3,මාධ්ය ඇතුලට ඇවිල්ලා මේ මේ ස්වර්ග මහත්තයාට ඒ මරේ මේවා බනින්න මේ තියන්න එපා මේ මේ උන්ට උන්ට උන්ටත් මාධ්ය නිදහස නැති කරේ මම අහිංසක මිනිස්සු අහිංසක මිනිස්සු මරන්න
4,සුරංග මහත්තයා අහන ප්රශ්නවලට උත්තර දෙන්න බෑ ඔය මිනිස්සු කරලා තියෙන වැරදිවලට උත්තර දෙන්න බැහැ බැහැ ඔබතුමා අහන විදිය හොඳයි ඔබතුමා අහනකොට උන්ට උත්තර දෙන්න බෑ
5,ඔය ඩොක්ට නලින් කියනවා ඔය ඔය කතා කරන්න දන්නේ නැති බූරු අතර දාන්න එලියට සමාධිය ඇතුලෙන් ඇදලා දාන්න එළියට ඕකා
6,මාධ්යවේදී ඔවුන්ට මේ උත්තර දීගන්න බැහැ මේ මිනිස්සු කරලා තියෙන්නේ වැරදි වැරදියි ඒක හින්දා ඔයාගේ හදලා දාන්න එලියට
7,මේ සටනේ ඉන්න උන්ගෙ හෙන පඩ තියෙන්නේ
8,ඔයාලට බැරි උනා නේද ඔන්න අනුර කරා අපහු ඔයාලට බලේ දෙන්නද කියන්නේ
9,අර පිහොට්ටු ලොන්තට රෙවිලද බලපං
10,පාර්ලිමේන්තුවෙත් නෑ වියත් මගෙන් ඇවිල්ලා නොදකින්
11,සුරංගයාට පිස්සු තද වෙලා
12,ගොත සුරංග
13,අයිසෙ දොලවත්ත තමුසෙ පිස්සෙක්
14,හරක් කටා සටනට දොලයා පාතාලයා වෙලා
15,සුරන්ග බොස්සුපිරිම ප්රොගෑම් එක
16,මුං කතා කරන්ඩ කරන්ඩ අනුරට චන්ද වැඩි වෙනවා
17,නියමයි දොලවත්ත
18,පුක තමයි නියම දොලවත්තයා ගෙදර අරන් පලයන්
19,ඔය ප්රශ්න ටික දැං අහපංකො අනුරගෙ එකෙක්ගෙන් කියපු ටික කරාද කියල
20,අනාථ ප්රේමයදොළට හෝදාපාළු වූ වත්ත මිනිහෙක් ඔහු විසින්ම ඔහු විනාශ වීමක් තක්කඩි රකින්නට කොන්දේසි විරහිතව පෙනී සිටීම කැත විධියට කරන කෙනෙක්
21,දොලවත්තයගෙ ඇස් දෙකේම තියනව හොරකම බොරුව හැමදේම මූ පොහොට්ටුවට සපෝට් කරනව බර මූට රාජපක්ශ හොදට ගෙවනව අපේ සල්ලි වලින්
22,දොලවත්තය කියන්නෙ පට්ට හොරෙක් ඌ අපේ සාමකාමී අරගලේට ගහල මිලියන ගනං වලින් ගත්ත වංදි උගෙ ගේ ගිනි ගත්තෙත් නෑ පල් හොරා මුගෙ කට සද්ද විතරයි රනිල් එක්ක ඉදං නාමල් රාජපක්ශලට කඩේ යන හිගන්න
23,මේ සුරංග කියන එකා ගාණට වැඩියිඌ හිතාගෙන ඉන්නෙ ඌ තරම් දන්න කෙනෙක් නෑ කියලාඅනික ඌ කතා කරන විදිහදොළවත්ත නෙවෙයි මං හිටියා නම් මුගෙ හොම්බ තලනවාපඩත්තරයා
24,අපරාදේ සුරංග මහත්තයට කියන්ඩ තිබ්බෙ මම බුරන බල්ලන්ගෙන් ප්රශ්න අහන්නෙ නෑ කියල
25,සුරංග උව අපයොජනය කරන්න එපා
26,නොදකින් මේ කාලකන්නියා දොලවත්ත
27,දොලවත්ත දොලේ යවන්න ගහගෙන යයි
28,සුරංග පගයට කථා කරා හොඳ වැඩි ඌ හිතාගෙන ඉන්නේ ඌ හෙන පොරක් කියලා ඌ හීලෑ උන්ට ඔහොම බුරන්නේ නෑ
29,මේ වගේ ජාතකේ වැරදිච්ච පාහරයන් මොන පක්ෂය උනත් පාර්ලිමේන්තුවට එවන්න එපා
30,සුරංග ඔය මෝඩයාත් එක්ක මොන කතාද උන් ඔක්කොම මෝඩයෝ
31,සුරංග මුන්ගෙ ඇතුළේ ඉන්න මුර්ගයාව එළියට ගන්නවා වගේ රටට ඇත්ත දැනගන්නට
32,සද්දෙ බලාන්කො දොස්තරගෙ මට වගේ යවන්නෙ ෆයිල් එකක් හොස්පිටල් එකේ ඉදන් චන්දෙ බලන්න
33,දොලයට නාට්යයක කෑලි නැද්ද කරන්නගෙදර හිටියොත් කීයක් වත් හම්බ වෙන්නෙ නෑ නෙ
34,මන්ත්රී ධූරය නැති වනවා මමත් ඡන්දය දක්වා අල්ලස් හැමදාම හොරු ඔක්කොම දකින පරයා
35,සුරංග හොඳටම පුක දෙනවා කියලා තේරෙනවා ටිකක් අඩු කර ගන්න වැඩියෙන් පුක දෙන එක
36,දොලවත්තමහත්තයා නියමයි සුරංග ගොන් පකයට ඔහොමමතමයි කතා කරන්න ඕනෙ මුන් හිතාගෙන ඉන්නෙ මුන් මාර පොරවල් කියලා එක එකාටකඩෙ යන පකේ මාධ්ය කාරයෝ සල්ලි වලට කඩෙ යන වහල්ලු
37,සුරංග කියන මේ වාචාල වේසිගෙපුතාලට කනට දෙකක් කවුරුත් නැද්ද ජෙප්පොන්ට කඩෙ යන පකේ මාධ්ය කාරයා මූ හැමදාම බොරුවට උම්බෑ උම්බෑ ගානව ගොන් වේසිගෙපුතා
38,දොළවත්ත තාත්තා බල්ලෙක්ද ගිහින් අම්මගෙන් අහපන් මෝඩ වෙසිගේ පුතා
39,දොලයව ඇලේ දාලා නාවලගන්න ඕනා
40,ශෝක් අප්පාසුපිරියි
41,සුරග සහොදරයා
42,බුරුවෙක් නෙද පව් නේද සුරංග බුරුවාට කෑගහන්න විතරයි දන්නෙ
43,පට්ට ආතල් ඕයි
44,විපත් මගෙන් ආ දොලවත්ත
