Index,Sinhala Comment
1,ගවයා
2,කෝ බං දැන් මේ මාධ්යවේදීයෝ මේ ටිකට කට තියලා
3,චරිත් ගේ බෙට්ට හිරවුනා උගුරේ
4,බබා
5,ගූ සිරස ඩයස්පෝරාවෙ කොටින්ට හා අනුරට කඩෙ යන උන් එදා සිරසට බෝම්බ ගාපු සාදාරණයි
6,මුං පත්වුනා නම් කොහොම තියෙයිද
7,දැන් හොදට තියනවද
8,මේ දින වල ආරක්ෂාව නැතී වීමට සිරස මධ්ය වග කියන්න ඕන අරාක්ශාව නැති කරන ඇජෙන්ඩා එකක් ජනගත කලා ඉතාම කනගාටුයි
9,සුරගි ඔයා මාර ප්රාථමික බඩුවක්
10,චරිත්
11,සිරස එවුන්ට කියන්නේ ප්රශ්නයක් අහල උත්තරයක් දෙන්න ටයිම් එකක් දීපල්ලා උඹලා නිකං හරක් වගේ උන් බෑ කියන්නැතුව
12,හොදට තියෙයි මේ වගේ හරක් පාර්ලිමේන්තුවට යැව්වොත්
13,තාමත් ඉන්න්වා මලිමා වහල්ලු
14,පචයෙකුත් ජනදිපති උනානෙ මේව බලපු උන් නිසා
15,පුකරුදය
16,දැන් මොකද කියන්නෙ සිරසෙ ජෙප්පෝ ටික
17,ගූ සිරස දවසින් දවස ගූ වෙනවා
18,මගේ මතේ නං ආයුධ දැනුත් ඕනේ පාතාලෙට සම්බන්ධ අයට ජනතාසේවකයන්ට නෙවෙයි
19,සුරංග
20,තුවක්කුවෙන් වෙඩි තියන්න ඇරෙන්න වෙන මොනාද බන් කරන්න තියෙන්නෙ
21,අදත් බැලුවා ඒ තරම් ආසයි අප්පා
22,ඉස්සර මේක බලලා බබාටයි බබිටයි හුරේ දාලා දැන් මේක බලන උන්ට මොනා හිතෙනවා ඇත්ද
23,ආරක්ශාව සම්බන්දව පැහැදිලිවම ගැටලුවක් තිබේ මාස න් මගේ මතය වේනස් උනි
24,ආරක්ශාව සම්බන්දව පැහැදිලිවම ගැටලුවක් තිබේ මාස න් මගේ මතය වේනස් උනි
