Index,Sinhala Comment
1,ඔබ ඇත්තෙන්ම වැඩ්ඩෙක්
2,හොර බැසිල් රනිල් නාමල්
3,මේ අර එකරැයට ගෙවල් ක් ගිනිබත් කරපු ත්රස්තවාදීයා උගන්ඩාවෙ ඩොලර්කෝ පචේ පචේ
4,ප්රභාකරන්ගෙ වගේම රෝහන විජේවීරගෙත් ප්රතිමා හැදුවොත් මිනීමැරුම් නැවතී රටේ ජනතාව ඔවුන් ආදර්ශයට ගෙන රට සාමකාමීවී දියුනු වෙයි
5,යාපනේ ප්රභාකරන්ගෙ පිලිමයක් සහ එයාගෙ දෙමවුපියන් සමරන්න රජය මගින් නේවාසිකිගාරයකුත් දැන් හදනව කියන එක බොරුවක් නෙමෙයි කියල ඔප්පු කරන්න පුලුවන්ද
6,ජය වේවා ජනාධිපති සහෝදරයා
7,මනුස්සයන්ටහදිසීතිබූනාටඒවැඩකරන්නබෑඅවුරෑද්දක්දේකක්ඉවසාපියවුමෝඩහරක්හෑත්තෑහයඅවුරෑද්දක්කලේඒවාතේරේන්නේනෑමුන්ටබුදුසරනයිඅපේජනාදිපතිතුමාටජයවේවා
8,ආයෙ ඡන්දෙ මෙයාටම විතරයි මෙහෙම ජනාධිපති කෙනෙක් ඇවිල්ලා තියෙනවද දින්නට පස්සෙ
9,මඩකරියගේ ප්රශ්නය
10,රටට ජනතාවට ජීවිතය දුන් දෙන ආන්ඩුවක් ජනපතිදුනි ඔබට සහ රජයට රට භාර දුන්නෙ මන්ව මකලා රට හදන්න සැමට සුභපැතුම් ඉදිරියටත් ජනතාව ජන්දය දෙන්නෙ ඔබලාට ඉවසීමෙන් රට ගොඩ දා ගමු
11,ආඩම්බරයි සංතෝසයි ආදරෙයි අනුර මහත්තයාට
12,අහගෙන ඉන්න ආස හිතෙනවා ජනාධිපති තුමාගෙ කතාව
13,මෙි බුදිමත් මිසා අපේ රටට දරැවන්ට වාසනාවක් ජන අදිපතිතුමනි දිර්ග ආයුශ ලැබෙිවා ජය පිට ජය ලැබෙිවා තෙරැවන් සරනයි
14,ජය වේවා
15,කොහොමද පැහැදිලි කිරීම ඇඩෙනවා ඕයි
16,දුන්න ඡන්දෙ පාඩු වෙලා නෑ
17,ඔව් ඇත්ත ඔබතුමා ඔය කිව්ව සියල්ලම ඉටුකර තිබෙනව ඔබතුමාට දීර්ඝායුෂ
18,ජනාදිපතිතුමාගෙ දැන ගැනි්ම පිනිසයි සිරකරුවන්ගෙ ලමයි වෙනම රැදවුම වෙනම ගෙන්වි්ම ඔය දෙකෙන් වෙනම නේවි්ම වෙයි බාහිර අයට පේන නිසා වෙනම රැදවි්මනම් බන්දනාගාරවල නමට එහෙම වෙනම ලමා වාට්ටු තියෙනව එවුනට කාමරපාටි කියන පුද්ගලය තවත් වයසින් වැඩිසිර කරුවෙක් ඔහුගෙ අතෙ තමා වැඩ ටික බාලවයස්කරුවන් රවටාගැනි්ම හරි පහුසුයි සිය කැමැත්තෙන් බන්දනාගාරවල ලමයින් අපචාර වැඩවලට පොලබව ගන්නව
19,ඉස්සරලා මනුස්සයන්ගෙ බඩ ගින්න පුරවන්න කන බොන දේවල් වල බඩු ගනන් අඩු කරන්න මනුස්සයන්ට කන්න බොන්න නැහැ පන්දහකට ගන්න දෙයක් නැහැනෙඅපේ රටට සාපය වැදිලා තියෙන්නෙඉස්සර්ලා කන බොන දේවල්වල ගනන් අඩු කරන්න
20,ඒ හැම දෙයක්ම හරි කියමුකෝ ජනාධිපතිතුමනි අනිවාර්යයෙන් මේ දේවල් වල අඩු කිරීමක් කරන්න කිරි පිටි යෝගට් එකක් හාල් ඉස්කෝලේ ලමයින්ගෙ පොත් පත් වල ගනන් පිටි පැකට් එක ගන්න බැරි අම්මා තාත්තාල අසරන වෙන අය අපේ රටේ ගොඩායි එව්වා ගෙන බලන්න ඔබට පිනක් හරිම දුකයි
21,ආණ්ඩුවක් නිසා පොඩ්ඩක් එහෙ මෙහෙ උනාම උඩු බුරපු උන් දැන් කියනවා එහෙම තමා මාස ගානින් කරන්න බෑ ඉවසන්න ඔනේලු දොරටු පාලකයෙක් වෙන්න ඔනේ එකෙක් ජනාධිපති උනාම ඔහොම තමා
22,අය ඇසු වල නොවෙයි ඔයා දෙන්ඔයා හැමදාම දෙස කතා අහ ඇති වෙලා
23,හරිදේට ගල්මුගුරැ වැඩියි මාලිමාවට ජයවෙවා
24,පචනේ කියන්නේ හොරු එලවන එකනේ මුලින් කියලා ආවේ දැන් බයිලා ගහනවා අරගලෙන් පත් උන ජනාධිපති අරගලේ කරපු අයගේ හොරු එලවීමේ සටනේ සෙම්පතියා වෙලා දැන් ආර්ථිකේ බයිලා ගහනවා ආපු කාරනය වහගෙන
