Index,Sinhala Comment
1,කට වහා ගනින් ගොබ්බයා
2,අර නාමල්ගේ පැත්තක වාඩිවෙල දත් සෙටිඑක එලියට දාගෙන චුන් වෙන්නෙ කවුද
3,අනේ මන්ද මුගේ බල තන්හව
4,නාමල්ට ප්රායොගික දැනුමක් නෑ
5,මිනි මරලා හොරකම් කරලා ජඩ වැඩ කරලා කතා කරන්නේ බබා වගේ කටින් ගහලා ජය ගන්න බලනවා මාලිමාවේ වැඩ ඵ් අය කරගනියි නැමෝලේට ඵවා වැඩක් නැ හොරකම් කරපුවා රජයට දීපන් සිල්ලර පවුල
6,වලන් හිස් කරේ තොපි කාලකන්නි නාමල් රාජපක්ෂ පවුල
7,නාමල් රාජපක්ෂ බය වෙලා කෑගහනවා රට විනාශ කරලා ඉවරයි රාජපක්ෂ පවුල චුත වෙලා පල යල්ලා හෙනගහනව දෙයියනේ මු තවත් සුදන වෙන්න හදනවා පාර්ලිමේන්තු ආවේ පස්සේ දොරෙන් ආවා වගේ යන්න ආව අතක් බලාගෙන නාමල්
8,තාජුදින්ව ඝාතනය කරානම් ඒකට උසාවියෙන් අධිකරණයෙන් නඩු දාලා වරදකාරයෙන්ම නිසි දඬුවම් දෙයි දැන් මේ පාර්ලිමේන්තුවේ කතා කරන මාළිමාවේ අය පැහැදිලිව පාර්ලිමේන්තුවේදී අනිත් මන්ත්රීවරු එකෙකුට චෝදනා කරන්න අයිතියක් තියෙනවද මේක පිස්සු මාළි මාවක් යන මාතෘකාවට කියන්න දෙයක් නැති උනහම අදාල නැති දේවල් කියන්න පෙලඹවෙනවා මේක පිස්සු මාළි මාවක් එහෙම පුළුවන්ද විපක්ෂයේ ඉන්න කෙනෙකුට චෝදනාවක් කරන්න අරයා මැරුව මෙයා මැරුවාගේ ඒකට එතකොට උසාවියක් අධිකරණයක් තියෙන්නේ මාලිමාවේ අම්මලාට තාත්තලට ගිහිල්ලා සෙක්ස් කරන්නද මුං ඔක්කොටම පිස්සු මේකටද මේ පාර්ලිමේන්තුව ලස්සන තැනක් කරනවා කියලා ජනාධිපතිතුමා ඉස්සර කයිවාරු ගැහුවේ මාලිමාවේ හුඟක් අය විශ්ව විද්යාලවල ගියා කියලා හරියට ටොයිලට් ගිහිල්ලා කක්කා ටික පිහ දාන්න දන්නේ නෑ මුන්ව හොඳයි ඇත්තටම බේරෙයි වැවේ දාන්න ගලක් බැඳලා මේ මොනාද කතා කරන්නේ පාර්ලිමේන්තුවේ අරයාව මැරුවා මෙයාව මැරුවා කියලා එතකොට අධිකරණය උසාවියේ කතා කරන්නේ වෙන දේවල්ද හොඳ පිස්සු
9,නෑ මොළය කට වහගෙන හිටු
10,පින් මන්ති
11,නාමල් කියන්නෙ තනිකර මිහි හරකෙක්
12,මොලේ අමාරුව හැදිලා ද මූට උඹ කියන්න ඕන නැහැ රට හදන හැටි
13,හොදට ඉගෙනගෙන තියෙනවා කියන්නේ
14,මහා උගතුපර්ලිමේතුවෙහැසිරීම වත්දනනෙනැ
15,උයාලා ලගඟදීම කිලින්වැයි තව උඹලාට කැලවෙන්න තියනවා හිටපිය
16,කොහොමද තාජුඩීන්ව මරල රටේ නිදන්ටික කඩල මහජන මුදල් හොරාකාල සුදු ඇදගෙන තවත් ලොකු මිනිහ වගේ කයිවාරු ගහන විදිහ රටේ ජනතාවට දැනගන්න පුලුවන් තව ටික දවසකින් මෙයාලගේ කෙරුවාවල් සේරම
17,රට කින් වෙලා ඉවරයි දැන් පාර්ලිමේන්තුව කින්කරන්නයි යන්නේ
18,නාමල් බේබි උබ වාගේ හොරු නොවේ මාලිමාවේ නායකයො තොගේ උපදෙස් ඕන්නැ ආන්ඩු වට
19,මුටදැන් මරුපෙනිලා ඉන්නේ බුරුවාකියන දේවල් අහගන්න
20,බාප්පලා තාත්තලා පුතාලා රට බංකොලොත් කරලා ආන්ඩුවේ අල්ලගන්න දෙයක් නැතුව අල්ලගෙන නයට කහිනවා
21,තාජුඩින්ගාතකය නම් අල්ලල දාපල්ලකෝ
22,හඋතිගෙ පුතල කාආ ගන්නව තොපි ඔකෝම මර්යන් මරිල පලයන් ඔක්කොම මරිල පලයන් රජපක්ශ මරිල පලයන්
23,ඔය නාමල් රාජපක්ෂ ගස් කාරියාව දාපියවි ඔකාව මහ උළු ගෙදරට යවලල්පා කරලා තියන කැරි වැඩ වලට ඔකා කැරියා
24,ඔය බුද්දිය ඇයි කලින් තිබුනෙ නැත්තෙදැන්ද මොලය පෑදුනෙ පව්ඇඩ්ලා නේද
25,රටේ තියෙන ප්රශ්න තොපිට දැන්ද බල්ලො පේනනෙඅවුරුදු ගානක් තොපිට දුන්නඒත් තොපි හම්බකර ගත්ත අපිට කෙලවුනා
26,නා මැලය මෙච්චර මෝඩයෙක් කියල අද තමයි දැන ගත්තේ
