Index,Sinhala Comment
1,මාලිමාවා මෝඩයෙක්
2,රොෂාන්
3,රොෂාන් ප්රශ්න කරන්නේ පක්ෂයක් එක්ක පුද්ලික තරහකින්
4,කවුද මේ රොශාන් කියන එකා
5,මට දැන් ලියන්න එපා පස්සෙ ලියන්න හුකන්නෙ
6,කලකින්
7,ගන්න පොඩි පොඩි වලිත් ඕනි නේද සිරස
8,පව් ඕයි
9,ඇත්ත
10,සොමිරත්න කොහෙද දන්නෙ නෑ නේද සොමිබොයිස් බලනවද දන්නෙ නෑ දැන්
11,හර්ශණ නානායක්කාර සර් නියමයි ගිය පාර මමයි මගෙ පවුලේ ඔක්කොම දුන්නෙ සජබෙට අපරාදෙ ඒ චන්දය මේ පාර දෙන්නේ අපි ඔක්කොම මාලිමාවට
12,බටලන්දෙ මිනිමරුවා ගැන මෙපන වාදකරන්නෙ ඇයි නාකියා දිනන්නෙ නැ
13,රනිල් නාකියාට පුලුවන්ද රට හදන්නනාකිපකා
14,මාලිවට ජයවේව
15,මේ නාකි අම්මන්ඩිලාට සල්ලි කීයක් දුන්නද අනේ පවු කීදෙනෙක්ද ඉන්නෙ ගනන් කරලා බලපල්ලා කවුද යකෝ කාල බීලා ඉන්නේ තොපි අපේ මුදල්වලින් කාලා බීලා සැපවිදලා ඉන්නවා අපි මැදපෙරදිග අවුරුදු ගනන් දුක්විදිනවා
16,මාලිමාවට ජයවේවා
17,මට පේන විධියට නන්දන වින්දන වැඩ සටහන දැන්නේ පටන් ගත්තේ
18,යකෝ මන්ත්රි තුමනි දේශපාලනයට ආවා නම් ජනතාවගේ බැණුම් අහාන්නත් සූදානම් වෙයල්ලා ඒ වගේම චන්ද දායකයන්ගේ වගකීමක් තියෙනවා මේ වගේ රට විනාශ කල පුද්ගලයන්ට ඉලපත්තෙන් ගහාන්න හරිද
19,චෝදනා ලබන අය ඉන්නවානම් සජබයේ ඉන්නවාද සජිත් පාලනයේ යෙදී සිටි කාලය තුල ඔහු අතින් වංචනික දේ දැනුවත්ව හෝ නොදැනුවත්ව සිදු වී තිබේද
20,අනේ මං දන්නේ නෑ මේ නියෝජිතයෝ රෙදි ඇදගෙනද මෙ සාකචිචාවට ඇවිල්ලා ඉන්නේ වැඩිය එපා රනිල් මුදල් ඇමති වෙලා හිටිය කාලයේ ගත් ණය හා ආදායම සසදන්න අවුරුදු ට රනිල් ණය අරගෙන ඇත ඔන්න මුර දේවතාවා අපිට දැනටම කෙලලා තියෙන්නේ මේ මාධ්යවේදියා උත්තර දෙන පුද්ගලයන්ට ගෞරව කල යුතුයි ඉඩ දිය යුතුයි කෙටි උත්තර ඕන නම් කෙටි ප්රශ්න විය යුතුයි දෙපැත්තම පොරවල් වෙන්න එපා නැත්නම් අපට දෙගොල්ලම අප්පිරියා වෙනවා
21,මං මේ පාර එක්කෙනෙක්ටවත් චන්දෙ දෙන්නෙ නෑ ඉදියනම් මාලිමාවට
22,කොළ පාට ෂට් එකක් ඇදන් කින්ඩියට හිනාවෙන ජඩ මාධ්ය වේදියා කව්ද
23,මාලිමාවට ජය නියතයි හොරුන්ට දීලා අපි මට්ටු උනා ඇති
24,අර පිටිපස්සෙ ඉන්න කට්ටිය අයින් කරල දාන්න බැරිද හරිම
25,සිරසත් ලැට් වලක් දාගෙන කාපියව්ව සජ්ජියට කඩේ යනවා
26,මගේ චන්දේ අනුර කුමාර සහෝදරයට
27,එකම සොමිබියෙක්වත් එපා මේපාර රටම මාලිමාවට කෝටියක්
28,මාලිමාවට ජය නියතයි අපි එජාපයේ අපට එපාවුනා රනිල් කියන විදිහට රට තව ණයකලා ඒක නොදන්නා මොඩයන්
29,මාලිමාවට ජය
30,මේ හර්ශන නනා නැතුව වෙන එකෙක් නැද්ද එවන්න සාධාරණ ව ගත්තොත් නුවන් හොද ට කරා
31,කවිද මෙ සුරංග කියන පොන්නය
32,ඔන්න පේනවනෙරනිල්ගෙ හාල් පාරුවො ඔහොම එවුන් ද ඉදිරියේ ආණ්ඩුව කරන්න හදන්නේහීන දකින්න එපා අත්පුඩි ගහන වහලුනෙ කහ කමිස කාරය දෙන කසිප්පු ටික ගනිල්ල රුපියල් දෙදහත් ගනිල්ල හැබැයි ඒ සල්ලි වලින් ළමයින්ට කන්න දෙන්න එපා
33,නුවන් සොමිරත්න නම් සොමි තමාගූ ඇන් පී
34,බැංකු හොරු
35,ගූ ඇන් පී උන්නම් ගහන්නෙ වෙනම බ්රෑන්ඩ් එකක් තමා
36,සටනමුන් ප්රශ්ණ අහනවා උතතර දෙන්න අවස්තාව නෑඅපි මාලිමාවට
37,රොශාන් මාලිමාවට ගහන්න ට්රයි එක පනික්කියා
38,ඔය පඩයක් ගියත්ජය වේවාකියලාරෙන වුන්ටික නොගෙන්වා වැඩසටහන් කරපල්ලා
39,මාලිමාව ගැන කතාකරන්න ආපු මේ පොන්න පකයා කවුද
40,ඩීසල් පොලිම් ගෑස් පෝලින් මේ දුප්පත් මිනිසුන්ට අදාල නෑමොකද මිනිස්සු බලන්නෙ තුන් වේල කන්නෙ කොහොමද කියලහාල් තුන් ගුනයකින් වැඩ් වෙලා කිරි පැකට්ටුව හතර ගුණයකින් වැඩිවෙලා එළවළු පනහටත් අඩුවෙන් තිබුනෙ දැන් රු ඉතිං තවමත් අඩුවක් නෑදුප්පතුන් හරියට එක වේල්ලක්වත් කනවදවිදුලි බිල අඩුම ඒකක රු කට ආසන්නයිකලින් රු අඩුවෙන් ගියේමේව කොහොමද දුප්පත් මිනිසුන්ට උහුලන්නෙ
41,මේක බැලුවම මට නම් තේරුම්යන්නෙ තාමත් පක්ෂ වලට අත්පුඩි ගහන්න වැඩසටහන් වලට එන මිනිස්සු ඉන්නව කියන්නෙ සහ මිනිස්සු විඳින දුක උන් කරපු වංචාවල් ගැන කතා මඟහරිනකොටත් තමන්ගෙ නායකයට අත්පුඩි ගගහ ජයවේවා කියල බෙරිහන් දෙනවනම්අපිට තාමත් කොහෙ හරි වැරදිලා බන්හදවතින්ම ගරු කරනව ජනතාවගෙ පැත්තෙ ඉඳන් අපක්ෂපාතීව ප්රශ්න කරන සුරංග මහත්මයටජනතාවගෙ දුක වේදනාව ඒ කතාවෙන් සහ ආවේගෙන් තේරෙනව නිරායාසයෙන් එන දෙයක් බවමසුරන් වටින කෙලින් කතාවක් ලයිට් බිල් ගෙවා ගන්න අපිට නම් බෑ මහත්තයෝඒක අපිට ලොකු ප්රශ්නයක්
42,මාලිමාවට ජයවේවා
43,විශිෂ්ට මාධ්යවේදියෙක්
