Index,Sinhala Comment
1,ඇයි ආප්ප ගහන්න ගිහින් තාච්චියට පිච්චිලාද
2,මොකද්දහුනිවුස්එක
3,වෙයිද
4,ජය වේවා
5,අගමැතිනි කමට සුදුසු නැත
6,මේ ටියුබයා තම්බ්නේල් එක දාන්නෙ හරියට හරිණි මේ දැන් මළා වගේ සල්ල හම්බකරන්න ඔන්නම් මේවගෙ කුපාඩි වැඩ නොකර රෙද්දක් එළාගෙන පාරේ හිටපං තම්බ්නේල් එක දාන්න තිබුනෙ අගමැතිණි හරිණිට එරෙහිව නඩුවක් කියලා නේද මොට්ටයෝ
7,ආප්පේ
8,මම හිතුවේ මේ ගැහැණි එකක් වෙලා මකබෑඋනා කියලා පුදුම සතුටක් ආව බලනකොට මේ උට්ටි මැරිලා නැහැ
9,කවුරු උනත් මැරුනම සතුටු වෙන්න ආසාවක් හිතට එනවානම් එය මානසික රෝගයක් වෙන්න පුලුවන් ඔය ලොකු ටෝක් නවතා ප්රතිකාර කර ගනින්
10,අපේ අගමැතිතුමියට ජයවෙිවා
11,අනේ මැඩම් ලංකාවේ බල්ලෝ වැඩියි මේකත් අඩු කරන්න බලන්න විෂ බීජ වැඩි වෙලා දරුවෝ ලෙඩ වෙනවා අපි බොන වතුරෙත් මුන් ජරා කරනවා
12,රටම පිරිසිදු කරන මාලීමාවට ජයවේවා
13,ඵහෙම කරනානේ බරපථල වරදක් ඇති ඔයැ සුදුසූ කමි තියෙන ඵකක් හොයා ගන්න
14,මේවා විහිලක෴තා විතරයි
15,නියම වැඩක්අපේඅගමැතිය කළේ අගමැතිනියට ජය වේවා
16,කෙනෙකුට කරදරයක් වෙනකොට හිනවෙනවද ජ්ප්පො
17,නියමයි බොරුවට ඔලුව පුම්බාගෙන හිටපු හැමෝටම මේ විදියට තමයී කරන්න ඕන ජයවේවා
18,කලින් අය කරපු දේවල් මතකයි
19,මරුනාද ඒක කණගාටුදායක එකක් නොවෙයි
