Index,Sinhala Comment
1,ගොන් තුන්දෙනොක් මැද බුද්ධිමත් සහොදරයෙක් ජයේන් ජයම වේවා මාලිමාවට
2,පහුවදාට තියෙන පාඩම ටියුශන් එකෙන් බලාගෙන ඇවිත් ස්කෝලෙදි අත උස්සන් කියවන්න දඟලන එකෙක් වගේ අජිත්ව පේන්නෙ මට විතරද
3,කෑ ගහපු හරීන්ට ඔය ලස්සනට හම්බ උන චන්දෙන්
4,සබද අපි කුදු නොවෙමු කියපු මෝඩ හරින් ලියලා දීපු කතාකියවනකොට ටිකක් පාඩම් කරගෙන ආවානම් එදා කිචවෙලා පචවෙන්නේ නැහැ
5,හරේන් කියන්නේ පට්ට හොරේක්
6,යකෝ හරීන් කියන මී හරක කියන විදියට අපි තමා මේ රට බංකොලොත් කරල තියෙන්නෙ
7,හරින් කියන්නේ පට්ටම ගෝතයෙක්
8,ගොබ්බ හරීනයාදුටුතැන ගහන්න ඕනේ මූටසුරංග ඔබට ජයවේව
9,හරීන් හරකෝ ඔව් පොඩි එවුන් පවා දන්නව උබල පල් හොරු කියලමාලිමාවට ජයවේවා
10,අජිත් පී පී පී තාරා පී පී සජිත්
11,චානකයා දිගටම නිහඩයි
12,සුරංග මරු හැබැයි එක පැත්තක එකයි ක් අනෙක් පැත්තේ උමා ඹය කරන්න තිරණය කරන්ෙන් පුර්ව සක්යතා වාර්ථාවක් වත් නැතිව පසුව පරිසර සක්යතා වාර්තාෙවන් කරන්න ඒපා කියලා කිවුෙව් ෙබාරු කියන්න ඒපා චානක
13,ලැජ්ජයි ක් එකතු වෙලා එකෙක්ට තලනවා හැබැයි තනියා ගැහුවා නාටම රෙද්දේ රෙවෙන්නම
14,තෙල් වලට හිගා කෑවෙ යකූ අපි නයට තෙල් ගහලද න්
15,මාලිමාවට ජය නියතයි කෝටියක් ඡන්දයෙන් අනුර ජනාධිපති
16,අර පිටිපස්සෙ ඉදන් ණයට කහින පගයලා ගහලා එලවන්න ඕන
17,රට වෙනුවෙන්
18,පව් නෙඩ කට්ටිය
19,මාධ්යවේදීන් පක්ෂග්රාහීව කටයුතු කිරීම නම් සදාචාරාත්මක නෑ
20,මේ රාජ්ය භාශාව සිංහල ඓය්න් කරනවා කිව්වද මාලිමාවෙන්
21,ජයවේවා
22,හරීන්ට දැං මොකද හිතෙන්නේ
23,මාලිමාවට ජය
24,හරින් යනවෝ යන්න උබ දන්න ලබ්බයක්හිටුව් අපි ගෙදර යවලා තමයි නවතින්නේ
25,මුන් එහෙට මෙහෙට පනිනවා ඉතින් ඔය කියන එවුවා කරන්න මුන් එක තැනක ඉන්නවාද අඩුම තරමෙ ජෙ වි පි එකෙ ඉන්න උන් පාරද උනත් එක තැන ඉන්නවා
