Index,Sinhala Comment
1,දෙකොන පූට්ටු කරගෙන අනාත නාථ වෙලා ඉන්න්න කුරුගාමී කුහකයන්ගේ කතා අහපුවම මතක්වෙන්නේ මහදැනමුත්තාය මොකාක් හරි ප්රශ්නයක් උනාම මහදැනමුත්තා කලේ එයලගේ මහ පොතේ පෙරලා ඒ ගැන කුමක් ලියා තිබෙදයි බැලීමයමුන්ට හැටියට කෝකටත් එක තයිලයක් ඇතහිටි මනොරාජික හීන බිද වැටී මානසික වියවුලෙන් පෙලෙන මුන්ගෙන් දේශපාලනයේදී ක්රම හා විදි ප්රයෝගික භාවිතාවන් ගැන හන්නද පිස්සෙකි
2,පොහොට්ටුවේ මහචාර්ය හත් පොලේ ගාගන්නවා නාමල් පුළුවන් නම් මූව අයින් කරපන්
3,සිරස වටවෙලා පොහොට්ටුවට නෙලනවා
4,වසන්ත උඹ ක් හරි බං
5,මහින්ද පතිරණ ඉතාම හොදින් අදහස් දැක්කුව
6,විපක්ෂයේ උන්ට කතාකරන්න දෙන්නෙම නැ සිරසඅර දරුවෙක් දිවි නහත්තා බමේ ගෑනි කෝ ගත්ත පියවර
7,සිරසට හරි චුන් ජේව්පි අවුරුදු පසු එක චන්දයක් දාාිනලා සිගිති ආතල්
8,රාජපක්ෂලා ගියපාරේ අනුර් යයිවිධායකය පාවිච්චි කරයිසුන්බුන් එකතුකරයි
9,මේ මහචාර්යවරයා වැස්සකටවත් ඉස්කෝලෙ නොගිය පල් බූරුවෙක් ගොනෝ ලෝක බැංකු මුල් වතාවට ලංකාවට ඇවිත් කෝටියක අධාර දුන්නා කිවුවා මේ අවසන් ණය කියල මාලිමා රජය යන ගමන ගැන විශ්වාසයෙන් බූරු මහචාරියෝ කුහක තොපි මෝංගල් සජියටත් වඩා කාලකන්නි ඊර්ෂ්යාකාරයෝ පුන්ච් චන්දයේ ජනතාව හැසිරෙන විදිහ වෙනස් බලාපිය මීලග මහ මැතිවරනෙදී කුහක අනේ මේ මහචාර්ය වරයා නාන තරම් සෙදි නැතුව අර ගොං අචාර්ය වරයා පල් මෝඩයෙක් පවු ඌ මුදලිගේ කියන සමාජවාදය වෙනුවෙන් කතාකරන කාලකන්නියා අමු කුහකයෙක් කාලකන්නියෙක්
10,වසන්ත මුදලිගේ අරගලේදී ලොකු සේවයක් කරා හැබැයි ඔහු නියෝජනය කරන පෙරටුගාමි පක්සය කරන්නේ එකට පහර ගැසීම
11,ජයවේවා
12,බද්රකාලි නගරාදිපතිලොන්ඩරි ඔක්කෝම ඇරලා
13,කවුද අර දේශපාලන ප්රශ්නයක් නෑ කියන පරය දේශපාළුවො මේ රට කෑව කියල ලෝකෙම දන්නව දේශපාලනේ සුද්ද වෙන්නෙ නැතිව මොකක් කලත් වැඩක් නෑ කරපු හෑම වැඩෙන්ම කොටස් හම්බ වෙච්ච පරයෙක්ද එයා
14,දිදුල අහන්නෙ කිසිම තේරුමක් නැති ප්රශ්න
15,මුදලිගේත් මාර කච කචයක්නේ
16,මහාචාර්ර්යලට රෙදි ඉල්ලෙ පඋ ගොන්නු එවන්නෙ ඉන්නඔක්කොම මෙහෙමමද
17,මුන් ඔක්කොම මෙතෙක් කරෙ රටෙ ජනතාව පරට බහින්න දෙවල් කරල හොරාකල මදිවාට දගලන්නෙ මොකටද කියලා දන්නවා
18,හොද වැඩසටහනක් ඊයෙ දෙරනෙ වාද පිටියෙ බැලුවද බලන්න අප්පිරියයි එකේ පලවෙනි පැයේ විසි පස්වන විනාඩියේ විසිවෙනි තප්පරයේ හොදට අහන්න අර සජබෙ චරිත් කුනු හරප කියනවා ඒ මිනිහව ප්රසිද්ධ මාධ්ය වලට ගද්දි ඇල්කොහොල් ටෙස්ට් එකක් කරන්න ප්ලීස්
19,තර්ක නම් තර්ක මහින්ද පතිරණ මහාචාර්ය නෙවෙයි මේකා දුරාචාර්ය
20,ලංකාවේ හැම දෙයක්ම අච්චාරු ක්රමයට හදලා තියෙන්නේ හැම චන්දයක්ම රහස් චන්දයක් කරනවා ජනාධිපතිවරණයේ ඉඳලා පළාත් බබා දක්වා බහුතරයක් ගත්ත එකා දිනුම් ඉවරයි මුන් ඔය පනත් නීති හදලා තියෙන්නේම චූටි චූටි හිල් තියලා අපේ හිටිය උන් රිංගන්නම තමයි කැමති
21,මුන්ට හරියට වැඩක් කර ගන්න බැරිවෙන කොට රජයට චෝදනා කරනවා උන්ම කතා කරනවා උන්ගේ වැරද්ද ගැන විපක්ශය වැඩියි කියන්නේ පක්ශ කීයක් එකතුවෙලාද මාලිමාව ට චන්ද වැඩියි කියන එක මේ ගොබ්බයා පිලිගන්නේ නැහැ
