Index,Sinhala Comment
1,චතුරංගයා හානවා හෑමක් චිත්රාල් අහන ඒවට රෙවිල ඉන්නෙ
2,සිරස පච
3,පවු නේහ්හ් අර මෝංගල් සජියගෙ කියන බූරුවා
4,අර සජ්බ එකා මොකාද උට මලිමව කියපු ඔක්කොම මතකයි උන්ගෙ ප්රතිපත්ති ප්රකාශනෙ මතක නෑ
5,හොද පච යි
6,මේවට අපක්ෂපාතී සංවාධ කියල කියනවද මීග වැඩිය හොදයි විපක්ෂෙ මන්ත්රීවරු පැලවත්තෙ ගිහිල්ල සංවාද කරානම්
7,සිරසට ගියා කියන්නේ පැලවත්තට ගියා වගේ තමා
8,ය ඔය කියන විදිහට නිදහස ගත්ත දවසෙ ඉදන් රට පාලනය කරා නම් දියුණු කරා නම් වෙද්දි සුර පුරයක් වෙලා තියෙන්න එපැයිබලමු මාලිමාවත් පරණ පක්ශ වගේම පච ද වැඩ ද කියලා ඉස්සර වගේ දැන් මිනිස්සු බහුතරය මෝඩ නෑ කියලා හිතනවාදෙපැත්තට මඩ ගහගත්තා ඇති දැන්වත් ඔය පුටු රත් කරන් නැතිව රට දියුණු කරලපල්ල දෙයියො
9,රටට කරපු විනාශය කරේ ජෙප්පෝ කරන්න හදන හැම වැඩක්ම කඩාකප්පල් කරනවා වසරක් වර්තමාන ව්පක්ශය තමයි රටට සේවයක් කරේ දැන් ඉන්න ආණ්ඩුවේ අය ඇමතිකම් කරාමන්ත්රීකම් කරා ඒත් එක බෝක්කුවක් හැදුවේ නෑ ඔය රැල්ලට චන්දේ දුන්නු එවුන්ට කෙටියෙන්ම කිව්වේ
10,එඩිතර මාධ්යවේදීයා සුරංග ඔබට ජය
11,මං දැක්කෙ නෑ මාධ්ය නාලිකාවක් විපක්ශයට ඇගිලි දික් කර අර ඉන්නවා සාමාන්යයෙන් ආණ්ඩුවක් නෙහ් විවේචනය කරන්නෙ
12,ගොබ්බ සිරස ජෙප්පොන්ගෙ
13,විපක්ෂය ට දෙන්නයි අනෙක් ඔක්කම ආණ්ඩුවේ
14,සැමට ජයක්
15,පච ගොඩට ජාතික ආරක්ෂාව ගැන ටියුෂන් දෙන බව කිව්ව එකත් දාපල්ලා තාම තැන තැන මිනී මැරුම් වෙනවා සිරස නෝන්ඩි චැනල් එකක් ගාණට වැටිලා කනගාටුයි
16,අඩෝ ඇණ ගත්තා නේද චිත්රාල් ගෙන් හොඳ වැඩේ ගොන් ආතල් දෙනවට සංවාද වැඩසටහන් නම් මධ්යස්ථව කරපල්ලා එක එක ගෝතයන්ට උඩ ගෙඩි දෙන්නේ නැතුව හරි වැරද්ද ප්රේක්ෂක අපි තිරණය කරන්නම්
17,යි විපක්ෂ ය ලැජ්ජයි ලැජ්ජයි
18,වීඩියෝ කියන්නේ සාක්ෂි සහිත ඔප්පුකිරීමක්
19,සිරස ඇත්තටම ලැජ්ජයි අනේ සිරස බලන්නත් අප්රිය අයියා ඇයි විතරක් කඩේ යන්නේ ආණ්ඩුවට
20,සිරස ආණ්ඩුව රකින්න පට්ට ගේමක් දෙන්නෙසජබෙ එකා දෙනවා ඇඩෙන්නම
21,රටටම විහිළු සපයන මාධ්යෙව්දියන් දැන්නම් සටන බලන්නේ ආතල් එකක් ගන්න විතරමයි
22,නිස්සංක දෙනවා දීමක්
23,එකට ඔහොම උන එක අහන්න දෙයක් නෑ මේ වගේ නීති ලේඛම් ලා ඉන්න කොට පතෝල නේ
24,සිරස නානවා නෑමක් හොදන්න ගිහින්
25,සතුටු සුරංග මඩවන්ඩ හදනවා
26,පච ජෙප්පෝ න්ගේ පච පහ
27,ඩයස් හොඳ මාධ්ය වේදියෙක් කියලා හිතන් හිටියේ හැබැයි උත් ඉවරයි දැන් මාසිංහ ගේ සහ රොෂාන් විතරයි තාම ඉන්නේ අපක්ෂපාතී මාධ්ය වේඩියෝ
28,ඩයස් හොඳ මාධ්ය වේදියෙක් කියලා හිතන් හිටියේ හැබැයි උත් ඉවරයි දැන් මාසිංහ ගේ සහ රොෂාන් විතරයි තාම ඉන්නේ අපක්ෂපාතී මාධ්ය වේඩියෝ
29,අර පොර බීලා ඉන්නේ කියමුකො එතකොට මේ අමුවෙන් ඉන්න වටගලය මොනවද කියවන්නේ අහන්නේ ඒවරස්ට් ගැන නං කියන්නේ මරියානා ආගාධේ ගැන
30,ඇයි ඩයස් කක්ක බරද වීඩියෝ දානකොට
31,කියන්නේ මාළි මාව
32,රනිල් වික්රමසිංහ කරල පෙන්නුවා
33,මේ ඩයස් හොදායි ඩප්හවුස් වල මුරට තියන්ඩ
34,නිශ්පදනය කොහෙද වෙඩිවෙලා කොහෙද තියෙන්නෙ
35,රෙදි ගැලෙව්වා එකේ චිත්රාල් සුපිරි සිරස බොක කරාට ගූ හැත්ත
36,වීඩියෝ එපා සිරස නෝන්ඩි
37,ඇත්තටම මේකා ජනාධිපති නීතිඥයෙක් වුණේ කොහොමද මූට මොළයක් ඇත්තෙම නැහැනෙ මී හරකෙක් වගේ තප්පුලනවා
38,මාලිමා ආණ්ඩුවේ අඩුපාඩු තියෙනවා අපායක් කළ රටක් මාස හයෙන් කේතුමති රාජධානියක් කළ යුතයි කියලා අපි කියන්නෙ නැහැ සජබෙට අනිත් අයගෙ වැරදි හොය හොයා ඉන්නැතුව තමන්ගෙ වැඩ පිළිවෙල ඉදිරිපත් කරන්නයි තියෙන්නෙ යූඇන්පී එකට නම් දෙයියනේ කියලා පැත්තකට වෙලා ඉන්නරනිල් කරලා තියෙන පව් ඇති ආත්ම හතකටඑයාල වික්ටෝරියා වේල්ල හැදුවා හැබැයි එස්ටිමේට්කරපු ගාණ වගේදෙගුණයක් ගියා
39,සිරස ලොන්ඩරියට දෙන්නෙක් එක්ක දෙනව රෙවෙන්න රෙක්ස්පටි
40,රනිල්ටම හරියන ගෝලයා
41,මේ එකා ලංකාවෙද ඉන්නෙනඩු දිනපු එකෙක්දයන්නෙ කොහෙද මල්ලෙ පොල්මූට මාරු වෙලාකටේ දතුත් නෑ වගේ පොඩ්ඩක් තවත් සමනලයෙක්දඅර්චුනා වගේ ගොන් දානවා අයියෝ
42,සජබේ මන්ත්රී සුපිරී
43,සිරා
44,රනිල්ටම හරියන නියම ගෝලයා ඇස්වහක් කටවහක් වදින්න එපා
45,චතුරන්ග මල්ලිලා වංචා දූශන ගැන කතාකරන්න කලින් අර පන්නපු කන්ටේනර් ගැන කියන්නකො අපිට ඒ ඇති
46,උඹලනං පෙර දූෂිතයෝ එක්ක එකතුවෙලා හොරා කාලා හොදය රහ වැටුන උන් දැන් ඒ රහ ඉවර නිසා අඩනවා
47,ඇති යන්තම් වට්ටි අම්මා නෑ
48,සුදු රෙදි හොරා විකාරෙන් කියවනවා
49,අන්තිමට ව්වටගලයත් හිනාවෙලා කියනවා මම ඒව ගැන කතාකරන්නෙ නෑ ලු එච්චරටම උන්ට කතාකරගන්න බැරිවෙලා
50,කේප්ප සිරසට නියමෙටම උත්තට දෙනව නානයක්කාර නීතින්යතුමා සුරන්ගල කොරවෙලා පෞ උන්
