Index,Sinhala Comment
1,චරිත් කලාස්
2,අපේ රටට පක්ෂ දේශපාලනේ ඕනි නෑ වගේ නේදසේරම පක්ෂ අච්චාරු වෙලා හින්දා අපේක්ෂකයො තනි තනියෙන් ඉල්ලුවා නම් හරි වගේපක්ෂෙට පක්ෂ සාමාජිකයින්ට කවුරුවත් වගකියන් නෑ වගේමන් එයාව දන්නෙ නෑ එයාව අදුරන්නෙ නෑ වගේ කතා නෙ හැමෝම කියන්නෙ
3,පාරිශුද්ධ ජෙප්පොන්ගෙ මෝඩ තර්ක වලට හිනා යනවා
4,චරිත කියන දේවල් ඇත්ත පක්ෂයක කණ්ණාඩි යෙන් බැලුවම වැරදි වගේ පේන්නේ ඒත් චරිත හරි
5,දැන් කොහොමද සුරංගට
6,අඩෝ මුගේ ඇගේ තරමට මොලේ තිබුනා නම්අයියෝ චරිත්
7,සජිත් ලගට එන අය ගැන කියලා වැඩක් නැගොං බදින කනු
8,මහාමැතිවරනයට පස්සෙ මෙම වැඩසටහන බලන්නෙසජබෙ දෙවෙනි පරපුරේ නලුවන්ට වෙලා තියෙන තත්ත්වය කොහොමද බලන් යනකොට ගොංදෙපලක්
9,චරිත් වගේ මෝඩයේක් පාර්ලිමෙන්තු තේරැම් නැති එකට ෆට්ට සතුටක් තියේන්නේ
10,සජබෙන් සටනට ආපු ඔක්කොමහොදට ඇදගෙන නානවඅර සර්ල සෙට් එකේ ආපු වෙලෙත් ඒ වගේ එයාලගෙ කතාවෙන්ම කියනව එයාල එයාලගෙ සුව පිනිස මේකට එන ගොන් කන් ඔක්කොම කරන කතා කරනකොටත් මහ පිස්සු මෙලෝ ගැලපිල්ලක් නැති කතා කියන අය කියල
11,චන්දෙන් පස්සෙ බලන මං
12,ෆුට් නෝට් කල්ලිය චරිත් නම් හත්පොලේ ගාගත්ත
13,මම මේ වැඩසටහන බලන්නේ මහමැතිවරණයෙන් පසුවමම ඉන්නේ ලංකාවේ නෙවෙයිනිදාගන්න වෙලාව විතරයි තියෙන්නේ මෙහෙම දෙයක් බලන්න ඒත් කියන්නම ඕන දේශපාලන විද්යාව ඉගෙන ගෙන නැති උනත් මම මේ වගේ වැඩසටහන් බලනවා ජනාධිපතිවරුන්ගේ කතා බහ සංවාද මම අහලා බලලා කියවලා තියෙනවා මට චරිත්ට වඩා දැනුමක් තියෙනවා කියලා මම දන්නවා ඒ ඒ ජාතියේ උන්ට ඒ ජාතියෙන්ම උන් හම්බෙනවා කියන්නේ මේකට තමයිමෙච්චරම ගොන් උන් ඉන්නවද කියලත් හිතෙනවා ජනතා නියෝජිතයෙක් වෙන්න බලාගෙනචරිත් ගේ අසංවර හැසිරීම උද්දච්චකම හිස් බව හොදටම පේනවාඅප්පිරියයි
14,ක් ගන්නවා කිව්වා පව් අප්පා චරිත් උඹල ක්ම අරගෙන අන්න
15,පිස්තෝලයක් ඕන හැබයි
16,මේ මේකා සජියට වැඩිය බොරුකියනවා මස සජියට වැඩිය මෝඩයි
17,අයියෝ ඇයි මෙහෙම චරිත්ලග දේශපාලනය ගැන දැනුම සමාජ කතකරාද සුරන්ග ඔබට ඔබට රෙක්ස්පෙට්
18,ඩරිතෙයි වරිගෙයි දෙකම ඉවරයි
19,කොළඹ නොන්ඩි කරන්න ආවා කලුතරින්ම ඉල්ලන්නේ නැතුව හොරණෙන්ම
20,හා හා හා සජියගේ සහ රනිල්ගේ උන්ගේ ඔලු මාරය් ඔය්
21,මෙතන කමල් විතරයි හොඳ එකෙකුට ඉන්නේ ජගත්අප්පුහාමි දෙන්නා අමු ගොන්නු
22,කමල්ගෙ කොහෙද හොඳ දශකයේ බාල වයස්කාර දැරියක් දූෂණය කිරීමේ චෝදනාවක් තිබුණා කමල්ට විරුද්ධව
23,අඩා තවත් කමෙන්ට් එකක් දාන්න හිතුණා චරිත්ටඅම්බ ගොනෙක්නේ මූ
24,චරිත් ගොනෙක් කියලා අද දැනගත්තා
25,ජගත් මාලිමාවට ජයෙන්ම ජය
26,මිනිස්සු ගොඩක් බුද්දිමත් දේශපාලන පැත්තෙන් මේ වෙද්දිමාලිමාවට ජය වේවා
27,කුහක නොවී බලන කෙනෙකුට හොඳටම තේරෙනෙවා සුරංග පිස්සට තියන ඩීල් එක සජෙබේ වට්ටන්න
28,සුරංගයා සල්ලි වලට කටු කන
29,නියමයි චරිත්
30,සුරංග රෙදි නැතුව කඩේ යනවා
31,දේශපාලනය ගැන අවබෝධයක් තියෙන අයව ගේන්න
32,අයියෝ සුරංග බබාලව ගේන්න එපා මොනවද මේ චරිත් කියන්නෙ
33,කමල් පුත්තලමෙ ලමයි හොරකම් කරන්න ගිහින් ගස් බෙදල තියෙනවා
34,කමල් ලමයි පවා හොරකම් කරන හොරෙක්
35,කමල් පට්ට කපටියෙක් ඔය පැත්තේ ලමයි අතුරුදහන් වේවී
36,අහෝ චරිත්
37,මෙතන එකම එක්කෙනා තමයි චන්දයක් දෙන්න ජගත් මනුවර්ණ
38,කමල්ගේ පැටික්කිරිය ගැන හොදටම ජනතාව දන්නවා
39,චරිත් වගේ උන් ආවොත් පාර්ලිමේන්තු අබසරනයි සබන් නැතිවම නාගත්තා හොදටම
40,සුරංගයා රට ගොනෙක්නේ ය්කෝ දේශපාලනය කරන එකෙක් ට ආරක්ෂාවක් නැද්ද
41,ජෙහාන්ටයිජගත්ටයි හිරවෙන ප්රශ්න නිවේදකයෝ දාන්නේ නෑ නේදඅන්න ඵ්කයි අපි සිරසට ආදරේ
42,ජෙප්පන්ට සපෝට් කරන සුරංගට ජය වේවා
43,චරිත්ට හරියට ඉන්නත් බෑ වෙව්ල ඉන්නේ තරහ වැඩි කමට මේ වගේ උන්ට චන්දෙ දෙන උන් නම් ගවයොම තමයි
44,චරිත් ගොබ්බයා හෑව නේද එකෙන්ම ගෙදර යන්න ලෑස්ති වෙයන් ඊයා චාටර්
45,චරිත්ට දෙන්න ඵපා චන්දය ඔය වගේ උඃන් පාර්ලිමෙිින්තුවට අාවෝත් අායේ පරන ජරාජිිර්න දේශපාලනයම තමයි මුන්ට ඔීනේ ජනතාවට සේවය කරන්න නෙමෙිි බලය අරගෙන රගන්න නොදෝකින් බචරිත් තමුන් නමිි දෙන්නම ඵපා මෙිි කාලකන්නින්ට චන්දය
46,චරිත් හැමදෙම දන්නා අයෙක් ලෙස පුහු රගපෑමක නිරත වෙනවා ජ්නතාවට බාරයී
47,චරිත කියන පුග්ගලයා කිසි දේශපාලන දැනුමක් නැති පුග්ගලයෙක් සජිත් වගේම මෝඩ කෙනෙක් වගේ පේනවා පාර්ලිමේන්තු යවන්න සුදුසු පුග්ගලයෙක් නෙමෙයි
48,ආවොත් ගොඩ
49,මනුවර්ණ ඇට්ටරයෙක්
50,චරිත් නානවා කයලා දන්නව නම් සැමිපො සබන් ටිකක් කලින්ම සටනට යවලා තියෙනවා
51,සජිත් සහා චරිත මෝඩයො මහාදැන මුත්තයි ගෝලයො රොත්තයි
52,චරිත් නාානව නෑමක් අම්මෝ
53,ජෝකර්ස්
54,මහේෂි මදුසංකා නිලන්ති කොට්ටහච්චි හිරැනිකා රැවන්ති මංගලා ගෙන්නමු
55,මුන්ට චන්දේ දෙන්න එපා යකුනේ ඉදකින් අප්පුහාමි ලා ඇවිත් කයි
56,තමයි
57,ලොක්කා වගේම මැටි ගොඩක්
58,ක් අරන් එන කොට පිස්තෝලයක් තියන් ලොබ්බල් කරන්නද
59,චරිත් ගොං අලියා
60,අයියෝ චරිත්
61,ජගත් මනුවර්න
62,දේසපාලනය කරන අය අතරේ නළුබට්ටන් දේශපානයට ඇවිත් වරිගය නහගන්නවකමල්ට පැටිකිරිය හොාඳකම නිසාමයි අපි ගරු කරනව මාලිමාවටමුංගේ රෙදි ගැලවීම ගැන ස්තුතිි
63,අම්මෝ මේක බැලුවෙ බැලුවෙත් පොඩි වීඩියෝ කෑල්ලක් දැකලා ඊයා මේක බැලුවම තමයි චරිත් මොන මීහරකෙක්ද කියලා තේරුනේ මහ බක පණ්ඩිත උද්දච්ච ගෝතයෙක් මනුවර්ණ සුපිරියි එයාට දැනුමක් තියෙනවා කමල් නිකන් සිහි විකල් වෙලා ඉන්නේ
64,අම්මෝ හිනා කාලා මැරෙනවා
