Index,Sinhala Comment
1,අජිත් පෙරේරාගේ තලගොයි කබර න්යාය සමාජ ගතකල වගයි
2,හදුන්හෙති සහෝදරයඔබ නියමයි ලස්සනට පැහැදිදිලි කරනවා ඔබ තුමාට දළදසමිදුගෙ පිහිටයි මාලිමාවට ජයවෙිවා
3,හදුන් සහෝදරයා අජිත් පී ප්ර්රේරා පවු නැද්ද
4,සිරස රටට වෙන විනාසෙට වගකියන්න ඕනා දවස අනිවාරෙන්
5,මෙයාගේ පෙරකදෝරු කම නාමල්ගේ වගේ වගේ
6,මේමේමෙහෙම හිටියට මම ඉස්කිඤ්ඤ නීති ඤ්ඤයෙක් සෙල්ලම් එපා හරිද මේ පෙරකදේරු මන්ත්රි ගේ ආණ්ඩුව හොර වැඩ කලේ නෑ නේද එයාගේ කාලේ ඔහොම කොලේ වහාපු වැඩ කලේ නෑනේ චිචි කිරි හරක්
7,සිරසේ මාධ්ය් විනය නම් අන්තිමයි කොහෙන්ද මේ චන්ඩි ටික උස්සන් ආවේ
8,සිරසේ මධ්යවෙදින්ගේ හැසිරීම චන්ඩි වගේසංවාදෙක තත්වය රැකගන්න තේරෙන් නැලයිම් වල දෙමළ ගැණු වගේ කටවල්
9,මුංට බලය නැතිවුනාම පිස්සු හැදෙනවා
10,අයේ කවදාවත් විපක්ෂේ හොරු පාර්ලිමෙන්තු එන්නෑ
11,අජිත් අපේ පුතා එහෙම දැක්කද
12,මම දුන්නෙත් මාලිමාවට හැබැයි උන්ට මතකනෑ උන් කියපු බොරු මුන් ඔක්කොම එකයි
13,පුතානෝගේ මොළ සෙට්ටෙක
14,සුනිල් හඳුන්නෙත්ති ගැලපෙන වේලාවෙන් හරියට එන්නොන එක පැහැදිලි කරා අර මිනිස්සු පාවාදෙනවා පවාදෙනවා ගගා කෑගහනවා විතරයි අඩුම ඒ ගිවිසුම් වල තියෙන්නේ මොනවද කියලවත් කියන්නේ නෑ පැහැදිලිව නිකන් මිනිස්සුන් කුපිත කරන්න විතරයි කරන්නේ උන්ට
15,පවු බං අරූ ඔය ඇති
16,සිරස ඔයාලට පිස්සුද අජිත්
17,ඉන්දියාව ඔක්කෝම අපිට නිකං දීලා අත පිහිද ගත්තාද
18,මුං ටික බල්ලෝ ගූ ගොඩට රණ්ඩුවෙනවා වගේ කෑ ගහන්නේ
19,අජිත් පී පෙරේරා කින් ජුලියෙන් වගේ පේන්නේ මට විතරද
20,කිරි හරක් ජාතික ආරක්ෂාවට බලපාන්නේ මේ අයගෙ ආරක්ෂාවට බලපාන නිසා මම හිතන්නේ මේ අය කරන්නේ අපිට කොකා පෙන්නන එක
21,අයියෝ අජිත්
22,ලංකාව අවු තුල ලෝකයේ දියුණු රටක් දියුණුම ජාතියක් කරපු අය ඇයි බං උඹලා පැන්නුවේ චෑ චෑ කැතයි
23,දත්ත හුගයි බන් ඒකයි මැකිලා තිබ්බේ
24,ඕකුන් පොන්නයො
25,ගිවිසුම් හෙළි නොකරන්නේ නම්එතන කුමක් හෝ වංචාවක් තියෙනවා
26,ඉල්ලෙයි
27,ආන්ඩුවෙන් දෙන්නයි ඉන්නේ ඒ උනාට ඒ අය වෙනුවට තව දෙනෙක් බෙරිහන් දෙනවා
28,ගූ සජබේ මුං දන්නවා බබාලා
29,මේ වගේ පකයින් ඉන්නකං රටක් හදන්න බෑ
30,මොනාද මේ හුත්තික පුතා කියන්නෙ
31,අජිත් පී පෙරේරා කියන්නේ හුත්තිගේ පුතෙක්
32,මහ ජානතවත් දැන ගන්න එක හොදයි රටම දැනගන්න මධ්යට දුන්නනමි හරි මෙචිචර කල් රහස් හංගන් ඉදල කර මදැහිතට අවංකවියි රටට අනගතයට වටිනවනමි තව මොනද එ නිති දැන්වත් අයින් වෙන එක හොදයි මහ ලොකු රහස් වගෙම කාලය කන මොල කෙලින්ම මධ්ය වලට දුන්නනමි හරි මිනිස්සුන්ටත් දැනගන්න මාර්ගයක් එකයි මෙ තාක්ෂනය නැත්තමි පොල් ගන්නදදැන්වත් තෙරෙණ සිංහල භාෂාවෙන්ම දැනුවත් කරන්න ඔන එ අයත් ඉගෙන ගන්න ඔන
33,පච සිරස
34,මුන්ට කඩේ යන එවුන්ට මුන්ට ප්රතිපත්ති තියෙන්නේ ප
35,සිරස ලැජ්ජයි ලැජ්ජයි පච වීඩියෝ දාලා ඇත්ත එළිවෙන එක නවත්තන්න හදපූ එක
36,එදා ඉදලම තණකොළ කන හරක් ඉන්නවද කියල අහපු මී හරක් තාමත් කමෙන්ට් දානවා මුං ලංකාවේ ජීවත් වෙන එවුන් නම් නෙමෙයි
37,යකෝ සදාචාරයක් ගැන කතා කරන මු වගෙ පින් ගුත්ර බූරුවේක් පචට උල් පන්දන් දෙන මාධ්යවේදී සෙට් එක
38,තමා කරනකොට හොඳා වෙන එකෙක් කොරනකොට අකැපයි අජිත් පෙරේරා කියන නම බලු වෙලා තිරිසන් වෙලා රොඩී වෙලාම ගිහින් දැන් නම අහනකොට අප්පිරියම වෙලා ජීවිතේම මූසල වෙලා යනව මූ නම් පට්ට ගල් මූසලයෙක් කාලකණ්ණියෙක් රටටම ශාපයක් ඕයි
39,අජියට වට කරන් ගූ ගහනවා සෙට් එක
40,අජිත් පී පෙරේරා හට කලිසමේ රෙවී ඇත
41,ආන්ඩුව වෙනස්වුනාට ඉංදියාවෙ තානාපති වෙනස් කලේ නැහැ නේද මිලිංද මොරගොඩ තමයි ඇමරිකන් කොරිඩෝව ලංකාව තුල ඇති කිරිමට පනත් ගෙනාව එමි එම් සි ගිවිසුම ගෙනාව සි අයි ඒ ඔත්තු කාරය
42,අර කුඩු ලංස එතනෝල්ර ජොනිය වගේ අපතයන් ජජබට මුදල් යොදවන නිසාද නඩු නැත්තෙ
43,මෙවර ජජබ පසුබැසිමට හේතුව බෝඩ් ලැලි අල්ලපු පුර්නකාලිකයින් ට ඇමතිකම් ලබාදි රට උකසට තබා කෘතගුන සැලකිමෙන් රටට කල හානියයි
44,මුගෙ තෙත්ත ලමයිටාක හරි පාරෙ යවල තියනව හකෙක් මහින්දගෙ පුරොහිතය අනිත් එකා ප්රෙමදානගෙ පුරොහිතය බාලව එකං ජජබ පුරොහිතය කොයි හකෙ බලයට ආවත් පවුලම ගොඩ
45,මුන් නිතාය ඉගෙන ගත්තෙ හොුනිව රැකිමට මිස ජනතෙව රට රරකිමට නොවෙයි ඒ ජඩයින් හරියට කලානම් අදටත් ජජබ ආසන ක පක්ශයකි
46,අජිත් පෙරේරවගේ අපතයනිව ජනතෙව පාර්ලිමේතිවෙනි ටලවා දැම්මෙ ෑන් හොරකම් කරමින් අෙගිල්ල අනටකෙකුට දික්කල නිසයා
47,අජිත් පී ඔයා ගෙදර යන්න අනේ මැටි පූසෙක් ඔයා
48,අඩෝ හදුන් ඔය අජිත් පව් ඔහොම අසරන කරන්නෙපාඕක ඔයාව අහු කරල එල්ලිල මැරෙයි ඕක
49,ලගදීම සිරස මහජනයා පිළිකුලට පත් මාධ්ය බවට පත්වෙනවා මොකද මාළිමාව ට කඩේ යෑම ප්රධානතම කාර්ය වේ
50,අතීත බයිලා අපට එපා ඔයගොල්ලංගෙ බලු බල්ලන්ටම කියාපියව් කෙව්ලනි
51,පරන ගිවිසුම් හෙලිනොකලා කියල අලුත් ගිවිසුම් හෙලිකිරීම වරදක්ද
52,සිරසට මම ගොඩාක් ගව්රරව කලා රාජ මහෙන්ඩ්රන් මරුනට පස්සෙ සිරස දන් කුජිතයි
53,නානවා අජිත් පී පෙෙර්රා
54,අනෙ මොඩයෝ අජිත් පී පෙරේරා තමුසේ අමු ගොනෙක් තමුසෙගේ නායකයා මී හරකේක්
55,ජාතික ජන බලවේගයට ජයවේවා
56,දවස් දාහතරෙන් ගන්න පුළුවන් කිව්ව දවස් දාහතරේ මාස හයක් විතර යයි යයි මුන්ගෙන් බයිලාතියෙන්නේ
57,දැන් ඕන සිවිල්ල සාමාජියකයින්ට ගන්න පුළුවන් කියලා කිව්වා වාර්තාව දින දාහතරෙන් දෙනවා කිව්වා දැන් බලපුවම දින දා හදලා මාස හයක් විතර ගන්න
58,මාධ්ය අහනකොට මුන්ට උත්තර දෙන්න බෑ උන්ට උත්තර මුන් අමුකාර ඉන්නේ මුන් දන්නෙ නෑ මේ ගිවිසුමේ තියෙන්නේ මොනවද කියලා ඒ මොකද පක්ෂය ඊට පස්සේ පස්සේ පස්සේ මේ පස්සේ මේ
59,සීයට පන්සියයක් මාලිමාව හොඳයි මාලි මාව තමයි රටට ආදරේ කරන්නේ මාලි මාව තමයි රට හදන්නේ මේ හොරු රැල කවදාවත් දිනට හදන්නේ නෑ විනාශ කරනවා
60,දැකද විපක්ෂයම වෙලා හොර වැඩ කරලා අනුන්ට ඇඟිල්ල දික් කරනවා ඕක තමයි කරන්නේ
61,හදුන් මහා බයන්කර තමා මෝදි අපිට ඇරියම ඵතකං පොර
62,අඩෝ සිරසත් කඩේ යනවා නොදකින්
63,ඉන්දියාව අපි බන්කලොත් කරනවාමයි ඔය පනත් හරහා වහා අකුලාගනු
64,මාතර මලේ ඉන්දියාවට ගොස් අත්සන් කිරීම කලාඅපට අවශ්ය හොදම මුහුද සිතියම් කිරීම ඛනිජ ද්රව්ය ලබා ගැනීමට අයිතිය ලබා දීම රට පාවාදීමක් තමා මිනී නොකන කිඹුලා රුන්නා
65,මුන් මාද්යවේදියෝ ද
66,ගොබ්බ සිරස
67,ගරු ජනාධිපතිතුමනි නීති විරෝධී ගොඩනැගිල්ලකට කයිපාඩි විහාරයට එරෙහිව සටන් කිරීම ජාතිවාදී වන්නේ කෙසේද වාඩිලාගෙන සිටින භික්ෂූන් සමඟ සාකච්ඡා කිරීමෙන් ඇති ප්රයෝජනය කුමක්ද රජය සොරෙකුගෙන් අයැද සිටින්නේ ඇයි මෙතෙක් දකුණු ශ්රී ලංකාවේ දේශපාලනය දූෂණය නිකායවාදය බලය අයුතු ලෙස භාවිතා කිරීම සිදු කර ඇත්තේ පීඩනයට එරෙහිව සටන් කරන දෙමළ ජනතාව ජාතිවාදීන් ලෙස නිරූපණය කිරීමෙනි ජාතික ජන බලවේගයද එසේ කරයිද දේශපාලන කුමන්ත්රණවල ආධාරයෙන් භික්ෂූන් වහන්සේලා බුද්ධාගමේ මුවාවෙන් ඊසානදිග ඉඩම් අක්කර දහස් ගණනක් කොල්ලකා ඇත උදාහරණ කිහිපයක් කුචාවේල් හි බෞද්ධයන් ක් සිටින ස්ථානයක ඔබ විහාර ක් ඉදිකර ඇත අරිසිමලෙයි භික්ෂුව විසින්ම තමන්ට රිසි පරිදි ඉඩම් මැන අල්ලාගෙන ඇත මඩකලපුවේ අම්බට්ටි හිමියන් කොහේ හරි සිට මයිලදුතුරෙයි හි සිංහල ජනතාව පදිංචි කර ගොවීන්ගේ ජීවනෝපායන් විනාශ කිරීම ජාතිවාදී නොවේද කිසිදු අවසරයකින් තොරව කෝනේසාර් පන්සල ඔබ නීති විරෝධී ලෙස සිංහලයන්ගේ නාමයෙන් කඩයක් පිහිටුවා ඇත අපි ජාතිවාදීන් ඔබට පහර දී ඔබව එළවා දමන්නෙමු ඉදිරියට දුවන්න යැයි රජය කියයිද නව ගොඩනැගිල්ලක් නොතනන ලෙස අධිකරණ නියෝගය උල්ලංඝනය කරමින් කුරුඳුර් කන්දේ ගොඩනැගිල්ලක් ඉදි කළ ජාතිවාදීන් අත්අඩංගුවට ගන්නවාද ඥානසාර උදයකම්පන්පිල සරත්වීරසේකර තවමත් ජාතිවාදය ගැන කතා කරති ඔබ ඔවුන් සමඟ කරන්නේ කුමක්ද ඔබට ඔවුන්ට හානියක් නොකර දේශපාලනයක් කළ හැක්කේ සිංහල බෞද්ධයන්ට ප්රමුඛතාවය දීමෙන් පමණි මව්බිම තුළ බුද්ධාගම සහ සිංහල ජාතියේ මුවාවෙන් ජාතිවාදය ගොඩනැගෙයි ඔබ හොඳ වුවත් ඔබ එයින් පිටතට නොඑන්නේ නම් ඔබත් ජාතිවාදියෙකි තේරුම් ගන්න ඔබට ඇත්තටම ජාතිවාදය තුරන් කිරීමට අවශ්ය නම් පළමුව පාසල්වලින් ආගම ඉවත් කරන්න වෙනස හඳුන්වා දෙන්නේ එතැනදීය පාසලේ නාමයෙන් ආගම ඇයි
68,අජිත් පී පෙරේරා කියන්නෙ හිත් පිං නැති බැලැන්ස් නැති අබ්බගාත පිස්සෙක්
