Index,Sinhala Comment
1,සුරා සැලුටි කොටියයි
2,ඕකට ගහලා එලවන්න සුරා රාජපක්ෂ ලාගේ වහල් සේවකයව
3,සජිය වගේ ගොනෙක් තමයි අරුත් නොදෝකින්
4,තාරක බාලසූරිය ගෙදර යවපු එක පුදුම සතුටක් දැනෙන්නෙ විකුනං කන සූත්තරේමෙයා කෑගල්ලට හොදට කරලා තියෙන්නෙ
5,හොරැන්ගේ පරන හොරාකන පරන පුරැඋු මව්බිමට හෙනමව්බිමට හරියන නාමය නලින්ද පමනි
6,දන්න අයට දීලා කෙලවිලා තියෙන්නේ
7,අනේ මෙහෙම අයට කතිරෙ ගහපු අපිට සමාව දෙන්ටෝ
8,හැමොම ඇටෑක් කරන්නෙ එකට එකෙන් පෙනවා මාලිමාව දිනයි කියල සජබ සහ අනෙකුත් පක්ෂ බය වෙලා ඉන්න තරම
9,ස ජ බ චන්දෙට ඉදිරිපත් කරල තියෙනව පට්ට හොරු මැරයො ටිකක්
10,හර්ශන රාජකරුණා මොඩයෙක්
11,ස ම ගි යො කථා කරන්නෙ උන් බලෙ හිටියෙ නෑ වගෙ ඉන්න එවූන් ඹක්කොම රට කාපූ හොරකම් කරපූ හිටපූ ඇමතිල මන්ත්රීල
12,සූජීව සෙනසිංහ ඉපදිලා තියෙන්නේ හොරකමට
13,තවත් දෙශපාලන පවූලක් ගොන් හැත්ත දීපල්ලා පවූල් වල එවූන්ට චන්දෙ හදපල්ලා තවත් දෙශපාලන පවූල්
14,සුරංග මහත්තයෝ පව් හලෝ අසරන කරනවා කියලා ඔහොමත් අසරන කරන්න එපා ඔයා නිසා මේ වැඩ සටහන බලන්නේ
15,ජයවේවා
16,කව්ද කැමති කෙනෙක් පාර්ලිමේන්තු ගියොත්
17,සිරසනම් සිරස ත්තෝ
18,සුරංග අයියේ ඔයා කියන්නේ අපේ වචන
19,ජයවේවා
20,නොදෙකින් කාලකන්නි න් හැත්ත
21,සුරංග අයියේ උබනම් පිස්සෙක්
22,සුරංග සහෝදරයා දන්නෙ නෑ කියලා ප්රශ්නෙන් පැන ගිහින් රටම හොරා කාපු මිනිස්සු මරපු බෙහෙත් වලට වතුර ගහපු මුන්ගෙ රෙදි අපි වෙනුවෙන් නියොජනය වෙමින් අහන එක නම් බොහොම ස්තුති අපේ පිලිබිඹුවක් ඔබ
