Index,Sinhala Comment
1,රොෂාන් ඔබ නියම මාධ්යවේදියෙක් මහජනතාව වෙනුවෙන් කථා කිරීම ගැන ස්තුතියි රොෂාන්
2,දිනය කියල වැටිල අදඑකෙත් එහෙමයි වැරදිබහොයනව නෙමෙයි කවදත් බලන වැඩ සටහන
3,ආරාධිතයට කතාකරන්න ඉඩ දෙන්න රොශාන් ඔබේ කතාව තමයි ඉවරයක් නෑ
4,නලින්ද සහෝදරයා අපේ ඇමති
5,කලබල නැතිව ඉවසල ඉන්න බංකොලොත් වෙච්ච රටක් මාලිමා ආංඩුව බාර ගත්තෙ අපේ රට අනුර ජනාදිපති ඇතුලු සියලු දෙනා එක්වී හදන බව විශ්වාසයි ජයවේවා
6,හොද මනුස්සයෙක් ඔබ තුමාගෙන් ඉල්ලන්නේ අපේ රට හදන්න උපරිම මහන්සි වෙන්න අපිත් අනිවාර්යයෙන් ම උදවු කරනවා
7,වටගල වැරදිමතයක් ජනගතකරන්න හදනව
8,ප්රතිපත්ති ප්රකාශයේ තියන ඔක්කෝම මාසහොන් කරලා ඉවරකරනව කිවුවෙනෑනෙ
9,චන්දේ දීපු අපිට හදිස්සි නෑ හෙමින් ගමන ඔරොත්තු දෙනවා ඔහොම යමුජයවේවා
10,නලින්ද ඇමතිතුමණි වංචා දූෂණ සොරකම් නැති ජාතික ජනබලවේග ආණ්ඩුව සැමදා මේ රටෙහි පැවතිය යුතු ආණ්ඩුවයි ඒ සදහා අපි ඇප කැප වන්නෙමු
11,රොෂාන් වගේ අය මෙවැනි තනතුරුවලට ගැලපෙන්නේ නැහැ එයා අනිත් කෙනාට අදහස් දක්වන්න ඉඩදෙන්නේ නැහැ එයාගේ හැසිරීම් රටාව ප්රශ්න ඉදිරිපත් කරන විලාසය මෙවැනි වැඩසටහන් බලන බොහෝ දෙනෙකුට වැටහෙනවා
12,ජනමාධ්යවේදීන්ගේ සංවරබව හා ඉවසීම වගේම අදාළ පුද්ගලයාට අදහස් ප්රකාශ කරන්නට ඉඩ නොදී තමන් විසින්ම තමාගේ මතය පමණක් විදහා දැක්වීම පාලනය වීම වැදැගත් උදාහරණයක් වශයෙන් මේ අවස්ථාවේදී වගේ
13,නලින්ද සහෝදරයා ආණ්ඩුව නමි විනාශ කරන්න දෙන්න එපා ජනතා ශක්තිය අපරාදේ හොරු රජ වෙන්න දගලනවා රජයට ජනතාවට ජයවේවා
14,ක් පරිපූර්ණ ආන්ඩු නැනේහැබැයි පෙර පැවති ආන්ඩුවලට වඩා ප්රගතියක් තියෙනවාඉක්මන් කෙටි මොන දේකට උනත්වඩා වැදගත් වෙන්නෙ කරන වේගයවත් කාලයවත් නොවෙයිවැදගත් වන්නේ වැඩ කිරීමට ආරම්භ කිරීම පියවර ගැනීම නොකඩවා කරගෙන යාමඅවසානයේ ජයග්රහණය මාස ක් ගියා කියලා මාධ්යවේදින් ඇතුලු විපක්ශය කෑ මොර දෙනකොට මතක නෑ අනිත් පැත්තෙන් තව මාස ක් තියෙනවා කියලා
15,රොෂාන් පැන පැන දෙන්න එපා ඔයා ඉවරයක් නැතිව කියවනව නෙ ආරාධිත පුද්ගලයාට අදහස් දක්වන්න දෙන්නෙම නැහැ මන්දබුද්ධිකයෙක් වගේ එකම දේ කියවනව දවස වැඩ සටහනදිත් ඒ වගේමයි ඔයා මේ වගේ වැඩ සටහන් මෙහෙවන්න සුදුසු නැති බවයි බොහෝ දෙනා කියන්නෙ
