Index,Sinhala Comment
1,අපි සිරස සමග පමණයි දඬුවම් දිය යුතුය
2,අපි සිරස සමග පමණයි
3,දයාසිරි රිමාන්ඩ් කල යුතුය ජනතාව තුළ කලකින් ඇති කරන මානසික රෝග වලින් පෙළැඹෙන කෙනෙක්
4,හොදයි කියලා බලන්නෙ සිරසෙ විතරයිඒත් ලංකවෙ තිබුනු ලෝක කුසලාන ක්රිකට් මැච් එක ලංකාව ඉනිමකිනුත් දිනලවත් සිරස දැක්කෙ නැති එක ගැන කනගාටු යි
5,රජ්යේ කාර්යාල වල වෙඩ කරන අයතමය් තනිකර හොරු නිකනිඩලා පඩි ගන්නේ හිතපියව් ඊලග බවය ගෙනවත් රට හරක්වෙන වාද මිනිස්සු වෙලා ඉපදෙනවාද කියලා ජනපතිටම මේවා කරන්න බෙහ මිනිස්සු හෙදියෙනිල්ලා එතකොට රට හෙදෙනවා
6,අතුරුදහන්වුන අය සොයන්න පුලුවන් ඩ්රෝන තියනවා දැන්
7,පව් දියබත් සමග සටන් කරන්නනෙ ජිවත් වෙන්න දීවර රුකියා කරන සියලුමදෙනාට රක්ෂණයක් වත් තියෙනව නම් හොදයි අබු දරුවො ජිවත් වෙන්නෙ මාලු අල්ලගන හරිම දුකයි මෙවන්ව්පත් යලි ඇති නොවේවාඅපේ රට දූසිතයො ඇතුලෙ දාල රටේ නීතිය කාටත්පොදුයි මෙතනට රට ගේන්න වෙහෙසෙක් දරන ජනපතිතුමනි යෝදබල සක්තිය ලැබේවා බුදුසරණයි
8,සිරසට ජයවේවා
9,බත් කන මී හරක්ට මෙව්වා තේරෙන්නේ නෑනේ ඉතින් මේ ජනාධිපති කියන ඒවා
10,අනිවර්යෙන් ප්නතාව නිතියට යටත්විය යුතැයිබය වෙන්නම ඔනෙ
11,අනේවාරෙන්ම ජනතාව සහ රට වැදගත් රටක්බවට පරිවර්තනයක් ජයවෙවා එක රටක් එක ආන්ඩුවක් අනේවාරෙන්ම
