Index,Sinhala Comment
1,අනේ නදුන් මහත්තයෝ විරුද්ද පක්ෂ නැ මේ රටේ අභිමතය පරිදි වැඩ කරගෙන යන්න මේ හොරු ටික බලන්නේ බලය අරගෙන කොමිස් අරගෙන හොරකම් කරන්න
2,අනේ පලයන් පච්ච ශිරෝ යන්න
3,බය වෙනන් එපා සහෝදරයො අපි ඔයාලට ඡන්දෙ දෙනවා ජාතික ජන බලවේගයට ඊලග ඡන්දෙනුත් දිනවනවා අනිවාර්යෙන්ම මොකද මේ හොරු අල්ලන්න ඉන්න එකම කණ්ඩායම ජාතික ජන බල වේගය විතරයි
4,ජාතික ජන බලවේගයේ මන්ත්රීලට ජය වේවා ඊලග චන්දෙත් ජාතික ජන බල වේගයට ඡන්දය දෙනවා
5,නියමයි නදුන්
6,පෙරටුගාමී පක්ෂයේ මහත්මයා නිවරදියි
7,උසනම් උබේ අම්මට
8,උමායා ජන්ගිය දාලද
9,කුරුට්ටෝ කියන්නෙ මොකක්ද කියල උන් වත් දන්නෙ නෑ
10,එවගේ තමයි අනුර කෝටියත් පොන්නයෝ
11,ටිල්වින් වගේ තරුණ අය ගේන්න
12,මුදල් අමාත්යාංශය ලේකම් පත් කරපු එක ගැන කියද්දී නජිත්ට රෙවිල ඉන්නේ
13,තාම මාලිමාවේ හෝදන උන් ඉන්නවානේඇත්තටම හිතේ දුකටද හෝදන්නේ
14,මාපලයා ඉන්නේටොම් පචයා
15,රෙහාන් සහෝදරයාට පාර්ලිමේන්තුව නියෝජනය කිරීමට අවශ්ය ශක්තිය ධෛර්යය ලැබෙන්න ඕන කියන ප්රාර්ථනය හදවතින්ම ප්රකාශ කරමි
16,මාලිමාව වෙනුවෙන් කෙටියෙන්ම කියනව නම් පූසා ඉටියෙන් හරි මැටියෙන් හරි කමක් නැත අල්ලන්න ඕන මීයෝ පැහැදිලිද ප්රශ්නයක් තියේද
17,මම නම් හිතන්නේ විධායක ජනාධිපති ක්රමය වෙනස් නොකර යුතුය ලංකාවේ පේනවා නේද මුන් තාම දගලන විදිය අනුර දිගටම සිටිය යුතුය විධායකයේ
18,පෙරටූ ගාමියො ආන්ඩූව අපිට පස්ස හරවලා නැ මහජනතාව වක අපි කියන්නෙ මෙ නාකියට පිනක් කරගන ගෙදරට වෙලා ඉන්න කියන්න
19,මෙ නාකි සියලා ගෙන්න එපා
20,පල ජංගි පොන්නයෝ යන්න
21,වැලිගම ගොන් හරකා
22,ජයවේවා
23,පලයන් පොන්නයෝ ලුණුත් නෙතිකාර
24,මෙ ලංකාවෙ හරක්ට තියන පූකෙ අමාරුව මැදපෙරදිග මිනිසුන්ට නැ අලී ඉන්න ගෙදර අය කියන්නේ එවා ලොකූ අය කතා කරයි කියලා උන් රක්ෂාව කරගන ඉන්නවා ලංකාවෙ හරක්ට පූකෙ අමාරුව තියෙන්නේ
