Name,Label
අහිල ඉලංගෙයි මහජන කොංග්‍රසය,POLP
ඉලංකෙයි තමිල් අරසු කච්චි,POLP
එක්සත් ජාතික පක්ෂය,POLP
ජනනායක තමිළ් තේසිය කූට්ටනි,POLP
ජාතික ජන බලවේගය,POLP
නව ප්‍රජාතන්ත්‍රවාදී පෙරමුණ,POLP
ශ්‍රී ලංකා කම්කරු පක්ෂය,POLP
ශ්‍රී ලංකා පොදුජන පෙරමුණ,POLP
ශ්‍රී ලංකා මුස්ලිම් කොන්ග්‍රසය,POLP
සමගි ජන බලවේගය,POLP
සමස්ත ලංකා ද්‍රවිඩ සන්ධානය,POLP
සර්වජන බලය,POLP
ස්වාධීන කණ්ඩායම ,POLP
අකිල ඉලංකෙයි තමිල් කොංග්‍රස්,POLP
අපේ ජන බල පක්ෂය,POLP
ඊලාම් ජනතා ප්‍රජාතාන්ත්‍රවාදි පක්ෂය,POLP
ජාතික කොංග්‍රසය,POLP
තමිල් මක්කල් ‍තේසිය කුට්ටනි,POLP
තමිළ් මක්කල් විඩුදලෛප් පුළිකල්,POLP
මුස්ලිම් ජාතික සන්ධානය,POLP
ශ්‍රී ලංකා නිදහස් පක්ෂය,POLP
එක්සත් ජනතා නිදහස් සන්ධානය,POLP
ජනතා විමුක්ති පෙරමුණ,POLP
ප්‍රජාතන්ත්‍රවාදී ජාතික සන්ධානය,POLP
කඳුරට ජනතා පෙරමුණ,POLP
ජාතික හෙළ උරුමය,POLP
ද්‍රවිඩ එක්සත් විමුක්ති පෙරමුණ,POLP
ද්‍රවිඩ සන්ධානය,POLP
ප්‍රජාතාන්ත්‍රවාදී ජනතා විමුක්ති පෙරමුණ,POLP
පොදුජන එක්සත් පෙරමුණ,POLP
ජාතික සමගි පෙරමුණ,POLP
ද්‍රවිඩ ඊලාම් විමුක්ති සංවිධානය,POLP
සිහල උරුමය,POLP
ලංකා සම සමාජ පක්ෂය,POLP
ශ්‍රී ලංකා ප්‍රගතිශීලී පෙරමුණ,POLP
ඊ ඩී එෆ්,POLP
එක්සත් සමාජවාදී සංධානය,POLP
මහජන එක්සත් පෙරමුණ,POLP
ලංකා වතු කම්කරු කොංග්‍රසය,POLP
සී පී,POLP
ෆෙඩරල් පක්ෂය,POLP
ශ්‍රී ලංකා නිදහස් සමාජවාදී පක්ෂය,POLP
එල් පී පී,POLP
ශ්‍රී ලංකා ජාතික පෙරමුණ,POLP
සමාජවාදී මහජන පෙරමුණ,POLP
විප්ලවකාරී ලංකා සම සමාජ පක්ෂය,POLP
කම්කරු පක්ෂය,POLP
බෝල්ෂෙවික් ලෙනින්ස්ට් පක්ෂය,POLP
ලංකා ඉංදියානු කොංග්‍රසය,POLP
සී ඕ එන් ජී,POLP
යුනියන් 1,POLP
