ඒ.එච්.එම්.එච්. අබයරත්න
ඒ.එම්.එම්.එම්. රත්වත්තේ
අබූබුකර් ආතම්බාව
අජන්තා ගම්මැද්දගේ
අජිත් අගලකඩ
අජිත් ගිහාන්
අජිත් පී. පෙරේරා
අම්බිකා සාමිවෙල්
අමිල ප්‍රසාද්
අමිර්තනාදන් අඩෛක්කලනාදන්
ආනන්ද වී.එම්.ජේපාල
අනිල් ජයන්ත
ඇන්ටන් ජයකොඩි
අනුර කරුණාතිලක
අනුරාධ ජයරත්න
අනුෂ්කා තිලකරත්න
අරවින්ද සෙනරත්
අර්ජුන සුජීව සේනසිංහ
අක්කම් ඉල්‍යාස්
අරුන් හේමචන්ද්‍ර
අරුණ පනාගොඩ
අශෝක ගුණසේන
අසිත නිරෝෂණ එගොඩ විතාන
අශෝක සපුමල් රන්වල
අතුල වෙළන්දගොඩ
බී ආරියවංශ
භාග්‍ය ​​ශ්‍රී හේරත්
බිමල් රත්නායක
සී.එච්.කේ. ගලප්පත්ති
චාමර සම්පත් දසනායක
චමින්ද ලලිත් කුමාර
චමින්ද ඊම්ජෙසිරි
චමින්ද්‍රනී කිරිඇල්ල
චම්පික හෙට්ටිආරච්චි
චානක මාදුගොඩ
චන්දන සූරියආරච්චි
චන්දන තෙන්නකෝන්
චන්දිම හෙට්ටිආරච්චි
චතුරංග අබේසිංහ
චිත්‍රාල් ප්‍රනාන්දු
ක්‍රිෂාන්ත අබේසේන
ඩී වී චානක
දම්මික පටබැඳි
ධනුෂ්ක රංගනාත්
ධර්මප්‍රිය විජේසිංහ
දයාසිරි ජයසේකර
දීප්ති වාසලගේ
දේවානන්ද සුරවීර
ධර්මප්‍රිය දිසානායක
දිලිප් වෙදආරච්චි
දිලිත් ජයවීර
දිනේෂ් හේමන්ත
දිනිඳු සමන් හෙන්නායක
ඊ.ශ්‍රීනාත්
ඊ.එම් බස්නායක
එරංග ගුණසේකර
එරංග වීරරත්න
ෆයිසර් මුස්තාපා
ෆස්මින් ෂරීෆ්
ජී.ජී. පොන්නම්බලම්
ගමගෙදර දිසානායක
ගයාන් ජානක
ගයන්ත කරුණාතිලක
ගීතා හේරත්
ඥානමුත්තු ශ්‍රීනේෂන්
හංසක විජේමුණි
හරිනි අමරසූරිය
හර්ෂ ද සිල්වා
හර්ෂණ නානායක්කාර
හර්ෂණ රාජකරුණා
හර්ෂණ සූරියප්පෙරුම
හසර ලියනගේ
හෙක්ටර් අප්පුහාමි
හේමාලි වීරසේකර
හේෂා විතානගේ අංකුඹුර ආරච්චි
හිනිදුම සුනිල් සෙනෙවි
හිරුණි විජේසිංහ
අයි.ඩබ්ලිව්.එම්.ජේ. වික්‍රමරත්න
ඉම්රාන් මහරුෆ්
ඉස්මයිල් මුත්තු මොහොමඩ්
අලවතුවල ජේ.සී
ජගත් ගුණවර්ධන
ජගත් මනුවර්ණ
ජගත් විතාන
ජානක සේනාරත්න
ජනිත රුවන් කොඩිතුවක්කු
ජීවන් තොණ්ඩමන්
කේ ඉලංකුමාරන්
කේ කාදර් මස්තාන්
කේ.ඩී. ලාල් කාන්ත
කේ.වී. සමන්ත විද්‍යාරත්න
කබීර් හෂීම්
කාංචනා වැලිපිටිය
කාන්තසාමි ප්‍රබු
කතිරවේලු ෂන්මුගම් කුගතාසන්
කෞෂල්‍යා ආරියරත්න
කවීන්තිරන් කෝඩීස්වරන්
කාවින්ද හේෂාන් ජයවර්ධන
කින්ස් නෙල්සන්
කිට්නන් සෙල්වරාජ්
ක්‍රිෂ්ණන් කලෙයිචෙල්වි
කුමාර ජයකොඩි
