id,text
1,ඇත්ත කතාව ඕකයි විරුද්ධ පක්ෂ තවම සත්ය කතා කරන්න පු රැදු නෑකියල චාමර මෝඩයා ඒ උනාට ආතල් ඩයල් එක අර
2,පරයට කවුද අප්පා ජන්දෙ දුන්නෙ මානසික රෝගියෙක් මාලිමාවේ සාර්ථක ගමන විඳාදරා ගන්න බෑරි අසහනයෙන් පෙලෙන රෝගීන් පිරිසකුත් රටේ පිස්සු කියවමින්
3,සිටී ඒව අප ගනන් ගත යුතු නැත සහෝදරයා අරූ එළියට දැම්මද ඔය මෝඩයාව අද ඔතෙන්ට එවපු අය දුක් වෙනවා ඇති
4,කිසිම විනයක් නැති බුද්ධිය මෙහෙයවන්න බැරි අපතයෝ හින්දා සල්ලි විනාස ජනාධිපතිතුමනි ඔහුට ඔබගේ බලය පෙන්වා නීතිය හරි ලෙසඔහුට විනය පළවෙනි
5,කොට උගන්වන්න කොච්චර කිරි දෙව්වත් ගොම බිංදු වැටෙන හැටි මොන්ටිසෝරි කාරයෝ කොහෙන් ආවත් එකයි අර්චුනා පල කොටින්ගේ සට්ටැඹි කම් කරන
6,ජාතිවාදය අවුස්සන පිස්සෙක් අගමැතිතුමිය ඇවිල්ල වාඩි උන දැක්ක කෝ ඔයපඉස්සන්කරඌනආකර එලියටදමන්න රනිල් වික්රමසිංහ කියන්නෙ පට්ටම පට්ට හොරෙක් දූෂිතයෙක් වංචනිකයක් කොමිස්
7,කාක්කෙක් මිනීමරුවෙක් බව රහසක් නොවෙයි උගත් බුද්ධිමත් දරුවන් දස දහස් ගණනක් වදයට ලක් කරපු රටම දන්නවා පැරදී පලා ගිය හොරුන්
8,දූෂිතයන් වංචනිකයින් මිනීමරුවන් තක්කඩීන් කාක්කන් පාතාල නායකයන් වූ රාජපක්ෂ ල තමයි ජනාධිපති පුටුවේ කළේ ඕකා පිං කෙනෙක් කාගෙන් අවවාද අනුසාන
9,කරම් ජාතික ජන බලවේගය දුර්වල රටත් ජනතාවත් විනාශ මුඛයට ඇද දාපු යූඇන්පී නායක කියන මිනීමරුව තක්කඩිය හොරා දූෂිතය වංචනිකය පසුපස
10,යන්නෙ ඔළුව නරක්වූ පිරිසක් තේරුම් නිතිපතිව අයින් කරලා දාන්න බිමල් විපක්ෂය බිමටම සමතලා කරයි මැතිතුමා ඔබතුමා මාර නිහතමානියිපුදුම ඉවසීමක් හරියට
11,ක්රියාත්මක ජනතාව ඔබ සමගයි එකෙකුට දෙන්නෙකුට දෙන්න බෙහෙත පාරිලිමේන්තුව ගේන්න පාවිච්චි කරනින අපි ජයවේවා මෙම පිස්සාව පාර්ලිමේන්තු එවාපු උන්ට යි
12,ගහන්න ඕන සභා වගකීම් තව හොදින් අධ්යයනය කර ආව නන් තවත් හොදයි එකෙන්ම මරු උද්ධච්ඡකමනම් තියනවා කටින් බතල හිටවනවා මාලිමාවට
13,ඇමතිතුමන්ට ජයෙන් ජය විශිෂ්ඨයි මේ ම පිහිටුවනවා කථානායක සුපිරි සහොදරයා ගැම්මක් දැන් සැර වෙිලානේ ඹන්න ඹහොම ඉන්නකෝ මොකද මෙි කඩෙි
14,යන කුක්කෝ එවා නවත්තන්නසජීවි විකාසය අත්හිටුවන්න කියලා අරැට ගැහුවද දන්නේ නැහැ මූන් කාල කන්නී ලැඡා වේන්න ඔනා තෝපේ ලමයිටත් හේන
15,ඔනේ තමා නියම නායකයින් ඉන්නේ ඔහොම යන් ඇත්තටම හදවතින්ම සන්තොසින් නියමයි බීමල් සහෝදරයාවැඩී ජනතාබලය මාලීමාවටයිඅපි ඔබතුමන්ලා පාර්ලිමේන්තුව ආරක්ෂා කරන්නඅනවශ්ය කෑගැසීම්
16,නිකන්ම නිකන් කාලය කාදැමිමක්කිසිවක් පැහැදිලිව සවන්දීමට බාධාවක්වරක්දෙවරක්අවවාද කිරීම හොදටම ප්රමානවත් තුන්වනුව සභානායකගේ බලතල ක්රියාවට ව්යවස්ථා ඇතවා නැතුවා මහජනතාවට සවන් දීමට
17,අවස්ථාවක් නැතිකිරිමයි ලස්සන කතාවක් සහෝදරයාගෙන් අලුත් පනත් කෑගහන උන් එලියට නීති ගෙන්න අර්ජුනාගෙ මාන්සික තත්වය පරීෂාකරන්න අංගොඩ රෝහලට ඇතුල් මින්පසු
